Name,Spec,ImageURL
경동녹각 러시아 원각 500g,녹용즙,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\경동녹각 러시아 원각 500g.jpg
GNM자연의품격 품격있는 흑염소진액 70ml 30포,"건강즙/흑염소즙/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 2~3회, 1포/섭취기간: 10일분/특징: 파우치형/HACCP",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\GNM자연의품격 품격있는 흑염소진액 70ml 30포.jpg
침향명가 침향 담은 흑염소 진액 90ml 30포,건강즙/흑염소즙,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\침향명가 침향 담은 흑염소 진액 90ml 30포.jpg
풀무원건강생활 아미오 녹용진 10병 50ml,녹용즙,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\풀무원건강생활 아미오 녹용진 10병 50ml.jpg
올포레 지리산 흑염소 진액 80ml 30포,"건강즙/흑염소즙/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~2회, 1포/섭취기간: 1개월분/특징: 파우치형/HACCP",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\올포레 지리산 흑염소 진액 80ml 30포.jpg
지비엠에스 더 흑염소 진액 골드 70ml 30포,"건강즙/흑염소즙/섭취대상: 성인남녀, 시니어, 유아,청소년/섭취횟수, 양: 1일 1~3회, 1포/섭취기간: 1개월분/특징: 파우치형",
옻가네 김소형 원방 흑염소 진액 1++ 70ml 30포,"건강즙/흑염소즙/형태: 음료(액상)/섭취대상: 성인남녀, 유아,청소년/섭취횟수, 양: 1일 1~2회, 1포/섭취기간: 1개월분/특징: 파우치형/HACCP",
옻가네 김소형 유황을 먹고 자란 흑염소진액 70ml 30포,"건강즙/양배추즙/흑염소즙/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~2회, 1포/섭취기간: 1개월분/흑염소추출물81%/특징: 파우치형/HACCP",
개성인삼농협 개성상인 김오곤 백세침향 홍녹보 70ml 60포,"건강즙/녹용즙/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~2회, 1포/섭취기간: 2개월분/특징: 파우치형/HACCP",
푸른초장 몸애수호 아이튼튼 녹용 30포,"녹용즙/형태: 음료(액상)/섭취대상: 유아,청소년/섭취횟수, 양: 1일 1~2회, 1포/섭취기간: 1개월분",
차바이오에프앤씨 닥터프로그램 홍삼담은 흑염소 60ml 30포,건강즙/흑염소즙,
마천농협 지리산 마천농협 명가 흑염소 진액 70ml 30포,"건강즙/흑염소즙/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~2회, 1포/섭취기간: 1개월분/HACCP",
그린바이오 이경제 더힘찬 통녹용 사슴진액 66ml 30포,녹용즙/섭취대상: 성인남녀/특징: 파우치형,
지리산산양회 지리산 방목 어린흑염소 110ml 40~45팩 반마리,"건강즙/흑염소즙/형태: 음료(액상)/섭취대상: 성인남녀/특징: 파우치형/기능성: 면역력 증진, 영양보충",
건강한사람들 조선비책 흑염소진액 흑진담 90ml 60포,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/특징: 파우치형/HACCP",
건강한사람들 조선비책 흑염소진액 흑진담 90ml 120포,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/특징: 파우치형/HACCP",
옻가네 김소형 원방 동방비책 흑염소 진액 70ml 30포,"건강즙/흑염소즙/형태: 음료(액상)/섭취대상: 성인남녀, 시니어, 유아,청소년/섭취횟수, 양: 1일 1~2회, 1포/섭취기간: 1개월분/특징: 파우치형/HACCP",
자연인바이오팜 설산흑염소농장 흑염소진액 70ml 30포,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~2회, 1포/특징: 파우치형/HACCP",
천호엔케어 부드럽고 진하게 담은 국산 흑염소 오리지널 100ml 30포,건강즙/흑염소즙,
한미헬스케어 녹용보 100ml 100병,녹용즙/형태: 액상형/섭취대상: 성인남녀,
팜텍코리아 정관장 굿베이스 녹용담은 블랙마카스틱 10ml 30포,"녹용즙/형태: 액상형/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~2회, 1포/섭취기간: 1개월분/특징: 스틱형/기능성: 면역력",
대풍 사계명원 청명진액 10g 15포,"녹용즙/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 15일분/녹용3.7%/특징: 스틱형/기능성: 면역력 증진",
홀라이프 제천 흑염소진액 70ml 30포,건강즙/흑염소즙,
지니트레저 배한호원장의 흑염소 진액 명작 70ml 30포,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/흑염소 3%/특징: 선물세트",
내추럴박스 정성 담은 흑염소 진액 70ml 30포,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/흑염소추출물 81%/특징: 선물세트",
