Name,Spec,Name
동서 리치스 동서 후르츠 칵테일,3kg
동서 리치스 연유,"빙수/시럽,연유"
동서 리치스 통단팥,"빙수/팥/3kg/인증정보: HACCP/당침팥50%,팥앙금2.25%/원산지: 팥(중국)"
동서 리치스 통단팥 골드,빙수/팥/특징: 대용량(업소용)
동서 쿠키크럼,빙수/재료
3 Musketeers Candy Bar 초콜릿 미국,
90종 아이스크림 바 골라담기,아이스크림
A 블랙 즉석펄/감자전분/프리미엄,빙수재료
Ambrosia 암브로시아 타피오카,
AranadaTortillaCom SIB 카카오 100 코코아 파우더,빙수
CJ 수제마카롱 뚱카롱14종 / 바닐라 초코 딸기 황치즈 인절미 블루베리,아이스크림
CJ 이츠웰 연유파우치,빙수
CJ프레시웨이 이츠웰 연유,"빙수/500g/원유84.87%/
[영양정보] 표시기준분량: 100g/열량: 367kcal/탄수화물: 59g/당류: 50g/단백질: 8g/지방: 11g/포화지방: 7g/트랜스지방: 0.5g미만/콜레스테롤: 35mg/나트륨: 130mg"
CU 밤 티라미수 컵,아이스크림/130g/저염/표시기준분량: 130g/열량: 400kcal/탄수화물: 50g/당류: 35g/단백질: 3g/지방: 21g/포화지방: 13g/트랜스지방: 0.4g/콜레스테롤: 53mg/나트륨: 135mg
Dole e 돌 파인애플 소프트 서브 믹스B,
Dole 후룻팝 버라이어티팩,아이스크림/1488ml/인증정보: HACCP/후룻팝 망고 62ml x 8개/후룻팝 애플 62ml x 8개/후룻팝 피치 62ml x 8개
Dole 후룻팝 얼려먹는 주스 5종 혼합,"아이스크림/샌드/구성: 후룻팝 파인애플 62ml x 8팩, 후룻팝 망고 62ml x 8팩"
Dole 후룻팝 얼려먹는 주스 망고팝,"아이스크림/496ml/8개입/망고농축액12%,파인애플농축액8.5%,프락토올리고당/
[영양정보] 표시기준분량: 62ml/열량: 50kcal"
F&N DAIRIES 카네이션 쿠킹 앤드 베이커리 무가당 연유,"빙수/시럽,연유/405g"
FOOD식당용 업소용 식재료 통팥 적앙금 앙금 5K 식자재 주방 요리 통팥적앙금 FW531FE9,빙수
Fla-Vor-Ice 프리저 아이스 바입 어솔티드 Fla-Vor-Ice Giant Popsicles Variety..,아이스크림
Fla-Vor-Ice 프리저 아이스 바입트로피칼,"과자,초콜릿,디저트/아이스크림,빙수/아이스크림"
GFresh 콩알인절미떡 팥빙수 빙수떡 눈꽃빙수용 다이스,빙수
Hostess 호스티스 도네츠 미니도넛 글레이즈드입,아이스크림
NUTI Food 누티 크리머 연유베트남커피 빙수,빙수
SPC삼립 아시나요 밀크한박스 드라이아이스 최신제조일,
SPC삼립 알찬 통단팥,빙수/팥
SPC삼립 에스피씨삼립 삼립 삼립 냉동 아이스 화이트슈6봉,"과자,초콜릿,디저트/아이스크림,빙수/아이스크림"
SPC삼립 추억의아시나요봉,
VINAMILK 베트남 연유,빙수
VINAMILK 응오이사오 프엉남 베트남 가당 크리머 6ea,빙수재료
건국유업 건국연유+,빙수
건국유업 건국연유+단품,빙수
고디바 고디바 스트로베리 치즈케이크 디저트 트러플,
고디바 고디바 초콜릿 라바케이크 디저트 트러플입,
고디바 스트로베리 치즈케이크 디저트 트러플,
곰표 크림치즈 바입/부드럽고 달콤한 맛 크림치즈 바,아이스크림
