Name,Spec,ImageURL
LOWICZ1.5% 저지방 멸균우유,포장형태: 팩,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\LOWICZ(로비츠) 1.5% 저지방 멸균우유 1L.jpg
연세유업 바나나우유,"바나나우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 190ml당 열량: 155kcal/탄수화물: 20g/당류: 20g/단백질: 5g/지방: 6g/포화지방: 4g/트랜스지방: 0g/콜레스테롤: 20mg/나트륨: 120mg",
믈레코비타 믈레코 3.5% NON-GMO UHT,"흰우유/포장형태: 팩/특징: 멸균우유, 수입/1L",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\믈레코비타 믈레코 3.5% NON-GMO UHT 1L.jpg
서울우유 A2 플러스 우유,포장형태: 페트/710ml,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\서울우유 A2 플러스 우유 710ml.jpg
매일유업 상하목장 유기농 우유,"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 190ml당 열량: 115kcal/탄수화물: 8g/당류: 8g/단백질: 6g/지방: 6.8g/포화지방: 4.2g/트랜스지방: 0.5g미만/콜레스테롤: 25mg/나트륨: 100mg/칼슘: 200mg",
믈레코비타 갓 밀크 1.5% 저지방 우유,"흰우유/포장형태: 팩/특징: 멸균우유, 저지방, 수입/1L",
동원홈푸드 비비드 스위트 저당 초코라떼,"초코우유/포장형태: 파우치/
[영양정보] 1회 제공량 200ml당 열량: 150kcal",
풀무원녹즙 핸디밀 생딸기 가득,"딸기우유/포장형태: 페트/
[영양정보] 1회 제공량 190ml당 열량: 185kcal",
동원F&B 덴마크 바나바나우유,바나나우유/마시는타입/300ml,
서울우유 내속이편안한우유,포장형태: 페트/특징: 저지방,
쿠팡 곰곰 동물복지 우유,"흰우유/포장형태: 팩/
[영양정보] 1회 제공량 100ml당 열량: 62kcal",
푸르밀 딸기 우유,"딸기우유/포장형태: 페트/
[영양정보] 1회 제공량 225ml당 열량: 125kcal",
LOWICZ틴토 우유,"흰우유/포장형태: 팩/특징: 멸균우유, 수입/
[영양정보] 1회 제공량 100ml당 열량: 63kcal",
와우유업 어른이전용 으른우유 진한 밀크티,"가공우유/포장형태: 페트/
[영양정보] 1회 제공량 270ml당 열량: 180kcal",
비락 모닝 후레쉬 우유,"흰우유/포장형태: 팩/
[영양정보] 1회 제공량 100ml당 열량: 70kcal",
매일유업 추억의 자판기 우유맛 분말스틱 10T,흰우유/포장형태: 스틱/총량: 10T/1T당 20g,
매일유업 상하목장 저온살균 무항생제인증 우유,"흰우유/포장형태: 팩/
[영양정보] 1회 제공량 100ml당 열량: 65kcal",
서울우유 유기농우유 딸기,포장형태: 팩/120ml,
MLEKPOL 밀카사 멸균우유 3.5%,포장형태: 팩/1L,
서울우유 유기농우유 초코,초코우유/포장형태: 팩/특징: 멸균우유,
연세유업 소화가 잘되는 우유,"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보]",
빙그레 고구마맛 우유,"가공우유/포장형태: 페트/
[영양정보] 1회 제공량 240ml당 열량: 195kcal",
오늘좋은 1A 우유,,
남양유업 맛있는 우유 GT 소화 잘되는 배 안아픈 우유 저지방&프리바이오틱스,"흰우유/포장형태: 팩/특징: 저지방, 락토프리/
[영양정보] 1회 제공량 100ml당 열량: 45kcal",
일동후디스 소화 편한 우유 오리지널,"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 190ml당 열량: 135kcal",
동원F&B 덴마크 유기농 우유,"흰우유/포장형태: 팩/특징: 멸균우유, 유기농/
[영양정보] 1회 제공량 120ml당 열량: 80kcal",
MLEKPOL LACIATE 와치아테 우유 1.5%,"흰우유/포장형태: 팩/특징: 멸균우유, 저지방, 수입/
[영양정보] 1회 제공량 100ml당 열량: 45kcal",
남양유업 초코에몽 프로틴,"초코우유/포장형태: 팩/
[영양정보] 1회 제공량 190ml당 열량: 177kcal",
서울우유 초코우유,"초코우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 200ml당 열량: 120kcal/탄수화물: 20g/당류: 19g/단백질: 5g/지방: 2.4g/포화지방: 1.5g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 85mg",
