Name,Spec,ImageURL
빙그레 아카페라 스페셜티 에티오피아 예가체프,커피음료,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빙그레 아카페라 스페셜티 에티오피아 예가체프 460ml.jpg
롯데칠성음료 칸타타 아이스 스위트 아몬드향 제로,커피음료,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\롯데칠성음료 칸타타 아이스 스위트 아몬드향 제로 230ml.jpg
맥널티 제로슈가 스테비아 커피믹스,커피음료/페트,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\맥널티 제로슈가 스테비아 커피믹스 1L.jpg
키즈마루 바이케어플러스 하이드로 더치커피 콜드브루4종입 선물세트,커피음료,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\키즈마루 바이케어플러스 하이드로 더치커피 콜드브루 30ml 4종 100개입 선물세트.jpg
스타벅스 카페모카,커피음료,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\스타벅스 카페모카 320ml.jpg
롯데칠성음료 칸타타 아이스 스위트 아메리카노 제로,커피음료/파우치,
라라스윗 저당라떼 바닐라라떼,커피음료/컵,
라라스윗 저당라떼 카페라떼,커피음료/컵,
코카콜라 조지아 크래프트 라떼,커피음료/페트,
키즈마루 바이케어플러스 하이드로더치 더치커피 8종세트,커피음료/커피세트/액상타입,
UCC 커피 빈스 로스터스 카페라떼,커피음료,
산토리 크레프트 보스 커피라떼,커피음료/페트,
동원F&B 덴마크 싱글 오리진 노르딕 로스팅 카페라떼,커피음료,
빙그레 오늘의커피 카페라떼,커피음료/컵,
대일 비스 더 블랙,커피음료/캔,
팔도 카페진정성 바닐라빈 라떼,커피음료/파우치,
미스티브루 디카페인 흑보리 콜드브루스틱,커피음료,
하마야 하야마&UCC 블루마운틴 커피 2종 세트,커피음료/커피세트/용기형,
매일유업 바리스타룰스 그란데 디카페인 아메리카노 무라벨,커피음료/페트,
스타벅스 바닐라 라떼,커피음료,
키즈마루 바이케어플러스 하이드로 더치 블랜딩,커피음료/액상타입,
매일유업 바리스타룰스 그란데 라떼 무라벨,커피음료/페트,
할리스커피 바닐라 딜라이트,"커피음료/카페라떼/맛: 바닐라/파우치/
[영양정보]/1회 제공량 190ml당 열량: 155kcal/탄수화물: 22g/당류: 21g/단백질: 3.4g/지방: 5.8g/포화지방: 4g/트랜스지방: 0g/콜레스테롤: 13mg/나트륨: 110mg",
투썸플레이스 투썸플레이스1호점 신촌커피,"커피음료/카페라떼/맛: 바닐라/팩/
[영양정보]/1회 제공량 250ml당 열량: 186kcal",
그때커피 인도네시아 만델링,커피음료/아메리카노/페트,
그때커피 브라질 세라도,커피음료/아메리카노/페트,
그때커피 콜롬비아 수프리모,커피음료/아메리카노/페트,
서울에프엔비 할리스 아메리카노,"커피음료/아메리카노/페트/
[영양정보]/총 내용량 1L당 열량: 50kcal",
동서식품 맥스웰하우스 마스터 헤이즐넛 블랙,커피음료/아메리카노/맛: 헤이즐넛/캔,
코카콜라음료 조지아 헤이즐넛향 아메리카노,"커피음료/아메리카노/맛: 헤이즐넛/페트/
[영양정보]/1회 제공량 500ml당 열량: 118kcal",
스타벅스 셀렉트 바닐라 라떼,"커피음료/카페라떼/맛: 바닐라/페트/
[영양정보]/1회 제공량 300ml당 열량: 185kcal",
스타벅스 셀렉트 카페라떼,"커피음료/카페라떼/페트/
[영양정보]/1회 제공량 300ml당 열량: 176kcal",
동서식품 맥심 카누 스타벅스 프라푸치노 돌체병,커피음료,
동원홈푸드 비비드 스위트 저당 바닐라라떼,"커피음료/카페라떼/파우치/
[영양정보]/1회 제공량 200ml당 열량: 130kcal",
동원F&B 덴마크 오리진 노르딕 돌체라떼,커피음료/컵,
한국맥널티 아이스 아메리카노 블랙,"커피음료/아메리카노/파우치/
[영양정보]/1회 제공량 100ml당 열량: 5kcal/탄수화물: 1g미만/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 15mg",
동서식품 카누 맥심 에스프레소 티오피 마스터라떼캔커피 커피음료 부드러움,커피음료,
커피빈 아메리카노,"커피음료/아메리카노/컵/
[영양정보]/1회 제공량 300ml당 열량: 0kcal",
