Id,Name,Type,Price,Mall,Timestamp
GNM자연의품격 건강한 간 밀크씨슬 900mg 30정,2개,7450,78몰,124원/1일,"[주요성분] 밀크씨슬/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 30정 x 10개/섭취기간: 10개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 간 건강/
[기능성분] 실리마린: 130mg/비타민B1: 1.1mg/비타민B2: 1.2mg/비타민B6: 1.4mg/나이아신: 13.5mgNE/판토텐산: 4.6mg"
GNM자연의품격 건강한 간 밀크씨슬 900mg 30정,4개,15610,84몰,130원/1일,"[주요성분] 밀크씨슬/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 30정 x 10개/섭취기간: 10개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 간 건강/
[기능성분] 실리마린: 130mg/비타민B1: 1.1mg/비타민B2: 1.2mg/비타민B6: 1.4mg/나이아신: 13.5mgNE/판토텐산: 4.6mg"
레인보우앤네이처 레이델 폴리코사놀5 30정,1,29970,125몰,1개,"[주요성분] 폴리코사놀/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 30정/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 혈중 콜레스테롤 개선/
[기능성분] 폴리코사놀-사탕수수왁스알코올: 5mg"
유한양행 엘레나 UREX 프로바이오틱스 30캡슐,2,40890,49몰,2개,"[주요성분] 프로바이오틱스/보장균수(CFU): 10억/
[섭취정보] 섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 질 건강"
팜스빌 애플트리김약사네 그린 눈건강 수퍼루테인 아이포뮬라 60캡슐,1개,13500,7몰,225원/1일,"[주요성분] 루테인/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 60캡슐/섭취기간: 2개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 눈 건강/
[기능성분] 루테인: 20mg/베타카로틴: 1.26ml/비타민E: 3.3mgα-TE"
팜스빌 애플트리김약사네 그린 눈건강 수퍼루테인 아이포뮬라 60캡슐,3개,36000,9몰,200원/1일,"[주요성분] 루테인/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 60캡슐/섭취기간: 2개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 눈 건강/
[기능성분] 루테인: 20mg/베타카로틴: 1.26ml/비타민E: 3.3mgα-TE"
GNM자연의품격 건강한 간 밀크씨슬 900mg 30정,10개,41910,12몰,140원/1일,"[주요성분] 밀크씨슬/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 30정 x 10개/섭취기간: 10개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 간 건강/
[기능성분] 실리마린: 130mg/비타민B1: 1.1mg/비타민B2: 1.2mg/비타민B6: 1.4mg/나이아신: 13.5mgNE/판토텐산: 4.6mg"
레인보우앤네이처 레이델 폴리코사놀5 30정,6개,180770,63몰,"1,004원/1일","[주요성분] 폴리코사놀/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 30정/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 혈중 콜레스테롤 개선/
[기능성분] 폴리코사놀-사탕수수왁스알코올: 5mg"
GNM자연의품격 건강한 간 밀크씨슬 900mg 30정,8개,34360,47몰,143원/1일,"[주요성분] 밀크씨슬/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 30정 x 10개/섭취기간: 10개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 간 건강/
[기능성분] 실리마린: 130mg/비타민B1: 1.1mg/비타민B2: 1.2mg/비타민B6: 1.4mg/나이아신: 13.5mgNE/판토텐산: 4.6mg"
GNM자연의품격 건강한 간 밀크씨슬 900mg 30정,12개,55700,35몰,155원/1일,"[주요성분] 밀크씨슬/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 30정 x 10개/섭취기간: 10개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 간 건강/
[기능성분] 실리마린: 130mg/비타민B1: 1.1mg/비타민B2: 1.2mg/비타민B6: 1.4mg/나이아신: 13.5mgNE/판토텐산: 4.6mg"
