Id,Name,Type,Price,Mall,Timestamp
암웨이 뉴트리라이트 슬림 스마트 180정,1,46680,11몰,1개,"[주요성분] 가르시니아(HCA)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 3회, 1회 2정/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] HCA: 333.34mg"
종근당건강 가르시니아 다이어트 HCA 224정,2개,33900,3몰,303원/1일,"[주요성분] 가르시니아(HCA)/
[섭취정보] 섭취대상: 성인여성, 성인남성/섭취횟수, 양: 1일 2회,2정씩/섭취기간: 2개월(1통)/형태: 캡슐,정/건강기능식품/GMP/기능성: 체지방감소/
[영양정보] HCA750mg"
종근당건강 가르시니아 다이어트 HCA 224정,2,49470,5몰,3개,"[주요성분] 가르시니아(HCA)/
[섭취정보] 섭취대상: 성인여성, 성인남성/섭취횟수, 양: 1일 2회,2정씩/섭취기간: 2개월(1통)/형태: 캡슐,정/건강기능식품/GMP/기능성: 체지방감소/
[영양정보] HCA750mg"
채움엔비티 뉴트리엔 팻30 다이어트토크 300g,1개,8470,18몰,282원/10g,"[주요성분] 가르시니아(HCA)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 3회, 1g회 10g/섭취기간: 10일/형태: 분말/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] HCA: 250mg/프락토올리고당: 1.35g"
한독화장품 클라라 5g 60포,3개,330000,2몰,"3,667원/10g","[주요성분] 가르시니아(HCA)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회/형태: 환"
CJ웰케어 리턴업 팻다운 파워번 마스터 가르시니아 100ml,10개,11500,12몰,"1,150원/1일","[주요성분] 가르시니아(HCA)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회/형태: 음료(액상)/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] HCA: 780mg"
뉴트리디데이 키토산 올뉴 퍼펙트 112정,5개,65360,10몰,467원/1일,"[주요성분] 가르시니아(HCA)/키토산/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1일 4정/섭취기간: 2주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] HCA: 750mg/키토산 3,000mg"
뉴트리디데이 NEW 다이어트 칼로리 스피드컷 112정,4개,32140,1몰,287원/1일,"[주요성분] 가르시니아(HCA)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 2정/섭취기간: 4주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] HCA: 756mg"
비타민마을 퍼펙트바이오틱스 가르시니아 프로바이오틱스 14포,6개,24210,9몰,288원/1일,"[주요성분] 프로바이오틱스/가르시니아(HCA)/보장균수(CFU): 1억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 168포/섭취기간: 24주/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강, 체지방감소/
[기능성분] HCA: 750mg"
뉴트리디데이 다이어트 스페셜 올뉴 60정,8개,46460,5몰,194원/1일,"[주요성분] 가르시니아(HCA)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] HCA: 750mg"
뉴트리디데이 키토산 올뉴 퍼펙트 112정,7개,92814,6몰,474원/1일,"[주요성분] 가르시니아(HCA)/키토산/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1일 4정/섭취기간: 2주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] HCA: 750mg/키토산 3,000mg"
내츄럴플러스 에버핏 유산균 다이어트 3g 14포,9개,29530,3몰,234원/1일,"[주요성분] 프로바이오틱스/가르시니아(HCA)/보장균수(CFU): 1억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/섭취기간: 20주/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소/
[기능성분] HCA : 750mg 이상"
내츄럴플러스 에버핏 유산균 다이어트 3g 14포,12개,37150,22몰,221원/1일,"[주요성분] 프로바이오틱스/가르시니아(HCA)/보장균수(CFU): 1억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/섭취기간: 20주/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소/
[기능성분] HCA : 750mg 이상"
내츄럴플러스 에버핏 다이어트 20정,24개,85390,1몰,356원/1일,"[주요성분] 가르시니아(HCA)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 1정/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] HCA: 450mg"
어댑트 푸드올로지 맨올로지 컷 120정,18개,653310,2몰,"1,815원/1일","[주요성분] 밀크씨슬/옥타코사놀/가르시니아(HCA)/
[섭취정보] 섭취대상: 성인남성/섭취횟수, 양: 1일 3회, 1회 2정/섭취기간: 8개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 간 건강, 체지방감소/
[기능성분] HCA: 2,800mg/실리마린: 130mg/옥타코사놀: 40mg"
비타민마을 퍼펙트바이오틱스 가르시니아 프로바이오틱스 14포,16개,77840,1몰,348원/1일,"[주요성분] 프로바이오틱스/가르시니아(HCA)/보장균수(CFU): 1억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 168포/섭취기간: 24주/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강, 체지방감소/
[기능성분] HCA: 750mg"
비타민마을 퍼펙트바이오틱스 가르시니아 프로바이오틱스 14포,20개,97300,1몰,348원/1일,"[주요성분] 프로바이오틱스/가르시니아(HCA)/보장균수(CFU): 1억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 168포/섭취기간: 24주/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강, 체지방감소/
[기능성분] HCA: 750mg"
매나테크 트루쉐이프 가르시니아 CLA,,57900,5몰,,가르시니아(HCA)/헬스/다이어트/이너뷰티/다이어트보조제/가르시니아
헬스밸런스 스키니랩 가르시니아 14포,11개,93960,8몰,610원/1포,"[주요성분] 가르시니아(HCA)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/섭취기간: 20주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] HCA: 1,000mg"
재로우포뮬러스 HCActive 가르시니아 캄보지아 90캡슐,589원/1캡슐,53000,1몰,,"가르시니아(HCA)/섭취대상: 성인남녀/형태: 캡슐,정"
나우푸드 가르시니아 1000mg 120정-NF1435,358원/1정,42900,1몰,,"가르시니아(HCA)/섭취대상: 성인남녀/형태: 캡슐,정"
순수식품 다이어트 유산균 17종 프로바이오틱스 모유 유래 가르시니아 6박스 180포,266원/1포,47800,1몰,,[주요성분] 프로바이오틱스/가르시니아(HCA)
순수식품 다이어트 유산균 17종 프로바이오틱스 3박스 90포 가르시니아,303원/1포,27310,4몰,,[주요성분] 프로바이오틱스/가르시니아(HCA)
비타민마을 에버비키니 콜레로뺄래 오리지널 90정,13개,970710,1몰,830원/1정,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 3정/형태: 캡슐,정/건강기능식품/GMP/기능성: 체지방감소"
비타민마을 에버비키니 콜레로뺄래 오리지널 90정,15개,1120050,1몰,889원/1정,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 3정/형태: 캡슐,정/건강기능식품/GMP/기능성: 체지방감소"
헬스밸런스 스키니랩 가르시니아 다이어트 블루레몬맛 14포,14개,272600,1몰,"1,391원/1일","[주요성분] 가르시니아(HCA)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/섭취기간: 2주/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] HCA: 750mg/비타민B1: 1.2mg/나이아신: 4.5mgNE/판토텐산: 5mg/비타민B6: 1.5mg"
