Name,Spec,ImageURL
래오이경제 흑염소진액원元 70ml 30포,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/흑염소혼합추출액 100%(고형분 2%, 흑염소 30%, 뽕나무잎 8.5%)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\래오이경제 흑염소진액원元 70ml 30포.jpg
히말라야 파티스마트 츄 10개입,"숙취해소제/형태: 젤리/섭취대상: 성인남녀/섭취횟수, 양: 1회 2개",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\히말라야 파티스마트 츄 10개입.jpg
장생도라지 장생도라지 분말 100 2g 30포,"건강분말/도라지즙/기타/형태: 분말/섭취대상: 성인남녀/섭취횟수, 양: 1일 3회, 1회 1포",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\장생도라지 장생도라지 분말 100 2g 30포.jpg
GNM자연의품격 유기농 양배추 브로콜리진액 90ml 100포,"건강즙/양배추즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~3회, 1회 1포",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\GNM자연의품격 유기농 양배추 브로콜리진액 90ml 100포.jpg
아사히 에비오스 2000정 (해외),"건강환·정/효모/형태: 캡슐,정/섭취대상: 성인남녀/섭취횟수, 양: 1일 3회, 1회 10정/특징: 해외구매",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\아사히 에비오스 2000정 (해외).jpg
지니트레저 김오곤 원장 흑염소진액 골드 70ml 30포,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/흑염소혼합추출액 100%",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\지니트레저 김오곤 원장 흑염소진액 골드 70ml 30포.jpg
편강한방연구소 구전녹용 금지옥엽 40ml 30포,"건강즙/녹용즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~2포",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\편강한방연구소 구전녹용 금지옥엽 40ml 30포.jpg
종근당건강 흑마늘 골드 80ml 60포,"건강즙/마늘즙/마늘/섭취대상: 성인남녀/섭취횟수, 양: 1일 2회",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\종근당건강 흑마늘 골드 80ml 60포.jpg
래오이경제 더힘찬 녹용 블랙 66ml 30포,"건강즙/녹용즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~2회, 1회 1포",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\래오이경제 더힘찬 녹용 블랙 66ml 30포.jpg
GNM자연의품격 품격있는 도라지배즙 80ml 100포,"건강즙/배도라지즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~3회, 1회 1포",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\GNM자연의품격 품격있는 도라지배즙 80ml 100포.jpg
