Name,Spec,ImageURL
SPC삼립 디저트 누네띠네 2.5kg,"스낵/대용량(벌크형)/
[영양정보] 표시기준량 100g당 열량: 521kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\SPC삼립 디저트 누네띠네 2.5kg.jpg
오리온 초코파이 30개입 1170g,"파이/사무실간식(소포장)/
[영양정보] 표시기준량 39g당 열량: 173kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\오리온 초코파이 30개입 1170g.jpg
오리온 초코파이 12개입 468g,파이/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\오리온 초코파이 12개입 468g.jpg
롯데웰푸드 몽쉘 부여알밤 408g,"파이/10봉/알레르기성분: 대두, 땅콩, 밀, 계란, 우유, 쇠고기/표시기준분량: 34g/열량: 165kcal/탄수화물: 18g/당류: 10g/단백질: 2.3g/지방: 9g/포화지방: 6g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 85mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\롯데웰푸드 몽쉘 부여알밤 408g.jpg
농심 새우깡 90g,"스낵/
[영양정보] 표시기준량 30g당 열량: 145kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\농심 새우깡 90g.jpg
켈로그 프링글스 양파맛 110g,감자칩,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\켈로그 프링글스 양파맛 110g.jpg
롯데웰푸드 몽쉘 카카오 생크림케이크 12개입 408g,파이/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\롯데웰푸드 몽쉘 카카오 생크림케이크 12개입 408g.jpg
개미식품 구워만든 곡물 그대로 21 110개입 1100g,"스낵/사무실간식(소포장)/
[영양정보] 표시기준량 100g당 열량: 605kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\개미식품 구워만든 곡물 그대로 21 110개입 1100g.jpg
켈로그 프링글스 오리지날 110g,"감자칩/
[영양정보] 1회 제공량 110g당 열량: 575kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\켈로그 프링글스 오리지날 110g.jpg
오리온 오징어 땅콩 98g,스낵,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\오리온 오징어 땅콩 98g.jpg
금풍제과 보리건빵 6.5kg,"건빵/대용량(벌크형)/
[영양정보] 표시기준량 100g당 열량: 395kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\금풍제과 보리건빵 6.5kg.jpg
