Name,Spec,ImageURL
퍼플랩스헬스케어 세리박스 세리번 나이트 V2 28포,"섭취대상: 성인여성, 성인남성/섭취횟수, 양: 1일 1회, 1포/형태: 캡슐,정/건강기능식품/GMP/기능성: 체지방감소, 혈행개선",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\퍼플랩스헬스케어 세리박스 세리번 나이트 V2 28포.jpg
헬스밸런스 스키니랩 스키니랩 다이글로핏 다이어트 800mg 14정,"섭취횟수, 양: 1일 1회, 1정/형태: 캡슐,정/건강기능식품/기능성: 체지방감소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\헬스밸런스 스키니랩 스키니랩 다이글로핏 다이어트 800mg 14정.jpg
헬스밸런스 스키니랩 스키니랩 다이글로핏 다이어트 800mg 28정,"섭취횟수, 양: 1일 1회, 1정/형태: 캡슐,정/건강기능식품/기능성: 체지방감소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\헬스밸런스 스키니랩 스키니랩 다이글로핏 다이어트 800mg 28정.jpg
하이그린팜 비움과 더블 다이어트 5g 30포,"섭취횟수, 양: 1일 2회, 1포/형태: 분말/특징: 스틱형/건강기능식품/HACCP/기능성: 영양보충, 장 건강, 체지방감소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\하이그린팜 비움과 더블 다이어트 5g 30포.jpg
유디바이오 자연담채 담을수록 락토페린 맥스 300 600mg 60정,"락토페린/섭취횟수, 양: 1일 2회, 1정/형태: 캡슐,정/GMP/HACCP/기능성: 영양보충",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유디바이오 자연담채 담을수록 락토페린 맥스 300 600mg 60정.jpg
새롬바이오 롤업 프리미엄 락토페린 플러스 1000mg 90정,"락토페린/섭취횟수, 양: 1일 3회, 1정/형태: 캡슐,정/HACCP",
비오팜 니아르 샤인머스켓맛 1700mg 28정,"가르시니아(HCA)/섭취횟수, 양: 1일 2회, 1정/형태: 캔디,츄어블/건강기능식품/GMP/기능성: 체지방감소, 혈중 콜레스테롤 개선/샤인머스캣맛",
비오팜 니아르 블루베리맛 1700mg 28정,"가르시니아(HCA)/섭취횟수, 양: 1일 2회, 1정/형태: 캔디,츄어블/건강기능식품/GMP/기능성: 체지방감소, 혈중 콜레스테롤 개선/블루베리맛",
비오팜 니아르 복숭아맛 1700mg 28정,"가르시니아(HCA)/섭취횟수, 양: 1일 2회, 1정/형태: 캔디,츄어블/건강기능식품/GMP/기능성: 체지방감소, 혈중 콜레스테롤 개선/복숭아맛",
비오팜 니아르 감귤맛 1700mg 28정,"가르시니아(HCA)/섭취횟수, 양: 1일 2회, 1정/형태: 캔디,츄어블/건강기능식품/GMP/기능성: 체지방감소, 혈중 콜레스테롤 개선/감귤맛",
GC녹십자웰빙 PNT 혈당컷 슬림 다이어트 30캡슐,"섭취횟수, 양: 1일 1회, 1캡슐/형태: 캡슐,정/건강기능식품/기능성: 체지방감소, 항산화, 혈중 콜레스테롤 개선",
에이스바이옴 비에날퀸 60캡슐,"프로바이오틱스/섭취횟수, 양: 1일 1회, 2정/형태: 캡슐,정/건강기능식품/기능성: 장 건강, 체지방감소",
그레이스클럽 그린몬스터 맨 다이어트 피지컬 부스터 28정,"녹차추출물(카테킨)/섭취횟수, 양: 1일 1회, 1정/형태: 캡슐,정/건강기능식품/GMP/기능성: 체지방감소, 항산화, 혈중 콜레스테롤 개선",
종근당건강 혈행건강 프로젝트365 올인원 블러드 케어 60캡슐,"코큐텐(코엔자임Q10)/섭취횟수, 양: 1일 1회, 2캡슐/형태: 캡슐,정/건강기능식품/기능성: 관절, 연골 건강, 면역력 증진, 영양보충, 항산화, 혈중 콜레스테롤 개선, 혈행개선",
종근당 벤비티 혈당컷 다이어트 500mg 60캡슐,"녹차추출물(카테킨)/섭취횟수, 양: 1일 1회, 2캡슐/형태: 캡슐,정/건강기능식품/기능성: 체지방감소, 항산화, 혈중 콜레스테롤 개선",
