Name,Spec,ImageURL
유한양행 와이즈바이옴 엘레씬 비피더스B3 다이어트 유산균 28캡슐,"섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 28일분/건강기능식품/기능성: 장 건강, 체지방감소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유한양행 와이즈바이옴 엘레씬 비피더스B3 다이어트 유산균 28캡슐.jpg
CJ웰케어 바이오코어 100억 다이어트 유산균 480mg 30캡슐,프로바이오틱스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\CJ웰케어 바이오코어 100억 다이어트 유산균 480mg 30캡슐.jpg
서흥 프로뉴트리션 듀얼플랜 다이어트 유산균 2.5g 14포,"섭취대상: 성인여성, 성인남성/섭취횟수, 양: 1일 1회, 1포/형태: 분말/특징: 스틱형/건강기능식품/GMP/기능성: 장 건강, 체지방감소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\서흥 프로뉴트리션 듀얼플랜 다이어트 유산균 2.5g 14포.jpg
한미양행 그린몬스터 다이어트 체지방 쑥 36정,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 2정/형태: 캡슐,정/건강기능식품/GMP/기능성: 체지방감소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\한미양행 그린몬스터 다이어트 체지방 쑥 36정.jpg
서흥 비에날씬 에스 다이어트 유산균 BNR17 50캡슐,"섭취대상: 여성, 남성/섭취횟수, 양: 1일 1회,1캡슐씩/형태: 캡슐,정/건강기능식품/기능성: 장건강, 체지방감소/프로바이오틱스 수 100억 CFU",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\서흥 비에날씬 에스 다이어트 유산균 BNR17 50캡슐.jpg
자연지애 다이어트 체지방 감소엔 칼로컷 900mg 42정,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 3정/형태: 캡슐,정/건강기능식품/GMP/기능성: 체지방감소",
한독화장품 HD생활건강 체지방 감소01 가르시니아 56정,"[주요성분] 가르시니아(HCA)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 2정/섭취기간: 2주/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 체지방감소/
[기능성분] HCA: 750mg/비타민B1: 2.4mg/셀렌: 55㎍/아연: 8.5mg",
에스더포뮬러 여에스더 다이어트 유산균 락토 플러스 330mg 30캡슐,"섭취횟수, 양: 1일 1회, 1캡슐/형태: 캡슐,정/건강기능식품/기능성: 체지방감소",
천호엔케어 슬림컷 다이어트 유산균 100 30캡슐,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 120캡슐/섭취기간: 4개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강, 체지방감소",
비엘헬스케어 을지대학교 체지방 컷 녹차카테킨 다이어트5 플러스 120정,"[주요성분] 녹차추출물(카테킨)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 1정/섭취기간: 2개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소, 항산화, 혈중 콜레스테롤 개선/
[기능성분] 카테킨: 400mg/아연: 8.5mg/망간: 3mg/셀렌: 55㎍/비오틴: 30㎍/엽산: 400㎍",
닥터블릿 푸응 유산균 다이어트 20캡슐,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2캡슐/총량: 20캡슐/섭취기간: 10일/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강, 체지방감소",
GRN 체지방 컷 초록이 포켓 14포,"[주요성분] 알로에전잎/녹차추출물(카테킨)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/섭취기간: 2주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 체지방감소, 항산화, 혈중 콜레스테롤 개선/
[기능성분] 카테킨: 300mg/안트라퀴논계화합물(무수바바로인): 20mg/비타민B1: 0.36mg/비타민B6: 0.45mg/판토텐산: 1.5mg/비타민C: 30mg/셀렌: 17㎍/아연: 2.55mg",
트리즈커머스 마이해빗 프리미엄 다이어트 유산균 56캡슐,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2캡슐/총량: 56캡슐/섭취기간: 4주/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강, 체지방감소/
[기능성분] 판토텐산: 3mg/아연: 3mg/비타민D: 5㎍",
뉴트리코어 메타바이옴 다이어트 유산균 V2 20포,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 20포/섭취기간: 20일/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소/
[기능성분] 비오틴: 30㎍/비타민B1: 0.6mg",
뉴트리코어 메타바이옴 다이어트 유산균 V2 120포,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 120포/섭취기간: 4개월/형태: 분말/특징: 스틱형/건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소/
[기능성분] 비오틴: 30㎍/비타민B1: 0.6mg",
삼진제약 위시헬씨 하루엔진 포 맨 30팩,"[주요성분] 루테인/밀크씨슬/오메가3/옥타코사놀/멀티비타민/rTG형(3세대)/
[섭취정보] 섭취대상: 성인남성/섭취횟수, 양: 1일 1회, 1회 1팩/총량: 30팩/섭취기간: 1개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/기능성: 간 건강, 눈 건강, 영양보충, 지구력 증진, 혈중 중성지질 개선, 혈행개선/
[기능성분] 루테인: 20mg/실리마린: 130mg/옥타코사놀: 40mg/EPA+DHA: 600mg/비타민B1: 50mg/비타민B2: 50mg/비타민B6: 50㎍/비타민B12: 50㎍/비타민D: 10㎍/비타민E: 11mgα-TE/나이아신: 50mgNE/판토텐산: 50mg/엽산: 400㎍/비오틴: 30㎍/아연: 17mg/",
서흥 비에날씬 프로 다이어트 유산균 BNR17 30캡슐 9개 + 슬림 14포 2개,"보장균수(CFU): 100억~/섭취대상: 성인여성, 성인남성/섭취횟수, 양: 1일 1회,1캡슐씩/섭취기간: 1개월(1통)/형태: 캡슐,정/건강기능식품/기능성: 장 건강, 체지방감소/프로바이오틱스 수 100억 CFU",
씨제이웰케어 바이오 코어 다이어트 유산균 14.4g 30캡슐,"[주요성분] 프로바이오틱스/기능성: 장 건강, 체지방감소",
