Name,Spec,ImageURL
하림 닭가슴살 블랙페퍼 100g,닭고기/닭가슴살/그릴·스팀/보관방법: 냉장보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\닭가슴살\하림 닭가슴살 블랙페퍼 100g.jpg
수지스 그릴드 닭가슴살 1.8kg,닭고기/닭가슴살/그릴·스팀/보관방법: 냉장보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\닭가슴살\수지스 그릴드 닭가슴살 1.8kg.jpg
허닭 일품 닭가슴살 스테이크 4종 40팩,닭고기/닭가슴살/스테이크/보관방법: 냉동보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\닭가슴살\허닭 일품 닭가슴살 스테이크 4종 40팩.jpg
이마트 노브랜드 닭가슴살 1kg,닭고기/닭가슴살/보관방법: 냉동보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\닭가슴살\이마트 노브랜드 닭가슴살 1kg.jpg
하림 IFF 한입 쏙 닭안심 블랙페퍼 800g,닭고기/닭안심/큐브(볼)/보관방법: 냉동보관/HACCP,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\닭가슴살\하림 IFF 한입 쏙 닭안심 블랙페퍼 800g.jpg
하림 수비드 닭가슴살 블랙페퍼 100g,닭고기/닭가슴살/수비드/보관방법: 냉장보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\닭가슴살\하림 수비드 닭가슴살 블랙페퍼 100g.jpg
하림 수비드 닭가슴살 오리지널 100g,닭고기/닭가슴살/수비드/보관방법: 냉장보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\닭가슴살\하림 수비드 닭가슴살 오리지널 100g.jpg
하나푸드 마테차 훈제 닭가슴살 200g,닭고기/닭가슴살/훈제,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\닭가슴살\하나푸드 마테차 훈제 닭가슴살 200g.jpg
CJ제일제당 The더건강한 닭가슴살 직화통살구이 100g,"닭고기/닭가슴살/그릴·스팀/보관방법: 냉장보관/
[영양정보] 총 내용량 100g:열량:120kcal/탄수화물:1g/당류:2g/단백질:25g/지방:1.6g/포화지방:0g/트랜스지방:0g/콜레스테롤:80mg/나트륨:360mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\닭가슴살\CJ제일제당 The더건강한 닭가슴살 직화통살구이 100g.jpg
하림 IFF 가슴살 1kg,닭고기/닭가슴살/보관방법: 냉동보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\닭가슴살\하림 IFF 가슴살 1kg.jpg
