Id,Name,Type,Price,Mall,Timestamp
켈로그 콘푸레이크 1.2kg,1,7140,22몰,1개,"일반 시리얼/대용량(벌크형)/
[영양정보] 1회 제공량 30g당 열량: 113kcal/탄수화물: 26.1g/당류: 3g/단백질: 1.8g/지방: 1.8g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 150mg"
켈로그 스페셜K 오리지널 파우치 1.3kg,2,13520,9몰,1개,"일반 시리얼/대용량(벌크형)/
[영양정보] 1회 제공량 40g당 열량: 152kcal/탄수화물: 31.6g/당류: 8g/단백질: 6g/지방: 0.2g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 200mg"
동서식품 포스트 콘푸라이트 1.1kg,6개,38330,44몰,581원/100g,"일반 시리얼/대용량(벌크형)/
[영양정보] 1회 제공량 30g당 열량: 115kcal/탄수화물: 26g/당류: 11g/단백질: 1g/지방: 0.5g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 171mg"
켈로그 오곡으로 만든 첵스초코 1.2kg,4개,33500,18몰,698원/100g,"일반 시리얼/대용량(벌크형)/
[영양정보] 1회 제공량 30g당 열량: 118kcal/탄수화물: 25.5g/당류: 9g/단백질: 1.5g/지방: 1.1g/포화지방: 0.5g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 135mg"
감미제과 장터할매 옛날전병 1kg,2개,15190,8몰,76원/10g,"전병/대용량(벌크형)/
[영양정보] 표시기준량 100g당 열량: 410kcal"
플라하반 퀵오트 오리지날 1.4kg,1개,26030,22몰,"1,859원/100g","오트밀 시리얼/대용량(벌크형)/
[영양정보] 1회 제공량 35g당 열량: 130kcal/나트륨 : 0.01g이하/탄수화물: 23g/당류: 0.3g/지방: 2g/트랜스지방: 0g/포화지방: 0.4g/콜레스테롤: 0mg/단백질 : 3.9g"
유림식품 7080 팝핀 전병 1kg,3개,21760,2몰,73원/10g,전병/대용량(벌크형)
리치 오트밀 미니바이트 1kg,5개,48790,14몰,98원/10g,"스낵/대용량(벌크형)/오트밀/
[영양정보] 표시기준량 100g당 열량: 518kcal"
리치 오트밀 미니바이트 1kg,8개,74780,30몰,93원/10g,"스낵/대용량(벌크형)/오트밀/
[영양정보] 표시기준량 100g당 열량: 518kcal"
퀘이커 오트밀 오리지널 1kg,10개,145200,2몰,"1,452원/100g","오트밀 시리얼/대용량(벌크형)/
[영양정보] 1회 제공량 100g당 열량: 370kcal/나트륨: 290mg/탄수화물: 69g/당류: 4g/식이섬유: 7.2g/지방: 7g/트랜스지방: 0g/포화지방: 11g/콜레스테롤: 0mg/단백질: 11g"
삼천리 스위티코리아 허니꿀짱 1kg 대용량 벌크,47원/10g,4680,2몰,,스낵/대용량(벌크형)
