Name,Spec,ImageURL
롯데칠성음료 클라우드 클리어 제로 350ml,"무알콜음료/포장형태: 캔/
[영양정보] 1회 제공량 350ml당 열량: 30kcal/탄수화물: 7g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 21mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\롯데칠성음료 클라우드 클리어 제로 350ml.jpg
하이트진로음료 하이트제로 0.00 350ml,"무알콜음료/포장형태: 캔/
[영양정보] 1회 제공량 350ml당 열량: 13.8kcal/탄수화물: 5g/당류: 0g/단백질: 1g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0mg/식이섬유: 5.1g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\하이트진로음료 하이트제로 0.00 350ml.jpg
하이트진로음료 하이트 제로 0.00 500ml,"무알콜음료/포장형태: 캔/
[영양정보] 1회 제공량 500ml당 열량: 18.8kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\하이트진로음료 하이트 제로 0.00 500ml.jpg
아사히 드라이제로 350ml,무알콜음료/포장형태: 캔,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\아사히 드라이제로 350ml.jpg
오비맥주 카스 0.0 330ml,"무알콜음료/포장형태: 캔/
[영양정보] 1회 제공량 330ml당 열량: 90kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\오비맥주 카스 0.0 330ml.jpg
롯데칠성음료 클라우드 클리어 0.5 355ml,"무알콜음료/포장형태: 캔/
[영양정보] 1회 제공량 355ml당 열량: 90kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\롯데칠성음료 클라우드 클리어 0.5 355ml.jpg
기린제로 무알콜 맥주 350ml,무알콜음료/포장형태: 캔,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\기린제로 무알콜 맥주 350ml.jpg
칭따오 논알콜릭 330ml,"무알콜음료/포장형태: 캔/
[영양정보] 1회 제공량 330ml당 열량: 65kcal/탄수화물: 15g/당류: 4g/단백질: 1g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\칭따오 논알콜릭 330ml.jpg
오비맥주 카스 제로 레몬 스퀴즈 0.0 330ml,무알콜음료/포장형태: 캔/330ml,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\오비맥주 카스 제로 레몬 스퀴즈 0.0 330ml.jpg
칭따오 논알콜릭 500ml,무알콜음료/포장형태: 캔,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\칭따오 논알콜릭 500ml.jpg
오비맥주 카스 0.0 355ml,"무알콜음료/포장형태: 캔/
[영양정보] 1회 제공량 355ml당 열량: 95kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\오비맥주 카스 0.0 355ml.jpg
오비맥주 카스 0.0 500ml,무알콜음료/포장형태: 캔,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\오비맥주 카스 0.0 500ml.jpg
하이네켄 0.0 논알콜릭 330ml,"무알콜음료/포장형태: 캔/
[영양정보] 1회 제공량 100ml당 열량: 21kcal/탄수화물: 4.8g/당류: 1.3g/단백질: 0.4g/지방: 0.1g미만/포화지방: 0g/나트륨: 0.01mg미만",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\하이네켄 0.0 논알콜릭 330ml.jpg
오비맥주 버드와이저 제로 500ml,"무알콜음료/포장형태: 캔/
[영양정보] 1회 제공량 500ml당 열량: 70kcal/탄수화물: 16.5g/당류: 0g/단백질: 1g미만/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\오비맥주 버드와이저 제로 500ml.jpg
바바리아 오리지날 330ml,"무알콜음료/포장형태: 캔/
[영양정보] 총 내용량 330ml당 열량: 80kcal/원재료: 정제수, 보리맥아, 맥아당, 호프",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\바바리아 오리지날 330ml.jpg
제주맥주 제주누보 355ml,무알콜음료/포장형태: 캔,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\제주맥주 제주누보 355ml.jpg
오비맥주 버드와이저 제로 330ml,무알콜음료,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\오비맥주 버드와이저 제로 330ml.jpg
오비맥주 카스 0.0 레몬 스퀴즈 355ml,"무알콜음료/포장형태: 캔/
[영양정보] 1회 제공량 355ml당 열량: 125kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\오비맥주 카스 0.0 레몬 스퀴즈 355ml.jpg
오비맥주 호가든 0.0 논알콜릭 500ml,"무알콜음료/포장형태: 캔/
[영양정보] 1회 제공량 500ml당 열량: 150kcal/탄수화물: 35g/당류: 15g/단백질: 2g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 15mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\오비맥주 호가든 0.0 논알콜릭 500ml.jpg
칭따오 논알콜릭 330ml (병),"무알콜음료/포장형태: 병/
[영양정보] 1회 제공량 330ml당 열량: 65kcal/탄수화물: 15g/당류: 4g/단백질: 1g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\칭따오 논알콜릭 330ml (병).jpg
코젤 다크 논알콜릭 500ml,무알콜음료/포장형태: 캔,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\코젤 다크 논알콜릭 500ml.jpg
하이트진로음료 하이트제로 0.00 240ml,무알콜음료/포장형태: 캔,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\하이트진로음료 하이트제로 0.00 240ml.jpg
칭따오 논알콜릭 레몬 330ml,"무알콜음료/포장형태: 캔/
[영양정보] 1회 제공량 330ml당 열량: 60kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\칭따오 논알콜릭 레몬 330ml.jpg
KROMBACHER 크롬바커 필스 무알콜 500ml,"무알콜음료/포장형태: 캔/
[영양정보] 총 내용량 500ml당 열량: 144kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\KROMBACHER 크롬바커 필스 무알콜 500ml.jpg
ECLOR BOISSONS 벨노르망디 논알콜 적포도 스파클링 샴페인 750ml,"무알콜음료/포장형태: 병/
[영양정보] 1회 제공량 750ml당 열량: 477.75kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\ECLOR BOISSONS 벨노르망디 논알콜 적포도 스파클링 샴페인 750ml.jpg
하이네켄 0.0 논알콜릭 500ml,"무알콜음료/포장형태: 캔/
[영양정보] 1회 제공량 500ml당 열량: 105kcal/탄수화물: 24g/당류: 6.5g/단백질: 2g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 50mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\하이네켄 0.0 논알콜릭 500ml.jpg
산미구엘 엔에이비 무알콜 330ml,무알콜음료/포장형태: 캔,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\무알콜맥주_음료\산미구엘 엔에이비 무알콜 330ml.jpg
