Name,Spec,ImageURL
오뚜기 빵가루 500g,밀가루/전분/빵가루,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\밀가루_곡물가루\오뚜기 빵가루 500g.jpg
동아식품 통팥앙금 5kg/ 붕어빵/ 팥빙수,과자/초콜릿/디저트/DIY/간편베이킹/홈메이드믹스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\밀가루_곡물가루\동아식품 통팥앙금 5kg_ 붕어빵_ 팥빙수.jpg
대한제분 곰표 부침가루 1kg,밀가루/전분/부침가루,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\밀가루_곡물가루\대한제분 곰표 부침가루 1kg.jpg
대한제분 곰표 중력 밀가루 1kg,밀가루/전분/밀가루/중력분,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\밀가루_곡물가루\대한제분 곰표 중력 밀가루 1kg.jpg
오뚜기 튀김가루 500g,밀가루/전분/튀김가루,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\밀가루_곡물가루\오뚜기 튀김가루 500g.jpg
CJ제일제당 백설 찹쌀호떡믹스 400g,밀가루/전분/호떡믹스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\밀가루_곡물가루\CJ제일제당 백설 찹쌀호떡믹스 400g.jpg
곰표 강력 밀가루 2.5kg 5개,,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\밀가루_곡물가루\곰표 강력 밀가루 2.5kg 5개.jpg
사조대림 해표 튀김가루 1kg,밀가루/전분/튀김가루,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\밀가루_곡물가루\사조대림 해표 튀김가루 1kg.jpg
뚜레반 찹쌀가루 국산 A+ 1kg 4개,밀가루/전분/쌀가루,
복만네식품 복만네 콩국수용 콩가루 850g,밀가루/전분/콩가루(콩국물용),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\밀가루_곡물가루\복만네식품 복만네 콩국수용 콩가루 850g.jpg
오뚜기 핫케이크 가루 1kg,밀가루/전분/제과제빵믹스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\밀가루_곡물가루\오뚜기 핫케이크 가루 1kg.jpg
