Name,Spec,ImageURL
웅진식품 하늘보리 500ml,차음료/곡물음료/포장형태: 페트/박스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\웅진식품 하늘보리 500ml.jpg
웅진식품 하늘보리 에코 1.5L,차음료/곡물음료/포장형태: 페트/무라벨/박스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\웅진식품 하늘보리 에코 1.5L.jpg
팔도 밥알없는 비락 식혜 175ml,"차음료/식혜/포장형태: 캔/
[영양정보] 1회 제공량 175ml당 열량: 60kcal/탄수화물: 15g/당류: 12g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 5mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\팔도 밥알없는 비락 식혜 175ml.jpg
팔도 비락 식혜 238ml,"차음료/식혜/포장형태: 캔/
[영양정보] 1회 제공량 238ml당 열량: 85kcal/탄수화물: 21g/당류: 17g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\팔도 비락 식혜 238ml.jpg
광동제약 V라인 옥수수수염차 1.5L,"차음료/곡물음료/포장형태: 페트/박스/
[영양정보] 1회 제공량 100ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\광동제약 V라인 옥수수수염차 1.5L.jpg
팔도 비락식혜 제로 238ml,차음료/식혜/포장형태: 캔/238ml/제로칼로리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\팔도 비락식혜 제로 238ml.jpg
코카콜라음료 태양의 마테차 500ml,"차음료/곡물음료/포장형태: 페트/
[영양정보] 1회 제공량 250ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 37mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\코카콜라음료 태양의 마테차 500ml.jpg
광동제약 힘찬하루 헛개차 340ml,"차음료/포장형태: 페트/
[영양정보] 1회 제공량 340ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\광동제약 힘찬하루 헛개차 340ml.jpg
코카콜라음료 태양의 식후비법 더블유W차 500ml,"차음료/곡물음료/포장형태: 페트/
[영양정보] 1회 제공량 500ml당 열량: 35kcal/탄수화물: 15g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스트롤 0mg/나트륨: 51mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\코카콜라음료 태양의 식후비법 더블유W차 500ml.jpg
이토엔 오이오차 녹차 525ml,"차음료/녹차음료/포장형태: 페트/
[영양정보] 1회 제공량 200ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 18mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\이토엔 오이오차 녹차 525ml.jpg
광동제약 V라인 옥수수수염차 340ml,"차음료/곡물음료/포장형태: 페트/박스/
[영양정보] 1회 제공량 340ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 35mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\광동제약 V라인 옥수수수염차 340ml.jpg
광동제약 힘찬하루 헛개차 500ml,"차음료/포장형태: 페트/
[영양정보] 1회 제공량 100ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\광동제약 힘찬하루 헛개차 500ml.jpg
동원F&B 보성홍차 아이스티 제로 복숭아 500ml,"차음료/홍차음료/포장형태: 페트/제로칼로리/박스/
[영양정보] 1회 제공량 500ml당 열량: 0kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\동원F&B 보성홍차 아이스티 제로 복숭아 500ml.jpg
동아오츠카 데자와 로얄밀크티 500ml,"차음료/홍차음료/포장형태: 페트/
[영양정보] 1회 제공량 500ml당 열량: 190kcal/탄수화물: 38g/당류: 34g/단백질: 3g/지방: 3g/포화지방: 1.9g/트랜스지방: 0g/콜레스테롤: 8mg/나트륨: 85mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\동아오츠카 데자와 로얄밀크티 500ml.jpg
광동제약 힘찬하루 헛개차 1.5L,"차음료/포장형태: 페트/박스/
[영양정보] 1회 제공량 100ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 30mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\광동제약 힘찬하루 헛개차 1.5L.jpg
하이트진로음료 블랙보리 520ml,차음료/곡물음료/포장형태: 페트,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\하이트진로음료 블랙보리 520ml.jpg
코카콜라음료 태양의 식후비법 더블유W차 라벨프리 500ml,차음료/곡물음료/포장형태: 페트/무라벨/박스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\코카콜라음료 태양의 식후비법 더블유W차 라벨프리 500ml.jpg
웅진식품 티즐 제로 자몽 블랙티 500ml,"차음료/홍차음료/포장형태: 페트/제로칼로리/박스/
[영양정보] 1회 제공량 500ml당 열량: 0kcal/탄수화물: 5.4g/당류: 0g/단백질: 0g/지방: 0g/트랜스지방: 0g/포화지방: 0g/콜레스테롤: 0mg/나트륨: 25mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\웅진식품 티즐 제로 자몽 블랙티 500ml.jpg
광동제약 V라인 옥수수수염차 500ml,"차음료/곡물음료/포장형태: 페트/
[영양정보] 1회 제공량 100ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\광동제약 V라인 옥수수수염차 500ml.jpg
하이트진로음료 블랙보리 1.5L,차음료/곡물음료/포장형태: 페트/박스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\하이트진로음료 블랙보리 1.5L.jpg
롯데칠성음료 솔의눈 240ml,"차음료/기타차음료/포장형태: 캔/박스/
[영양정보] 1회 제공량 240ml당 열량: 75kcal/탄수화물: 19g/당류: 19g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 40mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\롯데칠성음료 솔의눈 240ml.jpg
동아오츠카 데자와 로얄밀크티 240ml,"차음료/홍차음료/포장형태: 캔/박스/
[영양정보] 1회 제공량 240ml당 열량: 95kcal/탄수화물: 18g/당류: 14g/단백질: 2g/지방: 1.8g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 4mg/나트륨: 0mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\동아오츠카 데자와 로얄밀크티 240ml.jpg
웅진식품 하늘보리 1.5L,차음료/곡물음료/포장형태: 페트/박스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\웅진식품 하늘보리 1.5L.jpg
광동제약 밀싹 보리차 1.5L,차음료/곡물음료/포장형태: 페트/박스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\광동제약 밀싹 보리차 1.5L.jpg
동원F&B 보성녹차 1.5L,"차음료/녹차음료/포장형태: 페트/박스/
[영양정보] 1회 제공량 200ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 15mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\동원F&B 보성녹차 1.5L.jpg
웅진식품 하늘보리 325ml,차음료/곡물음료/포장형태: 페트,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\웅진식품 하늘보리 325ml.jpg
동원F&B 보성홍차 아이스티 제로 애플 500ml,"차음료/홍차음료/포장형태: 페트/제로칼로리/
[영양정보] 1회 제공량 500ml당 열량: 0kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\동원F&B 보성홍차 아이스티 제로 애플 500ml.jpg
웅진식품 아침햇살 1.5L,"차음료/곡물음료/포장형태: 페트/박스/
[영양정보] 1회 제공량 200ml당 열량: 120kcal/탄수화물: 24g/당류: 14g/단백질: 0g/지방: 2.6g/포화지방: 2.5g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\웅진식품 아침햇살 1.5L.jpg
동원F&B 보성말차 500ml,"차음료/녹차음료/포장형태: 페트/
[영양정보] 1회 제공량 500ml당 열량: 0kcal/탄수화물: 1g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 35mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\보리차_차음료\동원F&B 보성말차 500ml.jpg
