Name,Spec,ImageURL
다인 아이스 경주빵 38g,빵/빵류/특징: 사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\다인 아이스 경주빵 38g.jpg
한올식품 경성명과 롤 케이크 500g+초코파운드 480g,빵/케이크/특징: 선물용,
SPC삼립 천연 효모로 만든 로만밀 통밀식빵 420g,빵/식빵/특징: 통밀빵,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 천연 효모로 만든 로만밀 통밀식빵 420g.jpg
SPC삼립 발효미종 상온호빵 단팥 12입,빵/찐빵,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 발효미종 상온호빵 단팥 12입.jpg
오뚜기 꼬리까지 가득 찬 팥붕어빵 480g,빵/붕어빵,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\오뚜기 꼬리까지 가득 찬 팥붕어빵 480g.jpg
안흥식품 할매 안흥 쌀찐빵 30개 + 흑미 쌀찐빵 30개,"찐빵/냉동보관/구성: 할매 쌀찐빵 30개, 흑미 쌀찐빵 30개",
SPC삼립 오븐에 구운 도넛 40g,빵/도넛/특징: 사무실간식(소포장)/1회 제공량 40g당 열량: 175kcal/나트륨: 100mg/탄수화물: 26g/당류: 11g/지방: 7g/트랜스지방: 0g/포화지방: 3.4g/콜레스테롤: 37mg/단백질: 2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 오븐에 구운 도넛 40g.jpg
미미스상회 쫀득쫀득 왕찹쌀떡 1.8kg,떡/찹쌀떡,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\미미스상회 쫀득쫀득 왕찹쌀떡 1.8kg.jpg
SPC삼립 토종 효모로 만든 통밀식빵 755g,"755g/알레르기성분: 대두, 밀/
[영양정보] 표시기준분량: 100g/열량: 257kcal/탄수화물: 47g/당류: 6g/단백질: 6g/지방: 5g/포화지방: 1.8g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 510mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 토종 효모로 만든 통밀식빵 755g.jpg
SPC삼립 주종발효 단팥크림빵 115g,빵/크림빵/1회 제공량 115g당 열량: 380kcal/나트륨: 240mg/탄수화물: 56g/당류: 23g/지방: 15g/트랜스지방: 0.6g/포화지방: 8g/콜레스테롤: 10mg/단백질: 5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 주종발효 단팥크림빵 115g.jpg
대두식품 감자빵 90g,빵류,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\대두식품 감자빵 90g.jpg
SPC삼립 호밀 빅 식빵 1kg,빵/식빵,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 호밀 빅 식빵 1kg.jpg
신세계푸드 버터 크로와상 생지 50개입 2.25kg,빵/크로와상/특징: 생지,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\신세계푸드 버터 크로와상 생지 50개입 2.25kg.jpg
SPC삼립 정통밤만쥬 23g,화과자/특징: 사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 정통밤만쥬 23g.jpg
