Id,Name,Type,Price,Mall,Timestamp
투시롤 투시팝 미니어쳐 200개입 1.02kg,1개,16290,2몰,160원/10g,사탕/사무실간식(소포장)
로투스 비스코프 50개입 312.5g,1,3910,115몰,1개,"비스킷,크래커/사무실간식(소포장)"
롯데웰푸드 몽쉘 카카오 생크림케이크 12개입 384g,4개,20150,5몰,131원/10g,"파이/사무실간식(소포장)/
[영양정보] 1회 제공량 32g당 열량: 165kcal"
롯데웰푸드 마가렛트 16개입 352g,8개,26880,147몰,95원/10g,"쿠키/사무실간식(소포장)/
[영양정보] 표시기준량 22g당 열량: 121kcal"
진주햄 천하장사 Q 100개입 1kg,2,16280,6몰,2개,소시지(간식용)/사무실간식(소포장)
몬델리즈 오레오 화이트크림 2개입 100g,5개,9630,17몰,193원/10g,샌드/사무실간식(소포장)
몬델리즈 오레오 마일드 스위트 2개입 100g,24개,28900,1몰,120원/10g,샌드/사무실간식(소포장)
몬델리즈 오레오 화이트크림 2개입 100g,10개,11720,33몰,117원/10g,샌드/사무실간식(소포장)
몬델리즈 오레오 초콜릿크림 15개입 300g,12개,41300,1몰,486원/10g,샌드/사무실간식(소포장)
롯데웰푸드 엄마손파이 10개입 127g,16개,30830,4몰,152원/10g,파이/사무실간식(소포장)
롯데웰푸드 빠다코코낫 2개입 100g,2개,4750,1몰,238원/10g,"비스킷,크래커/사무실간식(소포장)"
롯데웰푸드 빈츠 12개입 102g,20개,39490,9몰,194원/10g,"비스킷,크래커/사무실간식(소포장)"
몬델리즈 오레오 화이트크림 2개입 100g,48개,169230,1몰,353원/10g,샌드/사무실간식(소포장)
크라운제과 쵸코하임 6개입 47g,30개,23240,1몰,165원/10g,"비스킷,크래커/사무실간식(소포장)"
해태제과 아이비 270g,6개,16470,23몰,102원/10g,"비스킷,크래커/사무실간식(소포장)"
롯데웰푸드 카스타드 6개입 138g,3개,6780,13몰,164원/10g,"파이/사무실간식(소포장)/
[영양정보] 표시기준량 138g당 열량: 630kcal"
리스카 우마이봉 콘스프맛 6g,15개,4500,2몰,500원/10g,스낵/사무실간식(소포장)
사조대림 오양 꼬마장사 38g,35개,12690,3몰,95원/10g,소시지(간식용)/사무실간식(소포장)/표시기준량: 38g/열량: 90kcal
롯데웰푸드 아몬드 빼빼로 4개입 132g,9개,43240,3몰,364원/10g,"비스킷,크래커/사무실간식(소포장)"
오리온 촉촉한 초코칩 12개입 240g,7개,25500,1몰,152원/10g,쿠키/사무실간식(소포장)
오리온 촉촉한 초코칩 12개입 240g,14개,37690,10몰,112원/10g,쿠키/사무실간식(소포장)
크라운제과 쵸코하임 6개입 47g,36개,32750,4몰,194원/10g,"비스킷,크래커/사무실간식(소포장)"
사조대림 오양 치즈킹 꼬마장사 70g,60개,49590,1몰,"1,181원/100g",소시지(간식용)/사무실간식(소포장)/표시기준량: 70g/열량: 141kcal
사조대림 오양 치즈킹 꼬마장사 70g,120개,65620,1몰,781원/100g,소시지(간식용)/사무실간식(소포장)/표시기준량: 70g/열량: 141kcal
페레로 페레로로쉐 T5 5개입 62.5g,18개,54490,5몰,484원/10g,초콜릿/사무실간식(소포장)
제주 리얼 타르트 12개입,,7500,1몰,,쿠키/사무실간식(소포장)
오리온 촉촉한 초코칩 16개입 320g,11개,64820,3몰,184원/10g,"쿠키/사무실간식(소포장)/
[영양정보] 1회 제공량 320g당 열량: 1832kcal"
롯데푸드 롯데햄 키스틱 체다치즈 25g,32개,9900,1몰,"1,238원/100g",소시지(간식용)/사무실간식(소포장)
개미식품 곡물그대로21 크리스피롤 900g,13개,238000,2몰,203원/10g,스낵/사무실간식(소포장)
개미식품 곡물그대로21 크리스피롤 900g,17개,312000,1몰,204원/10g,스낵/사무실간식(소포장)
개미식품 곡물그대로21 크리스피롤 900g,19개,350000,2몰,205원/10g,스낵/사무실간식(소포장)
오리온 예감 오리지널 2개입 64g,40개,56780,1몰,222원/10g,감자칩/사무실간식(소포장)
