Name,Spec,ImageURL
스파클 생수 무라벨 2L,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충남 천안시,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\스파클 생수 무라벨 2L.jpg
광동제약 제주 삼다수 500ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 제주시 조천읍,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\광동제약 제주 삼다수 500ml.jpg
광동제약 제주 삼다수 2L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 제주시 조천읍,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\광동제약 제주 삼다수 2L.jpg
광동제약 제주 삼다수 그린 2L,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 제주시 조천읍,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\광동제약 제주 삼다수 그린 2L.jpg
스파클 생수 무라벨 500ml,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충청남도 천안시 동남구,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\스파클 생수 무라벨 500ml.jpg
스파클 생수 2L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충남 천안시,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\스파클 생수 2L.jpg
쿠팡 탐사 탐사수 무라벨 2L,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경남 합천군,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\쿠팡 탐사 탐사수 무라벨 2L.jpg
광동제약 제주 삼다수 그린 500ml,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 제주시 조천읍,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\광동제약 제주 삼다수 그린 500ml.jpg
동원F&B 동원샘물 무라벨 500ml,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/수원지: 충북 괴산군 불정면 하산로 1길,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\동원F&B 동원샘물 무라벨 500ml.jpg
농심 백두산 백산수 2L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 백두산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\농심 백두산 백산수 2L.jpg
해태htb 강원 평창수 무라벨 2L,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/수원지: 강원도 평창군 봉평면 진조리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\해태htb 강원 평창수 무라벨 2L.jpg
농심 백산수 무라벨 2L,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/수원지: 중국 길림성 안도현 이도진 내두천(백두산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\농심 백산수 무라벨 2L.jpg
동원F&B 동원샘물 2L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경기도 연천군,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\동원F&B 동원샘물 2L.jpg
농심 백두산 백산수 500ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 백두산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\농심 백두산 백산수 500ml.jpg
롯데칠성음료 아이시스 8.0 ECO 300ml,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충북 청원군,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\롯데칠성음료 아이시스 8.0 ECO 300ml.jpg
풀무원샘물 by Nature 2L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경기 포천/※ 무라벨 패키지로 리뉴얼 출시되었으나 기존 제품과 함께 발송될 수 있으니 구입 시 참고.,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\풀무원샘물 by Nature 2L.jpg
롯데칠성음료 아이시스 8.0 200ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충북 청주시,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\롯데칠성음료 아이시스 8.0 200ml.jpg
화인바이오 지리산 물하나 2L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경남 산청군,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\화인바이오 지리산 물하나 2L.jpg
해태htb 강원 평창수 2L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 강원도 평창군,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\해태htb 강원 평창수 2L.jpg
동원F&B 동원샘물 무라벨 2L,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/수원지: 충북 괴산군 불정면 하산로 1길,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\동원F&B 동원샘물 무라벨 2L.jpg
스파클 생수 500ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충남 천안시,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\스파클 생수 500ml.jpg
산수음료 탐사수 무라벨 500ml,무라벨/포장형태: 페트/수원지: 충북 청주/500ml,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\산수음료 탐사수 무라벨 500ml.jpg
롯데칠성음료 아이시스 ECO 500ml,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경남 산청 시천면,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\롯데칠성음료 아이시스 ECO 500ml.jpg
화인바이오 지리산 물하나 500ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경남 산청군,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\화인바이오 지리산 물하나 500ml.jpg
쿠팡 탐사 탐사수 무라벨 500ml,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경남 합천군,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\쿠팡 탐사 탐사수 무라벨 500ml.jpg
한국청정음료 몽베스트 330ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경기 포천,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\한국청정음료 몽베스트 330ml.jpg
광동제약 제주 삼다수 그린 330ml,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 제주시 조천읍,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\광동제약 제주 삼다수 그린 330ml.jpg
롯데칠성음료 아이시스 8.0 2L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/암반대수층지하수/수원지: 충북 청원군,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\롯데칠성음료 아이시스 8.0 2L.jpg
아워홈 지리산수 무라벨 2L,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 천연암반수/수원지: 경남 산청군,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\아워홈 지리산수 무라벨 2L.jpg
정식품 심천수 2L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 지리산 산림지역,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\정식품 심천수 2L.jpg
광동제약 제주 삼다수 330ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 제주시 조천읍,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\광동제약 제주 삼다수 330ml.jpg
동원F&B 동원샘물 500ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경기도 연천군,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\동원F&B 동원샘물 500ml.jpg
농심 백산수 무라벨 500ml,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/수원지: 중국 길림성 안도현 이도진 내두천(백두산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\농심 백산수 무라벨 500ml.jpg
에비앙 미네랄 워터 500ml,수입생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 지하수(빙하퇴적층에서 취수)/수원지: 프랑스 에비앙,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\에비앙 미네랄 워터 500ml.jpg
롯데칠성음료 아이시스 8.0 300ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충북 청원군,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\롯데칠성음료 아이시스 8.0 300ml.jpg
풀무원샘물 워터루틴 2L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경기도 포천시 이동면,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\풀무원샘물 워터루틴 2L.jpg
농심 백두산 백산수 1L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 백두산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\농심 백두산 백산수 1L.jpg
에비앙 미네랄 워터 330ml,수입생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 지하수(빙하퇴적층에서 취수)/수원지: 프랑스 에비앙,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\에비앙 미네랄 워터 330ml.jpg
화인바이오 지리산 물하나 ECO 500ml,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경남 산청군,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\화인바이오 지리산 물하나 ECO 500ml.jpg
해태htb 강원 평창수 무라벨 500ml,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/수원지: 강원도 평창군 봉평면 진조리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\해태htb 강원 평창수 무라벨 500ml.jpg
롯데칠성음료 아이시스 8.0 1L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충북 청주시,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\롯데칠성음료 아이시스 8.0 1L.jpg
코스트코 커클랜드 시그니춰 먹는샘물 500ml,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경기도 포천시,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\코스트코 커클랜드 시그니춰 먹는샘물 500ml.jpg
한국청정음료 몽베스트 2L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경기 포천,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\한국청정음료 몽베스트 2L.jpg
아워홈 지리산수 2L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 천연암반수/수원지: 경남 산청군,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\아워홈 지리산수 2L.jpg
스파클 생수 18.9L,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충남 천안시,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\스파클 생수 18.9L.jpg
아이쿱생협 자연드림 JUST 기픈물 딥워터 1L,국내생수/식품유형: 먹는해양심층수/포장형태: 팩/수원지: 강원도 고성 오호,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\아이쿱생협 자연드림 JUST 기픈물 딥워터 1L.jpg
