Name,Spec,ImageURL
김포금쌀탁주 김포 약주 750ml,전통주/약주/경기도/도수: 11도,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\술_전통주_와인\김포금쌀탁주 김포 약주 750ml.jpg
배혜정도가 우곡생주 750ml,전통주/탁주/경기도/포장형태: 페트/도수: 10도,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\술_전통주_와인\배혜정도가 우곡생주 750ml.jpg
고창선운산 복분자주 1.8L,전통주/과실주/전라북도/특징: 선물용/도수: 16.5도,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\술_전통주_와인\고창선운산 복분자주 1.8L.jpg
아사히주조 쿠보타 만쥬 준마이 다이긴죠 720ml,사케/생산지: 니가타현/포장형태: 병/720ml/도수: 15%,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\술_전통주_와인\아사히주조 쿠보타 만쥬 준마이 다이긴죠 720ml.jpg
안동소주일품 담금주 3.6L (40도),전통주/증류식소주/경상북도/특징: 담금소주/도수: 40도,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\술_전통주_와인\안동소주일품 담금주 3.6L (40도).jpg
연태고량주 500ml,전통주/기타전통주/포장형태: 병/도수: ~40도,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\술_전통주_와인\연태고량주 500ml.jpg
디카이퍼 피치트리,양주/리큐르/생산국: 네덜란드/도수: 20%,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\술_전통주_와인\디카이퍼 피치트리.jpg
닷사이 23 준마이 다이긴죠 720ml,사케/도수: 16%,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\술_전통주_와인\닷사이 23 준마이 다이긴죠 720ml.jpg
중원양조 사랑할때 12도 300ml,전통주/과실주/충청북도/포장형태: 병/도수: 12도,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\술_전통주_와인\중원양조 사랑할때 12도 300ml.jpg
바다한잔 동해 소주 360ml,전통주/일반증류주/강원도/포장형태: 병/도수: 17.5도,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\술_전통주_와인\바다한잔 동해 소주 360ml.jpg
디사론노 700ml,양주/리큐르/생산국: 이탈리아/도수: 28%,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\술_전통주_와인\디사론노 700ml.jpg
배상면주가(포천LB) 느린마을 무 아스파탐 생막걸리 750ml,전통주/탁주/경기도/포장형태: 페트/도수: 6도,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\술_전통주_와인\배상면주가(포천LB) 느린마을 무 아스파탐 생막걸리 750ml.jpg
명인안동소주 안동소주 360ml (35도),전통주/증류식소주/경상북도/포장형태: 병/도수: 35도,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\술_전통주_와인\명인안동소주 안동소주 360ml (35도).jpg
에반 윌리엄스 블랙 750ml,양주/위스키/버번/생산국: 미국/도수: 43%,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\술_전통주_와인\에반 윌리엄스 블랙 750ml.jpg
고려주조 담금주 3.6L (30도),전통주/일반증류주/충청북도/포장형태: 페트/특징: 담금소주/도수: 30도,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\술_전통주_와인\고려주조 담금주 3.6L (30도).jpg
안동소주일품 일품 350ml (40도),전통주/증류식소주/경상북도/포장형태: 병/도수: 40도,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\술_전통주_와인\안동소주일품 일품 350ml (40도).jpg
닷사이 39 준마이 다이긴죠 720ml,사케/생산지: 야마구치현/도수: 16%,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\술_전통주_와인\닷사이 39 준마이 다이긴죠 720ml.jpg
진도아리랑영농조합법인 진도홍주 선물용 700ml (60도),전통주/리큐르/전라남도/포장형태: 병/도수: 60도,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\술_전통주_와인\진도아리랑영농조합법인 진도홍주 선물용 700ml (60도).jpg
