Name,Spec,ImageURL
1883 Philibert Routin 루틴 바닐라 시럽 1L,소스/드레싱/시럽/시럽/바닐라시럽,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\1883 Philibert Routin 루틴 바닐라 시럽 1L.jpg
모닌 바닐라 시럽 1L,소스/드레싱/시럽/시럽/바닐라시럽,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\모닌 바닐라 시럽 1L.jpg
모닌 피치 복숭아 시럽 1L,소스/드레싱/시럽/시럽/과일시럽/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\모닌 피치 복숭아 시럽 1L.jpg
오뚜기 메론 시럽 1kg,소스/드레싱/시럽/시럽/과일시럽/플라스틱,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\오뚜기 메론 시럽 1kg.jpg
허쉬 초코 시럽 623g,소스/드레싱/시럽/시럽/초코시럽,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\허쉬 초코 시럽 623g.jpg
(주)동서 리치스 슈가시럽 1.5L,소스/드레싱/시럽/시럽/카페시럽/대용량(업소용),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\(주)동서 리치스 슈가시럽 1.5L.jpg
모닌 그레나딘 석류 시럽 700ml,소스/드레싱/시럽/시럽/과일시럽/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\모닌 그레나딘 석류 시럽 700ml.jpg
모닌 카라멜 시럽 1L,소스/드레싱/시럽/시럽/카페시럽,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\모닌 카라멜 시럽 1L.jpg
1883 Philibert Routin 초콜렛 시럽 1L,소스/드레싱/시럽/시럽,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\1883 Philibert Routin 초콜렛 시럽 1L.jpg
1883 Philibert Routin 루틴 로스티드 헤이즐넛 시럽 1L,소스/드레싱/시럽/시럽/헤이즐넛시럽/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\1883 Philibert Routin 루틴 로스티드 헤이즐넛 시럽 1L.jpg
1883 Philibert Routin 루틴 블루큐라소 시럽 1L,소스/드레싱/시럽/시럽/과일시럽/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\1883 Philibert Routin 루틴 블루큐라소 시럽 1L.jpg
카파아이엔티 포모나 바닐라 시럽 1L,소스/드레싱/시럽/시럽/바닐라시럽/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\카파아이엔티 포모나 바닐라 시럽 1L.jpg
오뚜기 딸기 시럽 1kg,소스/드레싱/시럽/시럽/과일시럽/플라스틱,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\오뚜기 딸기 시럽 1kg.jpg
카파아이엔티 포모나 메이플 시럽 1L,소스/드레싱/시럽/시럽/메이플시럽/보관방법: 실온보관/단풍나무수액(미국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\카파아이엔티 포모나 메이플 시럽 1L.jpg
오뚜기 달콤한 케이크 시럽 220g,소스/드레싱/시럽/시럽/메이플시럽,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\오뚜기 달콤한 케이크 시럽 220g.jpg
토스키 라임 시럽 1L,소스/드레싱/시럽/시럽/과일시럽/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\토스키 라임 시럽 1L.jpg
오뚜기 달콤한 딸기 시럽 215g,소스/드레싱/시럽/시럽/과일시럽,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\오뚜기 달콤한 딸기 시럽 215g.jpg
코스트코 커클랜드 블루 아가베 시럽 1.02kg,소스/드레싱/시럽/시럽/아가베시럽/보관방법: 실온보관/아가베시럽 100%(멕시코산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\코스트코 커클랜드 블루 아가베 시럽 1.02kg.jpg
모닌 스트로베리 딸기 퓨레 1L,소스/드레싱/시럽/시럽/과일시럽/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\모닌 스트로베리 딸기 퓨레 1L.jpg
코스트코 커클랜드 메이플 시럽 1L,소스/드레싱/시럽/시럽/메이플시럽/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\코스트코 커클랜드 메이플 시럽 1L.jpg
기라델리 초콜릿 소스 454g,소스/드레싱/시럽/시럽/미국,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\기라델리 초콜릿 소스 454g.jpg
모닌 헤이즐넛 시럽 1L,소스/드레싱/시럽/시럽/헤이즐넛시럽,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\모닌 헤이즐넛 시럽 1L.jpg
대상 청정원 카페 시럽 1.5L,소스/드레싱/시럽/시럽/카페시럽,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\대상 청정원 카페 시럽 1.5L.jpg
마리브리자드 트리플 섹 시럽 700ml,소스/드레싱/시럽/시럽/과일시럽/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\마리브리자드 트리플 섹 시럽 700ml.jpg
마리브리자드 그레나딘 시럽 700ml,소스/드레싱/시럽/시럽/과일시럽/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\마리브리자드 그레나딘 시럽 700ml.jpg
롯데웰푸드 카페시럽 1.5L,소스/드레싱/시럽/시럽/대용량(업소용),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\롯데웰푸드 카페시럽 1.5L.jpg
소다스트림 탄산수 시럽 펩시콜라 440ml,소스/드레싱/시럽/시럽,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시럽_색소_향료\소다스트림 탄산수 시럽 펩시콜라 440ml.jpg
