2024-10-17 12:57:57
68735837,배드해빗 대추차 1000ml,3개,48930,1몰,"1,631원/100ml",대추차
68735819,오뚜기 생강차 13g 15개입 + 대추차 13g 15개입,,10660,1몰,,대추차/생강차
65999936,봉동시앙편강 봉동 무가당 시앙진액 1L,1개,13520,2몰,"1,352원/100ml",생강차
62215415,엄마애손 마가목 300g,1개,11000,3몰,367원/10g,한방차/리필형
61485392,케뎀 국내산 액상스틱 팥차 리얼팥차 14개입,1개,13380,8몰,956원/1개입,호박팥차
61485353,몽베스트 블랜딩 콤부차 달콤 4종 10개입,4개,12900,1몰,323원/1개입,
32651726,남늘보농원 금전초 차 50T,1개,15980,1몰,320원/1T,티백형
32601959,북설악 홍도라지청 300g,1개,36000,2몰,"1,200원/10g",도라지차/액상
32910314,티프렌 김오곤 원장의 진한 상화차 침향 15g 50개입 3개+고명 50gx3개+쇼핑백x3개,320원/1개입,48030,2몰,,쌍화차/스틱형
32653715,자연그대로 프리미엄 김소형 쌍화차 50개입,2개,53720,2몰,537원/1개입,쌍화차/스틱형
31405880,푸른빈 우엉차티백 50T,1,9870,1몰,1개,우엉차/티백형/총량: 50T/1T당: 1.5g
31405922,푸른빈 우엉차티백 50T,2,19740,1몰,2개,우엉차/티백형/총량: 50T/1T당: 1.5g
31405937,푸른빈 우엉차티백 50T,3개,29610,1몰,197원/1T,우엉차/티백형/총량: 50T/1T당: 1.5g
31405952,푸른빈 우엉차티백 50T,4개,39480,1몰,197원/1T,우엉차/티백형/총량: 50T/1T당: 1.5g
31405994,푸른빈 우엉차티백 50T,5개,49350,1몰,197원/1T,우엉차/티백형/총량: 50T/1T당: 1.5g
31053014,컴페니언 티랑 순수 호박팥차 20T,1,6330,2몰,1개,호박팥차/티백형/총량: 20T/1T당: 2g
31053044,컴페니언 티랑 순수 호박팥차 20T,2,14900,1몰,2개,호박팥차/티백형/총량: 20T/1T당: 2g
31053056,컴페니언 티랑 순수 호박팥차 20T,3개,52910,1몰,882원/1T,호박팥차/티백형/총량: 20T/1T당: 2g
31053065,컴페니언 티랑 순수 호박팥차 20T,4개,68650,1몰,858원/1T,호박팥차/티백형/총량: 20T/1T당: 2g
31053071,컴페니언 티랑 순수 호박팥차 20T,5개,84380,1몰,844원/1T,호박팥차/티백형/총량: 20T/1T당: 2g
31053089,컴페니언 티랑 순수 호박팥차 20T,6개,100130,1몰,834원/1T,호박팥차/티백형/총량: 20T/1T당: 2g
