2024-10-17 13:22:40
68774405,롯데웰푸드 크런키 더블크런치바 미니 베놈 513g,1개,15130,3몰,295원/10g,"초코바/알레르기성분: 대두, 땅콩, 밀, 계란, 우유/표시기준분량: 100g/열량: 530kcal/탄수화물: 54g/당류: 36g/단백질: 9g/지방: 31g/포화지방: 11g/트랜스지방: 0.6g/콜레스테롤: 10mg/나트륨: 130mg"
68687855,롯데웰푸드 크런키 더블 크런치바 미니 부여알밤 275g,1,7990,6몰,1개,"초코바/알레르기성분: 대두, 밀, 메밀, 계란, 우유/표시기준분량: 100g/열량: 495kcal/탄수화물: 68g/당류: 42g/단백질: 4g/지방: 23g/포화지방: 14g/트랜스지방: 1g/콜레스테롤: 10mg/나트륨: 130mg"
68687858,롯데웰푸드 크런키 더블 크런치바 미니 부여알밤 275g,2개,23500,2몰,427원/10g,"초코바/알레르기성분: 대두, 밀, 메밀, 계란, 우유/표시기준분량: 100g/열량: 495kcal/탄수화물: 68g/당류: 42g/단백질: 4g/지방: 23g/포화지방: 14g/트랜스지방: 1g/콜레스테롤: 10mg/나트륨: 130mg"
68687861,롯데웰푸드 크런키 더블 크런치바 미니 부여알밤 275g,3개,35300,2몰,428원/10g,"초코바/알레르기성분: 대두, 밀, 메밀, 계란, 우유/표시기준분량: 100g/열량: 495kcal/탄수화물: 68g/당류: 42g/단백질: 4g/지방: 23g/포화지방: 14g/트랜스지방: 1g/콜레스테롤: 10mg/나트륨: 130mg"
68687867,롯데웰푸드 크런키 더블 크런치바 미니 부여알밤 275g,2,40800,5몰,4개,"초코바/알레르기성분: 대두, 밀, 메밀, 계란, 우유/표시기준분량: 100g/열량: 495kcal/탄수화물: 68g/당류: 42g/단백질: 4g/지방: 23g/포화지방: 14g/트랜스지방: 1g/콜레스테롤: 10mg/나트륨: 130mg"
68687870,롯데웰푸드 크런키 더블 크런치바 미니 부여알밤 275g,5개,58800,2몰,428원/10g,"초코바/알레르기성분: 대두, 밀, 메밀, 계란, 우유/표시기준분량: 100g/열량: 495kcal/탄수화물: 68g/당류: 42g/단백질: 4g/지방: 23g/포화지방: 14g/트랜스지방: 1g/콜레스테롤: 10mg/나트륨: 130mg"
68687873,롯데웰푸드 크런키 더블 크런치바 미니 부여알밤 275g,6개,70600,1몰,428원/10g,"초코바/알레르기성분: 대두, 밀, 메밀, 계란, 우유/표시기준분량: 100g/열량: 495kcal/탄수화물: 68g/당류: 42g/단백질: 4g/지방: 23g/포화지방: 14g/트랜스지방: 1g/콜레스테롤: 10mg/나트륨: 130mg"
67820960,라라스윗 저당 단팥바 70ml,2,6210,2몰,6개,초코바/저당/알룰로스/표시기준분량: 70ml/열량: 60kcal/탄수화물: 21g/당류: 1g/단백질: 1.6g/지방: 1.4g/포화지방: 0.9g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 10mg
67820942,라라스윗 저당 단팥바 70ml,1,39950,2몰,24개,초코바/저당/알룰로스/표시기준분량: 70ml/열량: 60kcal/탄수화물: 21g/당류: 1g/단백질: 1.6g/지방: 1.4g/포화지방: 0.9g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 10mg
51895211,쿠팡 곰곰 프로틴바 400g,1개,8740,2몰,"2,185원/100g",프로틴바
