Id,Name,Type,Price,Mall,Timestamp
일양약품 중성화된 속편한 비타민C 50정 2개입 세트,1,31170,20몰,1개,"[주요성분] 멀티비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 100정/섭취기간: 100일/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/GMP/기능성: 영양보충/
[기능성분] 비타민C: 1,000mg/비타민D: 5㎍/아연: 8.5mg"
일양약품 중성화된 속편한 비타민C 50정 2개입 세트,2개,69520,4몰,348원/1일,"[주요성분] 멀티비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 100정/섭취기간: 100일/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/GMP/기능성: 영양보충/
[기능성분] 비타민C: 1,000mg/비타민D: 5㎍/아연: 8.5mg"
일양약품 중성화된 속편한 비타민C 50정 2개입 세트,2,81750,7몰,3개,"[주요성분] 멀티비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 100정/섭취기간: 100일/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/GMP/기능성: 영양보충/
[기능성분] 비타민C: 1,000mg/비타민D: 5㎍/아연: 8.5mg"
일양약품 중성화된 속편한 비타민C 50정 2개입 세트,4개,101360,4몰,253원/1일,"[주요성분] 멀티비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 100정/섭취기간: 100일/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/GMP/기능성: 영양보충/
[기능성분] 비타민C: 1,000mg/비타민D: 5㎍/아연: 8.5mg"
태준제약 오큐아레즈 투 알티지 60정,3개,117510,3몰,"2,611원/1일","[주요성분] 루테인/오메가3/지아잔틴/rTG형(3세대)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 2정/총량: 60정/섭취기간: 15일/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 눈 건강, 혈중 중성지질 개선, 혈행개선/
[기능성분] 루테인: 16mg/지아잔틴: 4mg/EPA+DHA: 1,000mg/비타민B2: 1.2mg/비타민B6: 1.5mg/비타민C: 500mg/비타민E: 500mgα-TE/구리: 2mg/아연: 12mg"
뉴트리디데이 베이비앤키즈 아연 츄어블 90정,1개,9900,15몰,110원/1일,"[주요성분] 비타민D/아연/
[섭취정보] 섭취대상: 영유아~어린이/섭취횟수, 양: 1일 1회, 1회 1정/총량: 90정/섭취기간: 3개월/형태: 캔디,츄어블/
[인증] 건강기능식품/기능성: 골다공증발생 위험 감소, 면역력 증진, 뼈 건강/
[기능성분] 아연: 8.5mg/비타민D: 10㎍"
뉴트리디데이 베이비앤키즈 아연 츄어블 90정,7개,52890,8몰,84원/1일,"[주요성분] 비타민D/아연/
[섭취정보] 섭취대상: 영유아~어린이/섭취횟수, 양: 1일 1회, 1회 1정/총량: 90정/섭취기간: 3개월/형태: 캔디,츄어블/
[인증] 건강기능식품/기능성: 골다공증발생 위험 감소, 면역력 증진, 뼈 건강/
[기능성분] 아연: 8.5mg/비타민D: 10㎍"
뉴트리디데이 베이비앤키즈 칼슘 마그네슘 아연 비타민D 츄어블 180정,5개,63190,20몰,140원/1일,"[주요성분] 칼마디/아연/
[섭취정보] 섭취대상: 영유아~어린이/섭취횟수, 양: 1일 2회, 1회 1정/총량: 180정/섭취기간: 3개월/형태: 캔디,츄어블/
[인증] 건강기능식품/기능성: 골다공증발생 위험 감소, 뼈 건강/
[기능성분] 칼슘: 210mg/마그네슘: 105mg/비타민D: 10㎍/아연: 3mg/망간: 0.9mg"
휴온스 칼슘 마그네슘 비타민D 아연 120정,6개,44900,8몰,125원/1일,"[주요성분] 칼마디/아연/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/총량: 120정/섭취기간: 2개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 골다공증발생 위험 감소, 뼈 건강/
[기능성분] 칼슘: 400mg/마그네슘: 200mg/비타민D: 10㎍/아연: 8.5mg"
제일건강 메가 비타민C 3000 25포,12개,40380,1몰,135원/1일,"[주요성분] 비타민C/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 300포/섭취기간: 10개월/형태: 분말/특징: 스틱형"
제일건강 메가 비타민C 3000 25포,24개,80160,2몰,134원/1일,"[주요성분] 비타민C/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 300포/섭취기간: 10개월/형태: 분말/특징: 스틱형"
