Id,Name,Type,Price,Mall,Timestamp
서울우유 흰우유 200ml (멸균),2,14490,91몰,24개,"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 200ml당 열량: 130kcal/탄수화물: 9g/당류: 9g/단백질: 6g/지방: 8g/포화지방: 5g/트랜스지방: 0g/콜레스테롤: 20mg/나트륨: 100mg/칼슘: 200mg"
서울우유 흰우유 1L (멸균),1,19710,114몰,10개,"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 100ml당 열량: 70kcal/탄수화물: 5g/당류: 5g/단백질: 3g/지방: 4g/포화지방: 2.5g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 50mg/칼슘: 200mg"
서울우유 흰우유 1L (멸균),1개,2620,17몰,262원/100ml,"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 100ml당 열량: 70kcal/탄수화물: 5g/당류: 5g/단백질: 3g/지방: 4g/포화지방: 2.5g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 50mg/칼슘: 200mg"
매일유업 매일우유 오리지널 3.4% 1L (멸균),10개,22520,5몰,225원/100ml,"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 200ml당 열량: 125kcal/탄수화물: 9g/당류: 9g/단백질: 6g/지방: 7g/포화지방: 1.5g/트랜스지방: 0.5g미만/콜레스테롤: 20mg/나트륨: 100mg/칼슘: 200mg/유통기한: 제조 후 상온 10주"
매일유업 매일우유 오리지널 3.4% 1L (멸균),12개,30250,21몰,252원/100ml,"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 200ml당 열량: 125kcal/탄수화물: 9g/당류: 9g/단백질: 6g/지방: 7g/포화지방: 1.5g/트랜스지방: 0.5g미만/콜레스테롤: 20mg/나트륨: 100mg/칼슘: 200mg/유통기한: 제조 후 상온 10주"
빙그레 바나나맛 우유 240ml,4개,4690,31몰,489원/100ml,"바나나우유/포장형태: 페트/
[영양정보] 1회 제공량 240ml당 열량: 195kcal/탄수화물: 26g/당류: 26g/단백질: 7g/지방: 7g/포화지방: 4.5g/트랜스지방: 0g/콜레스테롤: 25mg/나트륨: 110mg"
매일유업 매일우유 오리지널 3.4% 200ml (멸균),72개,42510,30몰,295원/100ml,"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 200ml당 열량: 125kcal/탄수화물: 9g/당류: 9g/단백질: 6g/지방: 7g/포화지방: 4.2g/트랜스지방: 0.5g미만/콜레스테롤: 20mg/나트륨: 100mg"
서울우유 초코우유 200ml (멸균),48개,26170,52몰,273원/100ml,"초코우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 200ml당 열량: 120kcal/탄수화물: 20g/당류: 19g/단백질: 5g/지방: 2.4g/포화지방: 1.5g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 85mg"
매일유업 매일우유 오리지널 3.4% 1L (멸균),18개,44550,2몰,248원/100ml,"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 200ml당 열량: 125kcal/탄수화물: 9g/당류: 9g/단백질: 6g/지방: 7g/포화지방: 1.5g/트랜스지방: 0.5g미만/콜레스테롤: 20mg/나트륨: 100mg/칼슘: 200mg/유통기한: 제조 후 상온 10주"
매일유업 매일우유 저지방 1% 200ml (멸균),96개,68440,6몰,356원/100ml,"흰우유/포장형태: 팩/특징: 멸균우유, 저지방/
[영양정보] 1회 제공량 200ml당 열량: 80kcal/탄수화물: 9.6g/당류: 9g/단백질: 6g/지방: 2g/포화지방: 1g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 95mg/칼슘: 200mg"
