Name,Spec,ImageURL
종근당건강 락토핏 생유산균 코어맥스 60포,"[주요성분] 프로바이오틱스/보장균수(CFU): 30억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 60포/섭취기간: 2개월/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강/
[기능성분] 아연: 8.5mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\종근당건강 락토핏 생유산균 코어맥스 60포.jpg
에이스바이옴 BNR17 다이어트 유산균 비에날씬 60캡슐,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2캡슐/총량: 60캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\에이스바이옴 BNR17 다이어트 유산균 비에날씬 60캡슐.jpg
덴프스 덴마크 유산균이야기 60캡슐,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 60캡슐/섭취기간: 2개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\덴프스 덴마크 유산균이야기 60캡슐.jpg
에이스바이옴 BNR17 다이어트 유산균 비에날씬 프로 30캡슐,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\에이스바이옴 BNR17 다이어트 유산균 비에날씬 프로 30캡슐.jpg
종근당건강 락토핏 생유산균 골드 50포 (리뉴얼),"[주요성분] 프로바이오틱스/보장균수(CFU): 20억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 50포/섭취기간: 50일/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강/
[기능성분] 아연: 2.55mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\종근당건강 락토핏 생유산균 골드 50포 (리뉴얼).jpg
종근당건강 락토핏 당케어 2g 60포,"[주요성분] 코로솔산(바나바잎)/프로바이오틱스/보장균수(CFU): 20억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 2개월분/형태: 분말형/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강, 혈행개선/
[기능성분] 코로솔산: 1.3mg/아연: 2.55mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\종근당건강 락토핏 당케어 2g 60포.jpg
종근당건강 락토핏 생유산균 골드 50포,"[주요성분] 프로바이오틱스/보장균수(CFU): 10억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 50포/섭취기간: 50일/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\종근당건강 락토핏 생유산균 골드 50포.jpg
에이스바이옴 BNR17 갱년기 여성의 건강관리 비에날 퀸 60캡슐,"[주요성분] 소포리코사이드(회화나무열매)/프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2캡슐/총량: 60캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 갱년기 개선, 배변활동 원활, 장 건강, 체지방감소/
[기능성분] 소포리코사이드: 35mg/셀레늄: 16.5㎍/아연: 2.55mg/비타민A: 210㎍RE/비타민D: 10㎍",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\에이스바이옴 BNR17 갱년기 여성의 건강관리 비에날 퀸 60캡슐.jpg
헬씨허그 모유유산균 포스트바이오틱스 30포,"[주요성분] 프로바이오틱스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 30포/섭취기간: 15일/형태: 분말/특징: 스틱형",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\헬씨허그 모유유산균 포스트바이오틱스 30포.jpg
휴온스 엘루비 메노락토 프로바이오틱스 30캡슐 3개입,"[주요성분] 프로바이오틱스/보장균수(CFU): 1억/
[섭취정보] 섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 90캡슐/섭취기간: 3개월/형태: 캡슐,정/특징: 선물세트, 개별포장(PTP)/
[인증] 건강기능식품/기능성: 갱년기 개선, 배변활동 원활, 장 건강",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\휴온스 엘루비 메노락토 프로바이오틱스 30캡슐 3개입.jpg
유한양행 와이즈바이옴 당큐락 30캡슐,"[주요성분] 프로바이오틱스/보장균수(CFU): 40억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 혈당조절",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\유한양행 와이즈바이옴 당큐락 30캡슐.jpg
종근당건강 락토핏 생유산균 플러스 듀얼바이오틱스 200포 (리뉴얼),"[주요성분] 프로바이오틱스/보장균수(CFU): 60억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 3회, 1회 1포/총량: 200포/섭취기간: 66일/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강/
[기능성분] 락추로스: 481mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\종근당건강 락토핏 생유산균 플러스 듀얼바이오틱스 200포 (리뉴얼).jpg
재로우포뮬러스 재로우 도피러스 EPS 100억 120베지캡슐 (해외),"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2캡슐/총량: 120캡슐/섭취기간: 2개월/형태: 캡슐,정/특징: 해외구매, 베지캡슐형",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\재로우포뮬러스 재로우 도피러스 EPS 100억 120베지캡슐 (해외).jpg
GNM자연의품격 100억 유산균 60캡슐,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 60캡슐/섭취기간: 2개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\GNM자연의품격 100억 유산균 60캡슐.jpg
한국바이오팜 네추럴라이즈 더 퍼펙트 유산균 60캡슐,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 60캡슐/섭취기간: 2개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\한국바이오팜 네추럴라이즈 더 퍼펙트 유산균 60캡슐.jpg
종근당건강 락토핏 생유산균 골드 10포,"[주요성분] 프로바이오틱스/보장균수(CFU): 10억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 10포/섭취기간: 10일/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\종근당건강 락토핏 생유산균 골드 10포.jpg
재로우포뮬러스 자로 도필러스 유산균 EPS 100억 120캡슐,"프로바이오틱스/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 2정/섭취기간: 2개월분/형태: 캡슐,정/특징: 베지캡슐형/기능성: 장 건강",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\재로우포뮬러스 자로 도필러스 유산균 EPS 100억 120캡슐.jpg
캘리포니아골드뉴트리션 락토비프 300억 프로바이오틱스 60베지캡슐 (해외),"[주요성분] 프로바이오틱스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 60캡슐/섭취기간: 2개월/형태: 캡슐,정/특징: 해외구매, 베지캡슐형",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\캘리포니아골드뉴트리션 락토비프 300억 프로바이오틱스 60베지캡슐 (해외).jpg
비타민마을 퍼펙트바이오틱스 슈퍼 프로바이오틱스 19 30포,"[주요성분] 프로바이오틱스/보장균수(CFU): 1억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 30포/섭취기간: 1개월/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강/
[기능성분]",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\비타민마을 퍼펙트바이오틱스 슈퍼 프로바이오틱스 19 30포.jpg
덴프스 덴마크 유산균이야기 30캡슐,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\덴프스 덴마크 유산균이야기 30캡슐.jpg
종근당건강 락토핏 솔루션 중성지방 30캡슐,"[주요성분] 프로바이오틱스/보장균수(CFU): 40억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유산균\종근당건강 락토핏 솔루션 중성지방 30캡슐.jpg
