Name,Spec,ImageURL
담터 대추차 플러스 50T,대추차/스틱형/총량: 50T/원산지: 국내산/1T당: 15g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\담터 대추차 플러스 50T.jpg
담터 꿀유자차A 2kg,유자차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\담터 꿀유자차A 2kg.jpg
합천생약가공영농조합법인 산그리메 구기자차 삼각티백 100T,구기자차/티백형/총량: 100T/원산지: 국내산/1T당: 1g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\합천생약가공영농조합법인 산그리메 구기자차 삼각티백 100T.jpg
다농원 유자차 2kg[6개],유자차/용기형,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\다농원 유자차 2kg[6개].jpg
아모레퍼시픽 오설록 삼다 꿀배 티 20T,기타 차/티백형/총량: 20T/원산지: 국내산/1T당: 1.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\아모레퍼시픽 오설록 삼다 꿀배 티 20T.jpg
초록원 유자플러스 1kg,유자차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\초록원 유자플러스 1kg.jpg
아모레퍼시픽 오설록 제주 삼다 영귤 티 20T,귤차/티백형/총량: 80T/원산지: 국내산/1T당: 1.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\아모레퍼시픽 오설록 제주 삼다 영귤 티 20T.jpg
담터 꿀유자차 2kg,유자차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\담터 꿀유자차 2kg.jpg
초록원 꿀자몽차 2kg,자몽차/액상/원산지: 외국산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\초록원 꿀자몽차 2kg.jpg
담터 꿀유자차A 1kg,유자차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\담터 꿀유자차A 1kg.jpg
꽃샘식품 꿀대추차 1kg,대추차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\꽃샘식품 꿀대추차 1kg.jpg
아일레스 디럭스 애플 25T,티백형/총량: 25T/1T당: 2.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\아일레스 디럭스 애플 25T.jpg
티젠 자몽쏙 30T,자몽차/스틱형/총량: 30T/1T당: 5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\티젠 자몽쏙 30T.jpg
해맑음 겨울향기 유자청 1kg,유자차/액상,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\해맑음 겨울향기 유자청 1kg.jpg
꽃샘식품 레몬차S 2kg,레몬차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\꽃샘식품 레몬차S 2kg.jpg
꽃샘식품 꿀유자차S 1kg,유자차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\꽃샘식품 꿀유자차S 1kg.jpg
꽃샘식품 꿀석류 1kg,석류차/액상/원산지: 외국산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\꽃샘식품 꿀석류 1kg.jpg
담터 대추차 플러스 15T,대추차/스틱형/총량: 15T/원산지: 국내산/1T당: 15g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\담터 대추차 플러스 15T.jpg
신성에프엔비 해맑음 겨울향기 생강청 950g,용기형,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\신성에프엔비 해맑음 겨울향기 생강청 950g.jpg
복음자리 배를 넣어 부드러운 유자차 620g,유자차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\복음자리 배를 넣어 부드러운 유자차 620g.jpg
선운산농협 고창 선운산 복분자 1.5L,복분자차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\선운산농협 고창 선운산 복분자 1.5L.jpg
초록원 제주청귤차 1kg 2개,귤차,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\초록원 제주청귤차 1kg 2개.jpg
담터 꿀모과차 1kg,모과차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\담터 꿀모과차 1kg.jpg
오뚜기 힐링타임 대추차 1kg,대추차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\오뚜기 힐링타임 대추차 1kg.jpg
담터 꿀레몬차 1kg,레몬차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\담터 꿀레몬차 1kg.jpg
복음자리 모과차 480g,모과차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\복음자리 모과차 480g.jpg
꽃샘식품 꿀유자차S 2kg,유자차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\꽃샘식품 꿀유자차S 2kg.jpg
녹차원 꿀유자차 1kg,유자차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\녹차원 꿀유자차 1kg.jpg
복음자리 모과차 620g,모과차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\복음자리 모과차 620g.jpg
복음자리 진심의 딸기 1kg,딸기차/액상,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\복음자리 진심의 딸기 1kg.jpg
대호식품 매실차 1kg,매실차/분말/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\대호식품 매실차 1kg.jpg
담터 오미자 플러스 15T,오미자차/스틱형/총량: 15T/원산지: 외국산/1T당: 18g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\담터 오미자 플러스 15T.jpg
꽃샘식품 꿀레드자몽 1kg,자몽차/액상/원산지: 외국산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\꽃샘식품 꿀레드자몽 1kg.jpg
올가홀푸드 ORGA 액상차 3종 혼합 선물세트,용기형,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\올가홀푸드 ORGA 액상차 3종 혼합 선물세트.jpg
담터 꿀유자차 1kg,유자차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\담터 꿀유자차 1kg.jpg
대호식품 대추생강차 1kg,대추차/분말/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\대호식품 대추생강차 1kg.jpg
꽃샘식품 꿀모과차 1kg,모과차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\꽃샘식품 꿀모과차 1kg.jpg
유안종합식품 복숭아 홍차 900g,기타 차/분말/1회 제공량 18g당 열량: 75kcal/나트륨: 2.3mg/탄수화물: 17g/당류: 9g/지방: 0g/트랜스지방: 0g/포화지방: 0g/콜레스테롤: 0mg/단백질: 0g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\유안종합식품 복숭아 홍차 900g.jpg
꽃샘식품 꿀레몬차 1kg,레몬차/액상/원산지: 외국산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\꽃샘식품 꿀레몬차 1kg.jpg
꽃샘식품 꿀유자차 포션 15T,유자차/액상/총량: 15T/원산지: 국내산/1T당: 30g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\꽃샘식품 꿀유자차 포션 15T.jpg
오뚜기 꿀대추차 1kg,대추차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\오뚜기 꿀대추차 1kg.jpg
모정농원 오미자청 1L,오미자차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\모정농원 오미자청 1L.jpg
담터 허니 루비자몽 1kg,자몽차/액상/원산지: 외국산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\담터 허니 루비자몽 1kg.jpg
녹차원 여주차 40T,기타 차/티백형/총량: 40T/원산지: 국내산/1T당: 0.7g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\녹차원 여주차 40T.jpg
담터 꿀대추차 1kg,대추차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\담터 꿀대추차 1kg.jpg
고려에프디 꿀 유자차 1kg,유자차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\고려에프디 꿀 유자차 1kg.jpg
다농원 꿀대추차 1kg,대추차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\다농원 꿀대추차 1kg.jpg
파낙스코리아 참다음 유자청 1.5L,유자차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\파낙스코리아 참다음 유자청 1.5L.jpg
인채널 순우리딸기청 1.2kg,,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\인채널 순우리딸기청 1.2kg.jpg
