Name,Spec,ImageURL
저먼 프로트 9000 2kg,"단백질보충제/종류: 분리유청단백(WPI)/
[섭취정보] 섭취대상: 성인남녀/형태: 분말/특징: 포대형/
[영양정보] 표시기준량: 30g/열량: 113kcal/단백질: 27g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\전체보기\저먼 프로트 9000 2kg.jpg
빙그레 건강tft 더 단백 드링크 초코 250ml,"단백질보충제/종류: 농축우유단백(MPC), 분리우유단백(MPI)/
[섭취정보] 섭취대상: 성인남녀/형태: 음료(액상)/
[영양정보] 표시기준량: 250ml/열량: 105kcal/단백질: 20g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\전체보기\빙그레 건강tft 더 단백 드링크 초코 250ml.jpg
매일헬스뉴트리션 셀렉스 코어 프로틴 락토프리 570g,"단백질보충제/종류: 분리유청단백(WPI), 분리대두단백(ISP), 카제인/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 38g/섭취기간: 15일/형태: 분말/특징: 락토프리/
[인증] 건강기능식품/기능성: 뼈 건강, 영양보충/
[영양·기능정보] 표시기준량: 38g/열량: 139kcal/단백질: 20g/칼슘: 300mg/마그네슘: 175mg/아연: 8.5mg/비타민D: 20㎍/비타민B1: 2.4mg/판토텐산: 10mg/비타민B6: 3mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\전체보기\매일헬스뉴트리션 셀렉스 코어 프로틴 락토프리 570g.jpg
일동후디스 하이뮨 프로틴 밸런스 304g,"단백질보충제/프리바이오틱스/종류: 산양유, 농축유청단백(WPC), 분리대두단백(ISP), 농축우유단백(MPC), 분리우유단백(MPI)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 38g/섭취기간: 8일/형태: 분말/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 뼈 건강, 영양보충, 장 건강/
[영양·기능정보] 표시기준량: 38g/열량: 155kcal/단백질: 20g/프락토올리고당: 3g/칼슘: 300mg/마그네슘: 150mg/비타민D: 10㎍/비타민B6: 6mg/아연: 9mg/판토텐산: 5mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\전체보기\일동후디스 하이뮨 프로틴 밸런스 304g.jpg
일동후디스 하이뮨 프로틴 밸런스 액티브 250ml,"단백질보충제/종류: 산양유, 농축우유단백(MPC)/
[섭취정보] 섭취대상: 성인남녀/형태: 음료(액상)/
[영양정보] 표시기준량: 250ml/열량: 130kcal/단백질: 20g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\전체보기\일동후디스 하이뮨 프로틴 밸런스 액티브 250ml.jpg
BSN 신타6 초콜렛 밀크쉐이크 2.27kg (해외),"단백질보충제/종류: 농축유청단백(WPC), 분리유청단백(WPI), 카제인/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1회 1스푼/형태: 분말/특징: 해외구매/
[영양정보] 표시기준량: 47g/열량: 190kcal/단백질: 22g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\전체보기\BSN 신타6 초콜렛 밀크쉐이크 2.27kg (해외).jpg
머슬팜 컴뱃 100% 웨이 프로틴 초콜릿 밀크 2.27kg (해외),"단백질보충제/종류: 농축유청단백(WPC), 분리유청단백(WPI)/
[섭취정보] 섭취대상: 성인남녀/형태: 분말/특징: 해외구매/
[영양정보] 표시기준량: 34g/열량: 120kcal/단백질: 24g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\전체보기\머슬팜 컴뱃 100% 웨이 프로틴 초콜릿 밀크 2.27kg (해외).jpg
프로게이너 파워젤 청포도 40g 20포,"헬스보충제/
[섭취정보] 섭취대상: 성인남녀/형태: 젤리",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\전체보기\프로게이너 파워젤 청포도 40g 20포.jpg
매일헬스뉴트리션 셀렉스 프로틴 오리지널 190ml,"단백질보충제/종류: 분리대두단백(ISP), 카제인/
[섭취정보] 섭취대상: 성인남녀/형태: 음료(액상)/
[영양정보] 표시기준량: 190ml/열량: 200kcal/단백질: 12g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\전체보기\매일헬스뉴트리션 셀렉스 프로틴 오리지널 190ml.jpg
매일헬스뉴트리션 셀렉스 프로틴 고소한맛 304g,"단백질보충제/종류: 농축유청단백(WPC), 분리유청단백(WPI), 분리대두단백(ISP), 분리우유단백(MPI)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 3스푼/섭취기간: 8일/형태: 분말/
[인증] 건강기능식품/GMP/기능성: 뼈 건강, 영양보충/
[영양·기능정보] 표시기준량: 38g/열량: 165kcal/단백질: 20g/칼슘: 300mg/아연: 3.8mg/비타민D: 20㎍/비타민B1: 2.4mg/판토텐산: 10mg/비타민B6: 3mg/비타민K: 70㎍/나이아신: 15mg/비오틴: 90㎍",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\전체보기\매일헬스뉴트리션 셀렉스 프로틴 고소한맛 304g.jpg
