Name,Spec,Name
CJ ENM 락토페린 쏙 다이어트 시크릿,"[주요성분] 락토페린/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/섭취기간: 20주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] 락토페린: 270mg/비타민B6: 0.45mg/판토텐산: 1.5mg/아연: 3mg"
CJ ENM 시크릿 시서스 로우 다이어트 시크릿,"[주요성분] 시서스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/섭취기간: 4주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] 퀘르세틴: 3.66mg/이소람네틴: 0.111mg"
CJ웰케어 팻다운 부스터 카르니틴,"[주요성분] L-카르니틴/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1병/섭취기간: 2주/형태: 음료(액상)/
[인증] 건강기능식품/GMP/기능성: 체지방감소/
[기능성분] L-카르니틴: 2,000mg"
CJ웰케어 한뿌리 흑삼정 로얄블랙진,"흑삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/
[진세노사이드] 진세노사이드 1일 함량: 3mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 7%(고형분 60%이상)/배합비율: 흑삼근 50%, 흑미삼 50%/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
GNM자연의품격 건강한 간 밀크씨슬,"[주요성분] 밀크씨슬/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 30정 x 10개/섭취기간: 10개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 간 건강/
[기능성분] 실리마린: 130mg/비타민B1: 1.1mg/비타민B2: 1.2mg/비타민B6: 1.4mg/나이아신: 13.5mgNE/판토텐산: 4.6mg"
GRN 리얼퀸,"[주요성분] 소포리코사이드(회화나무열매)/녹차추출물(카테킨)/
[섭취정보] 섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1회 2정/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 갱년기 개선, 체지방감소, 항산화, 혈중 콜레스테롤 개선/
[기능성분] 카테킨: 300mg/소포리코사이드: 35mg/비타민B1: 0.36mg/비타민B2: 0.42mg/비타민B6: 0.45mg/판토텐산: 1.5mg/나이아신: 4.5mgNE/비타민E: 11mg/나이아신: 15mg/비오틴: 9㎍/비타민C: 30mg/비타민D: 3㎍/아연: 2.55mg"
HLB제약 콴첼 가자엑스퍼트,"[주요성분] 가자추출물/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 360정/섭취기간: 12개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 관절, 연골 건강/
[기능성분] 엘라그산: 6.9mg/비타민C: 30mg/비타민D: 10㎍/비타민K: 70㎍/아연: 8.5mg:/셀렌: 55㎍/망간: 3mg"
HLB제약 콴첼 보스웰리아 엑스퍼트,"[주요성분] 보스웰리아/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 300정/섭취기간: 10개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 관절, 연골 건강/
[기능성분] AKBA: 3.72mg/커큐미노이드: 13.64mg/갈산: 6.96mg/셀렌: 55㎍/나이아신: 15mgNE/망간: 3mg/판토텐산: 5mg/아연: 2.55mg/비타민K: 70㎍/비타민D: 3㎍"
HLB제약 콴첼 우슬 엑스퍼트,"[주요성분] 우슬/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/총량: 60정/섭취기간: 1개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/기능성: 관절, 연골 건강/
[기능성분] Ellagic acid: 0.56mg/Pinoresinol diglucoside : 0.67mg/Ecdysterone: 0.031mg/비타민D : 50㎍/비타민K : 80㎍/아연 : 8.5mg"
LG생활건강 비피움 비쓰리 다이어트,"[주요성분] 프로바이오틱스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/형태: 캡슐,정/건강기능식품/기능성: 장 건강, 피부 건강"
건풍바이오 고투카원,"[주요성분] 키토올리고당/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 3회, 1회 1정/총량: 90정/섭취기간: 1개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/GMP/기능성: 혈당조절/
[기능성분] 키토올리고당: 750mg/비타민C: 350mg"
경남제약 데일리케어 리포좀 글루타치온,글루타치온
경남제약 데일리케이 리포좀 비타민 C&D,"[주요성분] 멀티비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 30포/섭취기간: 1개월/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 영양보충/
[기능성분] 비타민C: 125mg/비타민D: 10㎍"
경남제약 보스웰리아 플러스,"[주요성분] 보스웰리아/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 60정/섭취기간: 2개월/형태: 캡슐,정"
고려은단 멀티비타민 올인원,"[주요성분] 종합비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 600정/섭취기간: 20개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 영양보충/
[기능성분] 비타민A: 350㎍RE/비타민B1: 3mg/비타민B2: 3.5mg/나이아신: 22.5mgNE/판토텐산: 10mg/비타민B6: 1.5mg/엽산: 480㎍/비타민B12: 7.2㎍/비오틴: 30㎍/비타민C: 100mg/비타민D: 10㎍(400IU)/비타민E: 5.5mgα-TE/비타민K: 70㎍ (쇼핑몰 상세정보 확인)"
고려은단 비타민C 1000 이지+비타민D,"[주요성분] 멀티비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/총량: 120정/섭취기간: 2개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 영양보충/
[기능성분] 비타민C: 1,000mg/비타민D: 25㎍(1000IU)"
고려은단 비타민C 골드플러스 파워업,"[주요성분] 멀티비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 240정/섭취기간: 8개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 영양보충/
[기능성분] 비타민C: 1,000mg/판토텐산: 5mg/비타민D: 25㎍(1,000IU)/비타민B12: 2.4㎍/아연: 2.55mg/비타민B2: 1.4mg/비오틴: 30㎍"
고려은단 퓨어 알티지 DHA 오메가3,"[주요성분] 오메가3/rTG형(3세대)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2캡슐/총량: 720캡슐/섭취기간: 12개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 눈 건강, 혈중 중성지질 개선, 혈행개선/
[기능성분] EPA+DHA: 900mg"
글로벌비엠에스 제주산 당찬 여주분말입 세트,"건강분말/여주/형태: 분말/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1스푼/여주추출농축액 40%(고형분 10%)/특징: 선물세트"
김오곤의 동의비책 침향단100환,건강환·정/침향/형태: 환/섭취대상: 성인남녀/침향분말 25%
김오곤의 동의비책 침향단30환,건강환·정/침향/형태: 환/섭취대상: 성인남녀/침향분말 25%
남양유업 테이크핏 케어,"단백질보충제/프리바이오틱스/종류: 농축유청단백(WPC), 분리대두단백(ISP)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 3스푼(38g)/섭취기간: 8일/형태: 분말/
[인증] 건강기능식품/기능성: 배변활동 원활, 뼈 건강, 영양보충, 장 건강/
[영양·기능정보] 표시기준량: 38g/열량: 145kcal/단백질: 20g/프락토올리고당: 3g/칼슘: 300mg/마그네슘: 150mg/비타민D: 10㎍/비타민B6: 3mg/아연: 9mg/판토텐산: 10mg"
네이쳐브릿지 빼빼모로빼주스,"건강즙/블러드오렌지/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/블러드오렌지농축액 18.5%(고형분 57%)/특징: 선물세트"
네추럴에프앤피 콜레올로지 컷+,"섭취대상: 성인여성, 성인남성/섭취횟수, 양: 1일 1회, 2정씩/형태: 캡슐,정/건강기능식품/GMP/기능성: 체지방감소, 혈중 콜레스테롤 개선"
네추럴에프앤피 푸드올로지 콜레올로지 컷,"[주요성분]
[섭취정보] 섭취대상: 성인여성, 성인남성/섭취횟수, 양: 1일 1회, 2정씩/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 체지방감소, 혈중 콜레스테롤 개선/
[기능성분] 카테킨300mg"
노궁하초 노궁동충하초,"건강즙/노루궁뎅이버섯즙/섭취횟수, 양: 1일 1회, 1회 1포/노루궁뎅이버섯추출액 30%(고형분 13%)/특징: 스틱형"
농심 라이필 더마 콜라겐,"[주요성분] 콜라겐/비오틴/분자량: 173Da(달톤)/피쉬 콜라겐/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 3정/총량: 1,008정/섭취기간: 48주/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 피부 건강, 피부 보습/
[기능성분] Gly-Pro-dipeptide: 74.25mg/비타민C: 30mg/셀레늄: 55㎍/비타민E: 11mgα-TE/아연: 10mg/비타민D: 10㎍/비오틴: 30㎍"
뉴메이트 보스웰리아 600,"[주요성분] 보스웰리아/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 1정/총량: 120정/섭취기간: 2개월/형태: 캡슐,정"
뉴메이트 씹어먹는 다이어트 슬림핏8,"[주요성분] 가르시니아(HCA)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 1정/섭취기간: 24주/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 체지방감소/
[기능성분] HCA: 750mg/셀렌: 27.5㎍/나이아신: 5mgNE/아연: 3mg/망간: 1.2mg/판토텐산: 2.6mg/비타민B1: 2.2mg/비타민B6: 2.5mg/비타민B2: 1.4mg"
뉴온관절플러스,"[주요성분] 가자추출물/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 30정/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 관절 건강/
[기능성분] 엘라그산: 6.9mg/셀렌: 55㎍/아연: 8.5mg/망간: 3mg/비타민D: 10㎍/비타민K: 70㎍"
뉴온시서스 필 다이어트,"[주요성분] 시서스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/섭취기간: 4주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] 퀘르세틴: 3.66mg/이소람네틴: 0.111mg"
뉴온시서스 휴 다이어트,"[주요성분] 시서스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 1포 /섭취기간: 12주/형태: 분말/
[인증] 건강기능식품/GMP/기능성: 체지방감소/
[기능성분] 퀘르세틴: 3.66mg/이소람네틴: 0.111mg"
뉴트리 마스터바이옴 지노마스터,"[주요성분] 프로바이오틱스/보장균수(CFU): 50억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 360캡슐/섭취기간: 12개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강/
[기능성분] 락토페린: 54mg"
뉴트리 에버콜라겐 인앤업 비오틴 셀,"[주요성분] 콜라겐/비오틴/저분자 피쉬 콜라겐 펩타이드/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/총량: 728정/섭취기간: 52주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 피부 건강, 피부 보습/
[기능성분] Gly-Pro-Hyp: 30mg/비오틴: 1,000㎍/비타민C: 120mg/셀렌: 55㎍/비타민D: 10㎍/아연 8.5mg"
뉴트리 에버콜라겐 타임 비오틴 셀,"[주요성분] 콜라겐/비오틴/분자량: 285Da(달톤)/저분자 피쉬 콜라겐 펩타이드/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 360포/섭취기간: 12개월/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/기능성: 피부 건강, 피부 보습/
[기능성분] Gly-Pro-Hyp: 30mg/비오틴: 1,200㎍/아연: 8.5mg/셀레늄: 55㎍"
뉴트리 에버콜라겐 타임 비오틴 셀입,"[주요성분] 콜라겐/비오틴/분자량: 285Da(달톤)/저분자 피쉬 콜라겐 펩타이드/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 540포/섭취기간: 18개월/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/기능성: 피부 건강, 피부 보습/
[기능성분] Gly-Pro-Hyp: 30mg/비오틴: 1,200㎍/아연: 8.5mg/셀레늄: 55㎍"
뉴트리 에버콜라겐 타임 시그니처,"[주요성분] 콜라겐/분자량: 285Da(달톤)/저분자 피쉬 콜라겐 펩타이드/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 300포/섭취기간: 10개월/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/기능성: 관절, 연골 건강, 피부 건강, 피부 보습/
[기능성분] Gly-Pro-Hyp: 90mg"
뉴트리디데이 시그니처 콜라겐 비오틴,"[주요성분] 콜라겐/비오틴/분자량: 500Da(달톤)/피쉬 콜라겐/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 60정/섭취기간: 2개월/형태: 캡슐,정"
뉴트리원 뉴트리원라이프 간건강 솔루션 밀크씨슬,"[주요성분] 밀크씨슬/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 360캡슐/섭취기간: 12개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/기능성: 간 건강/
[기능성분] 실리마린: 130mg/비타민B1: 1.2mg/비타민B2: 1.4mg/비타민B6: 1.5mg/나이아신: 15mgNE/판토텐산: 5mg/비타민E: 3.3mgα-TE/셀렌: 16.5㎍/아연: 2.55mg"
뉴트리원 뉴트리원라이프 루테인 지아잔틴 164,"[주요성분] 루테인/지아잔틴/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 300캡슐/섭취기간: 10개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 눈 건강/
[기능성분] 루테인: 16mg/지아잔틴: 4mg/비타민A: 210㎍RE/비타민B1: 0.36mg/비타민B2: 0.42mg/비타민E: 3.3mgα-TE/아연: 2.55mg/셀레늄: 16.5㎍"
