Name,Spec,ImageURL
비오팜 니아르 샤인머스켓맛,"가르시니아(HCA)/섭취횟수, 양: 1일 2회, 1정/형태: 캔디,츄어블/건강기능식품/GMP/기능성: 체지방감소, 혈중 콜레스테롤 개선/샤인머스캣맛",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\비오팜 니아르 샤인머스켓맛 1700mg 28정.jpg
비오팜 니아르 블루베리맛,"가르시니아(HCA)/섭취횟수, 양: 1일 2회, 1정/형태: 캔디,츄어블/건강기능식품/GMP/기능성: 체지방감소, 혈중 콜레스테롤 개선/블루베리맛",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\비오팜 니아르 블루베리맛 1700mg 28정.jpg
비오팜 니아르 복숭아맛,"가르시니아(HCA)/섭취횟수, 양: 1일 2회, 1정/형태: 캔디,츄어블/건강기능식품/GMP/기능성: 체지방감소, 혈중 콜레스테롤 개선/복숭아맛",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\비오팜 니아르 복숭아맛 1700mg 28정.jpg
비오팜 니아르 감귤맛,"가르시니아(HCA)/섭취횟수, 양: 1일 2회, 1정/형태: 캔디,츄어블/건강기능식품/GMP/기능성: 체지방감소, 혈중 콜레스테롤 개선/감귤맛",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\비오팜 니아르 감귤맛 1700mg 28정.jpg
닥터바른 다이너티 올인원 이뮨 다이어트,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 1병/형태: 음료(액상)/건강기능식품/기능성: 면역력 증진, 영양보충, 체지방감소, 피부 건강, 혈중 콜레스테롤 개선",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\닥터바른 다이너티 올인원 이뮨 다이어트 7병.jpg
더블유라이프앤케어 네츄럴웨이 모어네이처 이지슬림 에브리컷 다이어트,"가르시니아(HCA)/섭취횟수, 양: 1일 2회, 1포/형태: 캡슐,정/특징: 스틱형/건강기능식품/GMP/기능성: 체지방감소, 피부 건강, 항산화, 혈중 콜레스테롤 개선",
지니트레저 김오곤 원장의 한방 다이어트 환,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 1포/형태: 환/특징: 스틱형/건강기능식품/GMP/기능성: 체지방감소",
그린핏 그린핏 차전자피 다이어트,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 1포/형태: 환/특징: 스틱형/건강기능식품/GMP/기능성: 장 건강, 체지방감소",
퍼플랩스헬스케어 세리박스 세리컷 스타터 샤이닝 +블루밍,가르시니아(HCA),
천호엔케어 감비책환,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 1포/형태: 환/특징: 스틱형/건강기능식품/기능성: 체지방감소",
코스맥스엔비티 니씨드 오늘컷 맥스,"가르시니아(HCA)/섭취횟수, 양: 1일 2회, 1포/형태: 젤리/특징: 스틱형/건강기능식품/GMP/기능성: 장 건강, 체지방감소, 혈중 콜레스테롤 개선",
대원제약 장대원 체지방컷 가르시니아,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 2정/형태: 캡슐,정/건강기능식품/기능성: 체지방감소, 혈중 콜레스테롤 개선",
비오팜 에버핏 가르시니아 1004,"가르시니아(HCA)/아연/섭취횟수, 양: 1일 2회, 1정/형태: 캡슐,정/건강기능식품/기능성: 면역력 증진, 체지방감소",
GC녹십자웰빙 가르시니아 다이어트,"가르시니아(HCA)/비오틴/섭취횟수, 양: 1일 1회, 1포/형태: 캡슐,정/건강기능식품/기능성: 체지방감소, 피부 건강, 혈중 콜레스테롤 개선",
스마트인핸서 미완성프로젝트 탄수화물컷팅제 비밀이야 가르시니아 보조제,"가르시니아(HCA)/섭취횟수, 양: 1일 2회, 2정/형태: 캡슐,정/건강기능식품/GMP/기능성: 면역력 증진, 체지방감소, 항산화, 혈중 콜레스테롤 개선",
순수식품 다이어트 유산균 19종 3중복합기능성,"가르시니아(HCA)/보장균수(CFU): 10억 CFU/형태: 분말/특징: 스틱형/건강기능식품/GMP/기능성: 장 건강, 체지방감소",
코스맥스바이오 푸드올로지 콜레올로지 쾌변 젤리,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 1포/형태: 젤리/특징: 스틱형/건강기능식품/기능성: 체지방감소",
닥터브라이언 밸런스핏 가르시니아&비타민B,"[주요성분] 가르시니아(HCA)/비타민B/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 4회, 1회 1캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] HCA: 750mg",
애플트리김약사네 악마다이어트 아쿠아 프로 파인애플맛,"가르시니아(HCA)/섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1포/형태: 분말/특징: 스틱형/건강기능식품/GMP/기능성: 면역력 증진, 장 건강, 체지방감소, 항산화, 혈중 콜레스테롤 개선",
애플트리김약사네 악마다이어트 아쿠아 프로 핑크피치맛,"가르시니아(HCA)/섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1포/형태: 분말/특징: 스틱형/건강기능식품/GMP/기능성: 면역력 증진, 장 건강, 체지방감소, 항산화, 혈중 콜레스테롤 개선",
애플트리김약사네 악마다이어트 아쿠아 프로 파인애플맛+ 피치맛,"가르시니아(HCA)/섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1포/형태: 분말/특징: 스틱형/건강기능식품/GMP/기능성: 면역력 증진, 장 건강, 체지방감소, 항산화, 혈중 콜레스테롤 개선",
GRN 분홍이 슬림밸런스 & 비오틴,"가르시니아(HCA)/비오틴/섭취횟수, 양: 1일 3회, 1정/형태: 캡슐,정/건강기능식품/GMP/기능성: 체지방감소",
금단미인 다이어트 탕,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 1포/형태: 음료(액상)/특징: 스틱형/건강기능식품/기능성: 체지방감소",
에스더포뮬러 여에스더 화이토릭스 팻블로커 가르시니아,"가르시니아(HCA)/섭취횟수, 양: 1일 3회, 1정/형태: 캡슐,정/건강기능식품/기능성: 체지방감소",
GRN 빨강이 다이어트 젤리,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 1포/형태: 젤리/특징: 스틱형/건강기능식품/기능성: 장 건강, 체지방감소",
한미양행 그린몬스터 다이어트 체지방 쑥,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 2정/형태: 캡슐,정/건강기능식품/GMP/기능성: 체지방감소",
비엘헬스케어 녹십자웰빙 PNT 가르시니아,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 2정/형태: 캡슐,정/건강기능식품/기능성: 체지방감소",
아모레퍼시픽 바이탈뷰티 메타그린 칼로리컷 젤리,"가르시니아(HCA)/섭취횟수, 양: 1일 1회,1포/형태: 젤리/특징: 스틱형/기능성: 체지방감소",
네오팜 에버바이오 에버봄 하루비움 피티,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 1포/형태: 분말형/특징: 스틱형/건강기능식품/GMP/기능성: 체지방감소",
노비스바이오 오라뷰 제로톡 가르시니아 콤부차,가르시니아(HCA)/형태: 분말형/특징: 스틱형,
한풍네이처팜 에버비키니 키토시니아,"가르시니아(HCA)/섭취대상: 여성, 남성/섭취횟수, 양: 1일 2회, 4정/섭취기간: 14일분/형태: 캡슐,정/건강기능식품/GMP/기능성: 체지방감소",
동서바이오팜 오늘부터 웰컷,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 2포/건강기능식품/GMP/기능성: 장 건강, 체지방감소",
한국바이오팜 닥터블릿 푸응 다이어트,"가르시니아(HCA)/섭취횟수, 양: 1일 2회,1포/섭취기간: 7일분/형태: 분말형/특징: 스틱형/건강기능식품/GMP/기능성: 장건강, 체지방감소/복숭아맛",
웰레스트 닥터블릿 푸응 마이너스 카페,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 10일/형태: 분말형/특징: 스틱형/건강기능식품/GMP/기능성: 체지방감소",
시에트랩 데이케어 츄어블 가르시니아,"가르시니아(HCA)/섭취횟수, 양: 1일 3회, 1정/형태: 초콜릿,캔디류/건강기능식품/GMP/기능성: 면역력 증진, 체지방감소, 혈중 콜레스테롤 개선",
빼자카페 다이어트 가르시니아커피,"가르시니아(HCA)/섭취대상: 여성, 남성/기능성: 체지방감소",
디컷 다이어트 카페,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 1포/형태: 분말형/특징: 스틱형/건강기능식품/GMP/이력추적/기능성: 체지방감소/가르시니아750mg",
효소원 청순다이어트,"가르시니아(HCA)/섭취횟수, 양: 1일 2회, 2포/형태: 분말형/특징: 스틱형/건강기능식품/GMP/기능성: 체지방감소",
자연지애 다이어트 체지방 감소엔 칼로컷,"가르시니아(HCA)/섭취횟수, 양: 1일 1회, 3정/형태: 캡슐,정/건강기능식품/GMP/기능성: 체지방감소",
경남제약 칼로스탑 플러스,"가르시니아(HCA)/섭취횟수, 양: 1일 1회,1포/형태: 분말형/특징: 스틱형/건강기능식품/GMP/기능성: 체지방감소/가르시니아1000mg",
윤오헬시 참진 바로환 다이어트,"가르시니아(HCA)/섭취횟수, 양: 1일 2회, 1포/섭취기간: 2주분/형태: 환/특징: 스틱형/건강기능식품/GMP/기능성: 체지방감소/Hydroxycitric acid 750mg",
피엘코리아 설당프리 비타미톡 자두맛,"[주요성분] 가르시니아(HCA)/
[섭취정보] 섭취대상: 성인여성, 성인남성/섭취횟수, 양: 1일 2회, 1정/섭취기간: 27일분/형태: 캡슐,정/
[인증] 건강기능식품/GAP/기능성: 체지방감소/HCA375mg",
피엘코리아 설당프리 비타미톡 망고스틴맛,"[주요성분] 가르시니아(HCA)/
[섭취정보] 섭취대상: 성인여성, 성인남성/섭취횟수, 양: 1일 2회, 1정/섭취기간: 27일분/형태: 캡슐,정/
[인증] 건강기능식품/GAP/기능성: 체지방감소/HCA375mg",
노바렉스 김석진LAB 다이어트 또박한팩,"가르시니아(HCA)/섭취대상: 여성, 남성/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/형태: 캡슐,정/건강기능식품/기능성: 체지방감소",
내츄럴가이아 가르시니아 골드타임,"[주요성분] 가르시니아(HCA)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/섭취기간: 8주/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 체지방감소/
[기능성분] HCA: 750mg/비타민B6: 1.5mg/나이아신: 15mgNE/판토텐산: 5mg/비타민A: 700㎍RE/아연: 4.25mg/망간: 1.5mg/비타민D: 5㎍/비타민E: 5.5mgα-TE/엽산: 400㎍",
라르크인터내셔널 마로셀 올데이 슬림컷 아메리카노맛,"[주요성분] 가르시니아(HCA)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/섭취기간: 1개월/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] HCA: 750mg",
휴럼 아이엠미 슬림 핏 프로바이오틱스,"[주요성분] 프로바이오틱스/가르시니아(HCA)/보장균수(CFU): 10억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/섭취기간: 4주/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강, 체지방감소/
[기능성분] HCA: 750mg",
퍼플랩스헬스케어 세리박스 세리번 비우밍 다이어트,"[주요성분] 차전자피 식이섬유/가르시니아(HCA)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/섭취기간: 2주/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 체지방감소, 혈중 콜레스테롤 개선/
[기능성분]",
퍼플랩스헬스케어 세리박스 세리번 데이 트리플S,"[주요성분] 코로솔산(바나바잎)/가르시니아(HCA)/잔티젠/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/섭취기간: 2주/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 체지방감소, 혈당조절/
[기능성분] HCA: 750mg/후코잔틴: 3mg/푸닉산: 174mg/코로솔산: 0.45mg/비타민B1: 1.2mg/비타민B2: 1.4mg/비타민B6: 1.5mg/비타민D: 10㎍/비타민E: 11mgα-TE/셀렌: 55㎍/엽산: 400㎍/판토텐산: 5mg",
뉴일리 지금부터 다이어트,"[주요성분] 가르시니아(HCA)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 1정/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 체지방감소/
[기능성분] HCA: 750mg/셀렌: 55㎍/판토텐산: 5mg/비타민B1: 1.2mg/비타민B2: 1.4mg/비타민B6: 1.5mg",
