Name,Spec,ImageURL
저먼 프로트 9000,"단백질보충제/종류: 분리유청단백(WPI)/
[섭취정보] 섭취대상: 성인남녀/형태: 분말/특징: 포대형/
[영양정보] 표시기준량: 30g/열량: 113kcal/단백질: 27g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강 단백질 보충제\저먼 프로트 9000.jpg
매일헬스뉴트리션 셀렉스 코어 프로틴 락토프리,"단백질보충제/종류: 분리유청단백(WPI), 가수분해유청단백(WPH), 분리대두단백(ISP), 카제인/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2포/섭취기간: 5일/형태: 분말/특징: 스틱형, 락토프리/
[인증] 건강기능식품/기능성: 뼈 건강, 영양보충/
[영양·기능정보] 표시기준량: 38g/열량: 139kcal/단백질: 20g/칼슘: 300mg/마그네슘: 175mg/아연: 8.5mg/비타민D: 20㎍/비타민B1: 2.4mg/판토텐산: 10mg/비타민B6: 3mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강 단백질 보충제\매일헬스뉴트리션 셀렉스 코어 프로틴 락토프리.jpg
일동후디스 하이뮨 프로틴 밸런스,"단백질보충제/프리바이오틱스/종류: 산양유, 농축유청단백(WPC), 분리대두단백(ISP), 농축우유단백(MPC), 분리우유단백(MPI)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 38g/섭취기간: 8일/형태: 분말/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 뼈 건강, 영양보충, 장 건강/
[영양·기능정보] 표시기준량: 38g/열량: 155kcal/단백질: 20g/프락토올리고당: 3g/칼슘: 300mg/마그네슘: 150mg/비타민D: 10㎍/비타민B6: 6mg/아연: 9mg/판토텐산: 5mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강 단백질 보충제\일동후디스 하이뮨 프로틴 밸런스.jpg
BSN 신타6 초콜렛 밀크쉐이크,"단백질보충제/종류: 농축유청단백(WPC), 분리유청단백(WPI), 카제인/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1회 1스푼/형태: 분말/특징: 해외구매/
[영양정보] 표시기준량: 47g/열량: 190kcal/단백질: 22g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강 단백질 보충제\BSN 신타6 초콜렛 밀크쉐이크.jpg
머슬팜 컴뱃 100% 웨이 프로틴 초콜릿 밀크,"단백질보충제/종류: 농축유청단백(WPC), 분리유청단백(WPI)/
[섭취정보] 섭취대상: 성인남녀/형태: 분말/특징: 해외구매/
[영양정보] 표시기준량: 34g/열량: 120kcal/단백질: 24g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강 단백질 보충제\머슬팜 컴뱃 100% 웨이 프로틴 초콜릿 밀크.jpg
매일헬스뉴트리션 셀렉스 프로틴 고소한맛,"단백질보충제/종류: 농축유청단백(WPC), 분리유청단백(WPI), 분리대두단백(ISP), 분리우유단백(MPI)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 3스푼/섭취기간: 8일/형태: 분말/
[인증] 건강기능식품/GMP/기능성: 뼈 건강, 영양보충/
[영양·기능정보] 표시기준량: 38g/열량: 165kcal/단백질: 20g/칼슘: 300mg/아연: 3.8mg/비타민D: 20㎍/비타민B1: 2.4mg/판토텐산: 10mg/비타민B6: 3mg/비타민K: 70㎍/나이아신: 15mg/비오틴: 90㎍",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강 단백질 보충제\매일헬스뉴트리션 셀렉스 프로틴 고소한맛.jpg
BSN 신타6 아이솔레이트 초콜릿 밀크쉐이크,"단백질보충제/종류: 분리유청단백(WPI), 분리우유단백(MPI)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1회 1스푼/형태: 분말/특징: 해외구매/
[영양정보] 표시기준량: 38g/열량: 140kcal/단백질: 25g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강 단백질 보충제\BSN 신타6 아이솔레이트 초콜릿 밀크쉐이크.jpg
원데이뉴트리션 머슬킹 프로틴80,"단백질보충제/종류: 가수분해유청단백(WPH), 분리대두단백(ISP)/
[섭취정보] 섭취대상: 성인남녀/형태: 분말/
[영양정보] 1회 섭취량당 열량: 122kcal/탄수화물: 2.5g/단백질: 25.1g/지방: 1.2g미만/나트륨: 268mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강 단백질 보충제\원데이뉴트리션 머슬킹 프로틴80.jpg
BSN 신타6 초콜릿 밀크쉐이크,"단백질보충제/종류: 농축유청단백(WPC), 분리유청단백(WPI), 분리우유단백(MPI), 카제인/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1회 1스푼/형태: 분말/특징: 해외구매, 포대형/
[영양정보] 표시기준량: 47g/열량: 190kcal/단백질: 22g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강 단백질 보충제\BSN 신타6 초콜릿 밀크쉐이크.jpg
한국생활건강 팔레오 오리진 산양유 프로틴,"단백질보충제/종류: 산양유/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 40g/섭취기간: 9일/형태: 분말/
[영양정보] 표시기준량: 40g/열량: 155kcal/단백질: 24g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강 단백질 보충제\한국생활건강 팔레오 오리진 산양유 프로틴.jpg
캘리포니아골드뉴트리션 웨이 프로틴 아이솔레이트 무맛,"단백질보충제/종류: 분리유청단백(WPI)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1회 1스푼/형태: 분말/특징: 해외구매, 포대형/
[영양정보] 표시기준량: 31g/열량: 120kcal/단백질: 27g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강 단백질 보충제\캘리포니아골드뉴트리션 웨이 프로틴 아이솔레이트 무맛.jpg
옵티멈뉴트리션 골드 스탠다드 100% 웨이 익스트림 밀크 초콜릿,"단백질보충제/종류: 농축유청단백(WPC), 분리유청단백(WPI)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1회 1스푼/형태: 분말/특징: 해외구매/
[영양정보] 표시기준량: 32g/열량: 120kcal/단백질: 24g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강 단백질 보충제\옵티멈뉴트리션 골드 스탠다드 100% 웨이 익스트림 밀크 초콜릿.jpg
