Name,Spec,ImageURL
래오이경제 흑염소진액원元,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/흑염소혼합추출액 100%(고형분 2%, 흑염소 30%, 뽕나무잎 8.5%)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\래오이경제 흑염소진액원元.jpg
히말라야 파티스마트 츄입,"숙취해소제/형태: 젤리/섭취대상: 성인남녀/섭취횟수, 양: 1회 2개",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\히말라야 파티스마트 츄입.jpg
장생도라지 장생도라지 분말 100,"건강분말/도라지즙/기타/형태: 분말/섭취대상: 성인남녀/섭취횟수, 양: 1일 3회, 1회 1포",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\장생도라지 장생도라지 분말 100.jpg
GNM자연의품격 유기농 양배추 브로콜리진액,"건강즙/기타즙/양배추/섭취대상: 성인남녀/섭취횟수, 양: 1일 3회, 1회 1포",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\GNM자연의품격 유기농 양배추 브로콜리진액.jpg
아사히 에비오스,"건강환·정/효모/형태: 캡슐,정/섭취대상: 성인남녀/섭취횟수, 양: 1일 3회, 1회 10정/특징: 해외구매",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\아사히 에비오스.jpg
지니트레저 김오곤 원장 흑염소진액 골드,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/흑염소혼합추출액 100%",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\지니트레저 김오곤 원장 흑염소진액 골드.jpg
편강한방연구소 구전녹용 금지옥엽,"건강즙/녹용즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~2포",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\편강한방연구소 구전녹용 금지옥엽.jpg
종근당건강 흑마늘 골드,"건강즙/마늘즙/마늘/섭취대상: 성인남녀/섭취횟수, 양: 1일 2회",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\종근당건강 흑마늘 골드.jpg
래오이경제 더힘찬 녹용 블랙,"건강즙/녹용즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~2회, 1회 1포",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\래오이경제 더힘찬 녹용 블랙.jpg
GNM자연의품격 품격있는 도라지배즙,"건강즙/배도라지즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~3회, 1회 1포",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\GNM자연의품격 품격있는 도라지배즙.jpg
자연식품 무안 자색 양파즙,건강즙/양파즙/섭취대상: 성인남녀/자색양파 100%,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\자연식품 무안 자색 양파즙.jpg
황제의품격 블랙라벨 흑염소 프리미엄,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 선물세트",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\황제의품격 블랙라벨 흑염소 프리미엄.jpg
개성인삼농협 김오곤 녹용홍삼보,"건강즙/녹용즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\개성인삼농협 김오곤 녹용홍삼보.jpg
에이치케이이노엔 확깬다! 컨디션 스틱 그린애플맛,"숙취해소제/형태: 젤리/섭취대상: 성인남녀/섭취횟수, 양: 1회 1포/특징: 스틱형",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\에이치케이이노엔 확깬다! 컨디션 스틱 그린애플맛.jpg
태광식품 태광선식 국산 서리태 귀리 쉐이크,건강분말/귀리/형태: 분말/섭취대상: 성인남녀,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\태광식품 태광선식 국산 서리태 귀리 쉐이크.jpg
광동생활건강 일품기력보환60환,"건강환·정/기타/형태: 환/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1환",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\광동생활건강 일품기력보환60환.jpg
삼양식품 상쾌환,"숙취해소제/형태: 환/섭취대상: 성인남녀/섭취횟수, 양: 1회 1포",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\삼양식품 상쾌환.jpg
순수식품 도라지배즙,"건강즙/배도라지즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~3회, 1회 1포",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\순수식품 도라지배즙.jpg
젊은농부 양배추즙,건강즙/양배추즙/형태: 액상형/섭취대상: 성인남녀/양배추100%/특징: 파우치형/HACCP/GAP,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\젊은농부 양배추즙.jpg
순수 사과즙,"건강즙/사과즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~3회",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\순수 사과즙.jpg
스피릿사이언스 RU-21 비타민C,"숙취해소제/형태: 캡슐,정/섭취대상: 성인남녀/섭취횟수, 양: 1일 3회, 1회 2정",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\건강즙_환_분말\스피릿사이언스 RU-21 비타민C.jpg
