Name,Spec,ImageURL
SPC삼립 디저트 누네띠네,"스낵/대용량(벌크형)/
[영양정보] 표시기준량 100g당 열량: 521kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\SPC삼립 디저트 누네띠네.jpg
오리온 초코파이입,"파이/사무실간식(소포장)/
[영양정보] 표시기준량 420g당 열량: 150kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\오리온 초코파이입.jpg
롯데웰푸드 몽쉘 부여알밤,"파이/10봉/알레르기성분: 대두, 땅콩, 밀, 계란, 우유, 쇠고기/표시기준분량: 34g/열량: 165kcal/탄수화물: 18g/당류: 10g/단백질: 2.3g/지방: 9g/포화지방: 6g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 85mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\롯데웰푸드 몽쉘 부여알밤.jpg
농심 새우깡,"스낵/
[영양정보] 표시기준량 30g당 열량: 145kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\농심 새우깡.jpg
켈로그 프링글스 양파맛,"감자칩/53g/알레르기성분: 밀, 우유/
[영양정보] 표시기준분량: 53g/열량: 276kcal/탄수화물: 30.2g/당류: 1g미만/단백질: 4g/지방: 15.5g/포화지방: 6.8g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 425mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\켈로그 프링글스 양파맛.jpg
롯데웰푸드 몽쉘 카카오 생크림케이크입,"파이/사무실간식(소포장)/
[영양정보] 1회 제공량 32g당 열량: 165kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\롯데웰푸드 몽쉘 카카오 생크림케이크입.jpg
개미식품 구워만든 곡물 그대로,"스낵/사무실간식(소포장)/
[영양정보] 표시기준량 100g당 열량: 605kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\개미식품 구워만든 곡물 그대로.jpg
켈로그 프링글스 오리지날,"감자칩/
[영양정보] 1회 제공량 110g당 열량: 575kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\켈로그 프링글스 오리지날.jpg
오리온 오징어 땅콩,스낵,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\오리온 오징어 땅콩.jpg
금풍제과 보리건빵,"건빵/70g/알레르기성분: 대두, 밀, 우유, 아황산류/보리가루2%/원산지: 국산/표시기준분량: 70g/열량: 437kcal/탄수화물: 81g/당류: 16g/단백질: 19%/지방: 8g/포화지방: 0g/트랜스지방: 0mg/콜레스테롤: 0mg/나트륨: 356mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\금풍제과 보리건빵.jpg
오리온 닥터유 다이제 초코,"비스킷,크래커",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과자\오리온 닥터유 다이제 초코.jpg
