Name,Spec,ImageURL
팔도 뽀로로 밀크맛,"주스/알레르기성분: 대두, 우유/상온",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과채주스_음료\팔도 뽀로로 밀크맛.jpg
홀푸드코리아 1일1레몬 유기농 레몬즙,과채주스/레몬즙/20g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과채주스_음료\홀푸드코리아 1일1레몬 유기농 레몬즙.jpg
에코패밀리 루솔 루솔이 만든 진한 배 도라지즙,주스/파우치/최소연령: 12개월~/HACCP인증/원산지: 국내산/상온,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과채주스_음료\에코패밀리 루솔 루솔이 만든 진한 배 도라지즙.jpg
DERIVADOS CITRICOS 솔리몬 스퀴즈드 레몬,"과채주스/레몬 주스/포장형태: 페트/원재료: 레몬주스 99.96%/
[영양정보] 1회 제공량 50ml당 열량:16.7kcal/탄수화물:3.85g/당류:0g/단백질:0.215g/지방:0.1g/포화지방:0g/트랜스지방:0g/콜레스테롤:0mg/나트륨:12.5mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과채주스_음료\DERIVADOS CITRICOS 솔리몬 스퀴즈드 레몬.jpg
매일유업 피크닉 사과 제로,과채음료/사과 주스/포장형태: 팩/200ml,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과채주스_음료\매일유업 피크닉 사과 제로.jpg
농심 카프리썬 오렌지망고,"과채음료/혼합 주스/포장형태: 파우치/원재료: 오렌지과즙 6.5%, 망고퓨레 3%, 망고과즙 0.5%/
[영양정보] 1회 제공량 200ml당 열량: 60kcal/탄수화물: 15g/당류: 15g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과채주스_음료\농심 카프리썬 오렌지망고.jpg
팔도 빅 뽀로로 제로 밀크맛,"주스/알레르기성분: 대두, 우유/상온",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과채주스_음료\팔도 빅 뽀로로 제로 밀크맛.jpg
팔도 뽀로로 사과맛,주스/플라스틱병/상온,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과채주스_음료\팔도 뽀로로 사과맛.jpg
웅진 캐치티니핑 밀크맛,"주스/액상/플라스틱병/알레르기성분: 대두, 우유",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과채주스_음료\웅진 캐치티니핑 밀크맛.jpg
매일유업 피크닉 사과,"과채음료/사과 주스/포장형태: 팩/원재료: 사과농축과즙 8%, 사과페이스트 2%/
[영양정보] 1회 제공량 200ml당 열량: 68kcal/탄수화물: 17g/당류: 16g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 80mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과채주스_음료\매일유업 피크닉 사과.jpg
팔도 뽀로로 딸기맛,"주스/알레르기성분: 대두, 우유/상온",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과채주스_음료\팔도 뽀로로 딸기맛.jpg
서울우유 아침에주스 오렌지,"과채주스/오렌지 주스/포장형태: 페트/원재료: 오렌지과즙 100%/
[영양정보] 1회 제공량 210ml당 열량:95kcal/탄수화물:21g/당류:19g/단백질:2g/지방:0.5g/포화지방:0g/트랜스지방:0g/콜레스테롤:0mg/나트륨:25mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과채주스_음료\서울우유 아침에주스 오렌지.jpg
팔도 빅 뽀로로 제로 딸기맛,"주스/알레르기성분: 대두, 우유/상온",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과채주스_음료\팔도 빅 뽀로로 제로 딸기맛.jpg
테일러팜스 테일러 푸룬 딥워터,"과채음료/푸룬 주스/포장형태: 페트/원재료: 푸룬농축액 14%/
[영양정보] 1회 제공량 180ml당 열량: 212kcal/탄수화물: 53g/당류: 8g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과채주스_음료\테일러팜스 테일러 푸룬 딥워터.jpg
해태htb 갈아만든배,"과채음료/그외 주스/포장형태: 캔/원재료: 배퓨레 12%/
[영양정보] 1회 제공량 340ml당 열량: 168kcal/탄수화물: 42g/당류: 41g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과채주스_음료\해태htb 갈아만든배.jpg
웅진식품 초록매실 제로,"과채음료/매실 주스/포장형태: 페트/원재료: 에리스리톨, 매실농축액, 사과농축액/500ml",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과채주스_음료\웅진식품 초록매실 제로.jpg
롯데칠성음료 제주사랑 감귤사랑,"과채음료/감귤 주스/포장형태: 페트/원재료: 감귤과즙 50%/
[영양정보] 1회 제공량 100ml당 열량: 30kcal/탄수화물: 8g/당류: 8g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 5mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과채주스_음료\롯데칠성음료 제주사랑 감귤사랑.jpg
정식품 베지밀 건강담은 야채가득 V19,"과채주스/혼합 주스/포장형태: 팩/원재료: 당근즙 50%, 토마토즙 50%, 채소혼합농축액/
[영양정보] 1회 제공량 145ml당 열량: 54kcal/탄수화물: 11g/당류: 7g/단백질: 1g/지방: 0.6g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 23mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과채주스_음료\정식품 베지밀 건강담은 야채가득 V19.jpg
포미 토마토쥬스,"과채주스/토마토 주스/포장형태: 팩/
[영양정보] 표시기준량 750ml당 열량: 128kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\과채주스_음료\포미 토마토쥬스.jpg
