Name,Spec,ImageURL
래오이경제 흑염소진액원元,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/흑염소혼합추출액 100%(고형분 2%, 흑염소 30%, 뽕나무잎 8.5%)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹용_흑염소\래오이경제 흑염소진액원元.jpg
지니트레저 김오곤 원장 흑염소진액 골드,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/흑염소혼합추출액 100%",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹용_흑염소\지니트레저 김오곤 원장 흑염소진액 골드.jpg
편강한방연구소 구전녹용 금지옥엽,"건강즙/녹용즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~2포",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹용_흑염소\편강한방연구소 구전녹용 금지옥엽.jpg
래오이경제 더힘찬 녹용 블랙,"건강즙/녹용즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~2회, 1회 1포",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹용_흑염소\래오이경제 더힘찬 녹용 블랙.jpg
황제의품격 블랙라벨 흑염소 프리미엄,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 선물세트",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹용_흑염소\황제의품격 블랙라벨 흑염소 프리미엄.jpg
개성인삼농협 김오곤 녹용홍삼보,"건강즙/녹용즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹용_흑염소\개성인삼농협 김오곤 녹용홍삼보.jpg
옻가네 김소형 원방 흑염소 진액스틱,"흑염소즙/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/흑염소 15%/특징: 스틱형, 선물세트",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹용_흑염소\옻가네 김소형 원방 흑염소 진액스틱.jpg
래오이경제 흑염소진액,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/흑염소추출물 81%(고형분 2%)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹용_흑염소\래오이경제 흑염소진액.jpg
옻가네 김오곤 원장 흑염소 진액,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹용_흑염소\옻가네 김오곤 원장 흑염소 진액.jpg
옻가네 내 몸에 좋은 흑염소진,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~2회, 1회 1포",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹용_흑염소\옻가네 내 몸에 좋은 흑염소진.jpg
LG생활건강 리튠 녹용진액 골드,"건강즙/녹용즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/녹용혼합추출액 83.8%/특징: 선물세트",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹용_흑염소\LG생활건강 리튠 녹용진액 골드.jpg
김오곤 원장 침향녹용단30환,건강환·정/녹용즙/침향/형태: 환/섭취대상: 성인남녀/침향 18%,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹용_흑염소\김오곤 원장 침향녹용단30환.jpg
충북인삼농협 농협 맞춤 흑염소진액,건강즙/흑염소즙/섭취대상: 성인남녀,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹용_흑염소\충북인삼농협 농협 맞춤 흑염소진액.jpg
천호엔케어 흑염소 진옥고,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~2회/흑염소 12.75%/특징: 스틱형, 선물세트",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹용_흑염소\천호엔케어 흑염소 진옥고.jpg
새롬한방제약 래오 이경제 흑염소진액 원[],"건강즙/흑염소즙/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~2회,1포/흑염소혼합추출액100%,고형분2%/특징: 파우치형/기능성: 면역력 증진/HACCP",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹용_흑염소\새롬한방제약 래오 이경제 흑염소진액 원[].jpg
편강한방연구소 구전녹용 본,건강즙/녹용즙/섭취대상: 성인남녀,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹용_흑염소\편강한방연구소 구전녹용 본.jpg
GNM자연의품격 품격있는 흑염소진액,"건강즙/흑염소즙/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 2~3회, 1포/섭취기간: 10일분/특징: 파우치형/HACCP",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹용_흑염소\GNM자연의품격 품격있는 흑염소진액.jpg
