Name,Spec,ImageURL
아모레퍼시픽 오설록 프리미엄 티 컬렉션 10종 세트,차 세트/티백형/총량: 40T/구성: 제주 순수녹차 4T+제주 동백 꽃 티 4T+삼다 꿀배 티 4T+제주 유채&꿀티 4T+제주 삼다 영귤티 4T+제주 난꽃향 티 4T+스윗 부케향 티 4T+제주 화산 우롱차 4T+트로피칼 블랙티 4T+제주 얼그레이티,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹차_허브차_꽃차\아모레퍼시픽 오설록 프리미엄 티 컬렉션 10종 세트.jpg
아모레퍼시픽 오설록 블루밍 티 기프트,차 세트/티백형/구성: 제주 난꽃향 티 5T+스윗부케향 티 5T+제주 동백꽃 티 5T+제주 유채 꿀 티 5T+제주 삼다 영귤 티 5T+제주 한라 발효차 5T+제주 순수녹차 5T+삼다 꿀배 티 5T+트로피컬 블랙티 5T+쇼핑백,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹차_허브차_꽃차\아모레퍼시픽 오설록 블루밍 티 기프트.jpg
아모레퍼시픽 오설록 프리미엄 말차,녹차/분말/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹차_허브차_꽃차\아모레퍼시픽 오설록 프리미엄 말차.jpg
베티나르디 캐모마일 티,허브차/캐모마일/티백형/총량: 30T/원산지: 외국산/1T당: 1g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹차_허브차_꽃차\베티나르디 캐모마일 티.jpg
동서식품 동서 현미녹차 업소용,녹차/현미녹차/티백형/총량: 1500T/원산지: 국내산/1T당: 1.3g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹차_허브차_꽃차\동서식품 동서 현미녹차 업소용.jpg
쌍계명차 오마주 티 마스터 선물세트,차 세트/티백형/구성: 우전 5T+화이트 피치 5T+잉글리쉬 블랙퍼스트 5T+피치우롱 5T+돌배차 5T+홍도라지차 5T+홍삼귤피차 5T+계피생강차 5T+국화차 5T+제주황귤차 5T+체리 루이보스 5T+히비스커스 블라썸 5T,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹차_허브차_꽃차\쌍계명차 오마주 티 마스터 선물세트.jpg
쿠팡 탐사 세븐베리 콤부차,콤부차/분말/스틱형/총량: 120T/1T당: 5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹차_허브차_꽃차\쿠팡 탐사 세븐베리 콤부차.jpg
아모레퍼시픽 오설록 오 땡큐 티 박스,차 세트/티백형/원산지: 국내산/구성: 제주 순수녹차 5T+삼다 꿀배 티 5T+제주 동백꽃 티 5T+제주 삼다 영귤 티 5T+제주 유채&꿀 티 5T+제주 난꽃향 티 5T,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹차_허브차_꽃차\아모레퍼시픽 오설록 오 땡큐 티 박스.jpg
화개농협 가루녹차,녹차/분말/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹차_허브차_꽃차\화개농협 가루녹차.jpg
동서식품 동서 현미녹차,녹차/현미녹차/티백형/총량: 180T/원산지: 국내산/1T당: 1.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\녹차_허브차_꽃차\동서식품 동서 현미녹차.jpg
