Name,Spec,ImageURL
어댑트 푸드올로지 맨올로지 컷 프로,"섭취횟수, 양: 1일 2회, 2정/형태: 캡슐,정/건강기능식품",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 보조제\어댑트 푸드올로지 맨올로지 컷 프로.jpg
퍼플랩스헬스케어 세리박스 세리번 나이트 V2,"섭취대상: 성인여성, 성인남성/섭취횟수, 양: 1일 1회, 1포/형태: 캡슐,정/건강기능식품/GMP/기능성: 체지방감소, 혈행개선",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 보조제\퍼플랩스헬스케어 세리박스 세리번 나이트 V2.jpg
어댑트 푸드올로지 콜레올로지,"[주요성분] 콜레우스포스콜리/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 체지방감소/
[기능성분] 포스콜린: 50mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 보조제\어댑트 푸드올로지 콜레올로지.jpg
CJ ENM 시크릿 시서스 로우 다이어트 시크릿,"[주요성분] 시서스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/섭취기간: 4주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] 퀘르세틴: 3.66mg/이소람네틴: 0.111mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 보조제\CJ ENM 시크릿 시서스 로우 다이어트 시크릿.jpg
아이리스브라이트 리서쳐스 2비컷,"[주요성분] 징코(은행잎)/가르시니아(HCA)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 1정/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 체지방감소, 혈행개선/
[기능성분] HCA: 750mg/플라보놀배당체: 28mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 보조제\아이리스브라이트 리서쳐스 2비컷.jpg
매일헬스뉴트리션 셀렉스 프로핏 모카 초콜릿,"단백질보충제/종류: 분리우유단백(MPI)/
[섭취정보] 섭취대상: 성인남녀/형태: 음료(액상)/특징: 락토프리/
[영양정보] 표시기준량: 250ml/열량: 100kcal/단백질: 20g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 보조제\매일헬스뉴트리션 셀렉스 프로핏 모카 초콜릿.jpg
일동후디스 하이뮨 프로틴 밸런스,"단백질보충제/종류: 농축유청단백(WPC), 분리유청단백(WPI), 분리대두단백(ISP), 농축우유단백(MPC), 분리우유단백(MPI)/섭취횟수, 양: 1일 1회, 37g/형태: 과립형/건강기능식품/기능성: 관절, 연골 건강, 면역력 증진, 영양보충/진한우유맛/단백질18g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 보조제\일동후디스 하이뮨 프로틴 밸런스.jpg
매일헬스뉴트리션 셀렉스 프로핏 밀크 바닐라,"단백질보충제/종류: 분리우유단백(MPI)/
[섭취정보] 섭취대상: 성인남녀/형태: 음료(액상)/특징: 락토프리/
[영양정보] 표시기준량: 250ml/열량: 95kcal/단백질: 20g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 보조제\매일헬스뉴트리션 셀렉스 프로핏 밀크 바닐라.jpg
헬스밸런스 스키니랩 행복한 시서스 다이어트,"[주요성분] 시서스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/섭취기간: 4주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] 퀘르세틴: 3.66mg/이소람네틴: 0.111mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 보조제\헬스밸런스 스키니랩 행복한 시서스 다이어트.jpg
헬스밸런스 스키니랩 모로실 다이어트 C,"[주요성분] 모로오렌지(모로실C3G)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/섭취기간: 2주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] Cyanidin-3-O-glucoside: 1.76mg/비타민C: 100mg/셀렌: 55㎍/판토텐산: 5mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 보조제\헬스밸런스 스키니랩 모로실 다이어트 C.jpg
동화약품 코엔자임Q10 코큐텐 맥스,"비타민E/아연/섭취횟수, 양: 1일 1회, 1캡슐/형태: 캡슐,정/건강기능식품/GMP/기능성: 면역력 증진, 항산화",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 보조제\동화약품 코엔자임Q10 코큐텐 맥스.jpg
뉴온시서스 필 다이어트,"[주요성분] 시서스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/섭취기간: 4주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] 퀘르세틴: 3.66mg/이소람네틴: 0.111mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 보조제\뉴온시서스 필 다이어트.jpg
닥터블릿 푸응 팻버닝,"섭취횟수, 양: 1일 3회, 1정/형태: 캡슐,정/건강기능식품/GMP",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 보조제\닥터블릿 푸응 팻버닝.jpg
내츄럴플러스 근력운동엔 크레아틴 파워 3000,"종류: 크레아틴/섭취횟수, 양: 1일 1회, 1포/형태: 분말/특징: 스틱형/건강기능식품",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 보조제\내츄럴플러스 근력운동엔 크레아틴 파워 3000.jpg
종근당건강 락토핏 다이어트,보장균수(CFU): 30억 CFU/특징: 스틱형/건강기능식품/이력추적/기능성: 장 건강,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 보조제\종근당건강 락토핏 다이어트.jpg
내츄럴플러스 바나바 코큐텐 징코 올인원,"코큐텐(코엔자임Q10)/섭취횟수, 양: 1일 1회, 1캡슐/형태: 캡슐,정/건강기능식품/기능성: 항산화",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 보조제\내츄럴플러스 바나바 코큐텐 징코 올인원.jpg
대웅생명과학 코큐텐플러스,"엽산/아연/비오틴/섭취횟수, 양: 1일 1회, 1캡슐/형태: 캡슐,정/건강기능식품/기능성: 면역력 증진, 영양보충, 피부 건강, 항산화, 혈중 콜레스테롤 개선",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 보조제\대웅생명과학 코큐텐플러스.jpg
