Name,Spec,ImageURL
에이스바이옴 BNR17 다이어트 유산균 비에날씬,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2캡슐/총량: 60캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 유산균\에이스바이옴 BNR17 다이어트 유산균 비에날씬.jpg
에이스바이옴 BNR17 다이어트 유산균 비에날씬 프로,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 유산균\에이스바이옴 BNR17 다이어트 유산균 비에날씬 프로.jpg
에이스바이옴 BNR17 갱년기 여성의 건강관리 비에날 퀸,"[주요성분] 소포리코사이드(회화나무열매)/프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2캡슐/총량: 60캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 갱년기 개선, 배변활동 원활, 장 건강, 체지방감소/
[기능성분] 소포리코사이드: 35mg/셀레늄: 16.5㎍/아연: 2.55mg/비타민A: 210㎍RE/비타민D: 10㎍",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 유산균\에이스바이옴 BNR17 갱년기 여성의 건강관리 비에날 퀸.jpg
종근당건강 락토핏 솔루션 중성지방,"[주요성분] 프로바이오틱스/보장균수(CFU): 40억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 유산균\종근당건강 락토핏 솔루션 중성지방.jpg
에이스바이옴 BNR17 다이어트 유산균 비에날씬 플러스,"[주요성분] 프로바이오틱스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 30포/섭취기간: 1개월/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소/
[기능성분] 아연: 2.55mg/비타민D: 10㎍",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 유산균\에이스바이옴 BNR17 다이어트 유산균 비에날씬 플러스.jpg
종근당건강 락토핏 생유산균 슬림,"[주요성분] 프로바이오틱스/가르시니아(HCA)/보장균수(CFU): 20억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 1포/총량: 60포/섭취기간: 1개월/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강, 체지방감소/
[기능성분] HCA: 750mg/아연: 2.55mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 유산균\종근당건강 락토핏 생유산균 슬림.jpg
팜스빌 애플트리김약사네 벨기에 유산균 다이어트 트리플러스,"[주요성분] 신바이오틱스/가르시니아(HCA)/보장균수(CFU): 1억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 14포/섭취기간: 2주/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소/
[기능성분] 프락토올리고당: 3,000mg/HCA: 750mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 유산균\팜스빌 애플트리김약사네 벨기에 유산균 다이어트 트리플러스.jpg
유한양행 와이즈바이옴 엘레씬 비피더스B3 다이어트 유산균,"섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 28일분/건강기능식품/기능성: 장 건강, 체지방감소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 유산균\유한양행 와이즈바이옴 엘레씬 비피더스B3 다이어트 유산균.jpg
에이스바이옴 BNR17 다이어트 유산균 비에날씬 프로틴,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 5포/섭취기간: 5일/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소/
[기능성분] 칼슘: 210mg/비타민D: 10㎍/조단백질: 20g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 유산균\에이스바이옴 BNR17 다이어트 유산균 비에날씬 프로틴.jpg
CJ웰케어 BYOCORE 다이어트 유산균,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 유산균\CJ웰케어 BYOCORE 다이어트 유산균.jpg
건국유업 체지방 다이어트 녹차카테킨,"[주요성분] 녹차추출물(카테킨)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소, 항산화, 혈중 콜레스테롤 개선/
[기능성분] 카테킨: 360mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 유산균\건국유업 체지방 다이어트 녹차카테킨.jpg
뉴트리디데이 다이어트에 빠진 유산균,"[주요성분] 프로바이오틱스/녹차추출물(카테킨)/보장균수(CFU): 1억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포(1캡슐, 2정)/섭취기간: 2주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소/
[기능성분] 카테킨: 300mg/비타민B2: 0.7mg/비타민B6: 0.75mg/비타민C: 50mg/셀레늄: 16.5㎍/나이아신: 7.5mgNE",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\다이어트 유산균\뉴트리디데이 다이어트에 빠진 유산균.jpg
