Name,Spec,ImageURL
이금기 원스텝 춘장,양념/장/기타 장류/대용량(업소용),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\대용량 조미료_장류\이금기 원스텝 춘장.jpg
미트폴 비정제 사탕수수당,조미료/향신료/갈색설탕/특징: 비정제원당/대용량(업소용)/원재료: 사탕수수 원당 100%,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\대용량 조미료_장류\미트폴 비정제 사탕수수당.jpg
CJ제일제당 백설 하얀설탕,조미료/향신료/백설탕/대용량(업소용)/원재료: 원당 100%,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\대용량 조미료_장류\CJ제일제당 백설 하얀설탕.jpg
CJ제일제당 백설 다시다 쇠고기,조미료/향신료/다시다/대용량(업소용),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\대용량 조미료_장류\CJ제일제당 백설 다시다 쇠고기.jpg
CJ제일제당 백설 흑설탕,조미료/향신료/흑설탕/대용량(업소용)/원재료: 원당 100%,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\대용량 조미료_장류\CJ제일제당 백설 흑설탕.jpg
대상 미원 S,조미료/향신료/미원/대용량(업소용),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\대용량 조미료_장류\대상 미원 S.jpg
대동식품 새댁표 고추맛기름,오일/식용유/고추기름/대용량(업소용)/외국산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\대용량 조미료_장류\대동식품 새댁표 고추맛기름.jpg
오뚜기 화이트식초,조미료/향신료/식초/대용량(업소용),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\대용량 조미료_장류\오뚜기 화이트식초.jpg
오뚜기 고소한 골드 마요네스,소스/드레싱/시럽/소스/마요네즈/보관방법: 실온보관/대용량(업소용)/식물성유지(외국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\대용량 조미료_장류\오뚜기 고소한 골드 마요네스.jpg
캠벨 킴벨 칠리소스,소스/드레싱/시럽/소스/칠리 소스/보관방법: 실온보관/대용량(업소용),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\대용량 조미료_장류\캠벨 킴벨 칠리소스.jpg
오뚜기 올리고당,조미료/향신료/올리고당/대용량(업소용)/원재료: 옥수수전분 100%,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\대용량 조미료_장류\오뚜기 올리고당.jpg
삼양사 큐원 하얀설탕,조미료/향신료/백설탕/대용량(업소용)/원재료: 원당 100%,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\대용량 조미료_장류\삼양사 큐원 하얀설탕.jpg
대상 쇠고기 맛나,조미료/향신료/다시다/대용량(업소용),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\대용량 조미료_장류\대상 쇠고기 맛나.jpg
CJ제일제당 해찬들 구수한 맛이 가득한 재래식 된장,양념/장/된장/대용량(업소용),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\대용량 조미료_장류\CJ제일제당 해찬들 구수한 맛이 가득한 재래식 된장.jpg
