Name,Spec
137degrees 아몬드 밀크,"아몬드음료/포장형태: 팩/
[영양정보] 1회 제공량 100ml당 열량: 30kcal/탄수화물: 2g/당류: 0g/단백질: 0.5g/지방: 2.5g/포화지방: 0.2g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 5mg"
137degrees 아몬드 밀크 언스위티드,"아몬드음료/포장형태: 팩/
[영양정보] 1회 제공량 100ml당 열량: 34kcal/탄수화물: 1.1g/당류: 0g/단백질: 1.1g/지방: 5g/포화지방: 0.56g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 8.3mg"
ACP 비코 리치 코코넛 밀크,"코코넛음료/포장형태: 팩/
[영양정보] 1회 제공량 100ml당 열량: 173kcal/탄수화물: 3g/당류: 2g/단백질: 2g/지방: 17.5g/포화지방: 16g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 7mg"
BETRIMEX 코코씸 코코넛 밀크,"코코넛음료/포장형태: 캔/
[영양정보] 1회 제공량 100ml당 열량: 170kcal"
CJ ENM 오하루 자연가득 오하루 자연가득 100 국내산 서리태 맷돌 두유,
CJ ENM 오하루 자연가득 오하루 자연가득 서리태 맷돌 두유,
CJ ENM 오하루 자연가득 황성주 박사와 함께 만든 서리태 맷돌 두유,"검은콩두유/포장형태: 팩/특징: 국산콩, 전두유/
[영양정보] 1회 제공량 180ml당 열량: 65kcal/탄수화물: 10g/당류: 4g/단백질: 5g/지방: 0.5g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 85mg"
CJ ENM 오하루 자연가득 황성주 박사와 함께 만든 서리태 맷돌 두유 고칼슘,포장형태: 팩/180ml
CJ제일제당 얼티브 바리스타,포장형태: 팩/730ml
CJ제일제당 얼티브 오리지널,"식물성음료/포장형태: 팩/
[영양정보] 1회 제공량 190ml당 열량: 115kcal/탄수화물: 11g/당류: 5g/단백질: 6.7g/지방: 5g/포화지방: 2.3g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 140mg/칼슘: 229mg"
Lactasoy 락타소이 두유 오리지널,"두유/포장형태: 팩/
[영양정보] 1회 제공량 300ml당 열량: 218kcal/탄수화물: 24g/당류: 22g/단백질: 8g/지방: 10g/포화지방: 4g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 150mg"
TRENSUMS 스프라우드 완두콩드링크 바리스타,"식물성음료/포장형태: 팩/특징: 칼슘함유/
[영양정보] 1회 제공량 100ml당 열량: 42kcal/탄수화물: 1.8g/당류: 1.8g/단백질: 2g/지방: 3g/포화지방: 0.3g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 80mg/칼슘: 120mg"
TRENSUMS 스프라우드 완두콩드링크 언스윗트,"식물성음료/포장형태: 팩/특징: 칼슘함유/
[영양정보] 1회 제공량 100ml당 열량: 25kcal/탄수화물: 0.3g/당류: 0g/단백질: 1.6g/지방: 2g/포화지방: 0.2g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 40mg/칼슘: 120mg"
TRENSUMS 스프라우드 완두콩드링크 오리지널,"식물성음료/포장형태: 팩/특징: 칼슘함유/
[영양정보] 1회 제공량 100ml당 열량: 34kcal/탄수화물: 2g/당류: 2g/단백질: 2g/지방: 2.1g/포화지방: 0.2g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 80mg"
TRENSUMS 스프라우드 완두콩드링크 초콜릿맛,"식물성음료/포장형태: 팩/특징: 칼슘함유/
[영양정보] 1회 제공량 100ml당 열량: 50kcal/탄수화물: 5.1g/당류: 4.9g/단백질: 1.8g/지방: 2.5g/포화지방: 0.3g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 40mg/칼슘: 120mg"
건국유업 건국 약콩두유국산 검은콩 흑태 과 국산 약콩,
건국유업 건국 약콩두유,
건국유업 건국대 맷돌방식 진한 국산콩 두유,포장형태: 파우치
건국유업 건국대학교 검은콩 두유입,포장형태: 팩
건국유업 건국대학교 검은콩 두유유산균함유,
건국유업 건국두유 검은콩 두유,
건국유업 고칼슘 유산균 두유,"두유/포장형태: 팩/특징: 칼슘함유/
[영양정보] 1회 제공량 190ml당 열량: 130kcal/탄수화물: 11g/당류: 7g/단백질: 6g/지방: 7g/포화지방: 1.3g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 200mg/칼슘: 240mg"
건국유업 국산콩 검은콩 유산균 두유,"검은콩두유/포장형태: 팩/특징: 칼슘함유/
[영양정보] 1회 제공량 190ml당 열량: 90kcal/탄수화물: 12g/당류: 4g/단백질: 4g/지방: 2.7g/포화지방: 0.4g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 130mg/칼슘: 100mg"
건국유업 무첨가 두유,"두유/포장형태: 팩/특징: 무첨가두유/
[영양정보] 1회 제공량 190ml당 열량: 80kcal/탄수화물: 5g/당류: 1g/단백질: 7g/지방: 3.7g/포화지방: 0.6g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 65mg"
건국유업 비타민 두유,포장형태: 팩/특징: 멸균우유
건국유업 약콩두유,"검은콩두유/포장형태: 파우치/특징: 국산콩, 전두유/
[영양정보] 1회 제공량 190ml당 열량: 55kcal/탄수화물: 4g/당류: 0.4g/단백질: 5g/지방: 1.9g/포화지방: 0g/트랜스지방: 0g/콜레스트롤: 0mg/나트륨: 85mg"
국민바이오 약콩두유,"두유/포장형태: 파우치/
[영양정보] 1회 제공량 180ml당 열량: 65kcal"
길림양행 블루다이아몬드 아몬드브리즈 언스위트,
길림양행 블루다이아몬드 아몬드브리지 식이섬유,
남양 2017 맛있는 두유 GT 검은콩+17곡,포장형태: 팩/190ml
"남양 2017 맛있는 두유 GT 검은콩,깨 칼슘","포장형태: 팩/당류: 8.5g/특징: 멸균우유/
[영양정보]"
남양 GT두유 검은콩두유팩두유 맛있는두유gt 두유,
남양 남양 맛있는두유 GT 검은콩_입 / 겨울엔 병두유 온장고 두유,
남양 맛있는 두유 GT 검은콩 깨 칼슘,"검은콩두유/포장형태: 팩/
[영양정보]"
남양 맛있는 두유 GT 검은콩 호두와 아몬드,포장형태: 페트
남양 맛있는 두유 GT 담백한맛 1/2 칼로리,"포장형태: 팩/당류: 1g/
[영양정보]"
남양 맛있는 두유 GT 담백한맛,포장형태: 팩
남양 맛있는두유GT 검은콩GT두유 병두유 검은콩두유 두유,
남양 불가리스 위쎈,"마시는 요구르트/포장형태: 페트, 팩/
[영양정보]"
남양 불가리스 자연의 시작 딸기,마시는 요구르트/포장형태: 페트
남양 불가리스 자연의 시작 포도,마시는 요구르트/포장형태: 페트
남양 생크림 요거트,포장형태: 페트
남양 아몬드데이 초코,포장형태: 팩/190ml
남양 오늘출발 아몬드데이 오리지널,
남양 이너케어 위 프로텍트,"마시는 요구르트/포장형태: 페트/
[영양정보]"
남양 이오,마시는 요구르트/포장형태: 페트
남양 이오 베이비,"포장형태: 페트/당류: 4g/
[영양정보]"
남양 포스트바이오틱스 이너케어 간 프로텍트,"마시는 요구르트/포장형태: 페트/
[영양정보]"
남양유업 맛있는 두유 GT 호두 아몬드,"혼합두유/포장형태: 팩/
[영양정보] 1회 제공량 190ml당 열량: 120kcal"
남양유업 맛있는두유 GT 검은콩깨 칼슘,"검은콩혼합두유/포장형태: 팩/특징: 칼슘함유/
[영양정보] 1회 제공량 190ml당 열량: 125kcal/탄수화물: 13g/당류: 10g/단백질: 5g/지방: 6g/포화지방: 1.4g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 180mg/칼슘: 200mg"
남양유업 맛있는두유 GT 고소한 검은콩깨,"검은콩혼합두유/포장형태: 병/
[영양정보] 1회 제공량 200ml당 열량: 130kcal/탄수화물: 14g/당류: 11g/단백질: 5g/지방: 6g/포화지방: 1.4g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 200mg"
남양유업 맛있는두유 GT 달콤한맛,"두유/포장형태: 팩/
[영양정보] 1회 제공량 190ml당 열량: 130kcal/탄수화물: 13g/당류: 10g/단백질: 6g/지방: 6g/포화지방: 1.4g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 180mg"
남양유업 맛있는두유 GT 담백한맛,"두유/포장형태: 팩/
[영양정보] 1회 제공량 190ml당 열량: 120kcal/탄수화물: 11g/당류: 8g/단백질: 6g/지방: 6g/포화지방: 1.4g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 180mg"
남양유업 맛있는두유 GT 설탕무첨가 고단백,"두유/포장형태: 팩/
[영양정보] 1회 제공량 190ml당 열량: 90kcal"
남양유업 아몬드데이 언스위트,"아몬드음료/포장형태: 팩/특징: 칼슘함유/
[영양정보] 1회 제공량 190ml당 열량: 35kcal/탄수화물: 1g/당류: 0g/단백질: 1.1g/지방: 2.9g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 120mg/칼슘: 230g/비타민E: 10mg a-TE"
남양유업 아몬드데이 오리지널,"아몬드음료/포장형태: 팩/특징: 칼슘함유/
[영양정보] 1회 제공량 190ml당 열량: 50kcal/탄수화물: 5.4g/당류: 5.3g/단백질: 1.1g/지방: 2.9g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 130mg/칼슘: 230mg/비타민E: 10mg a-TE"
남양유업 아몬드데이 초코,"아몬드음료/포장형태: 팩/
[영양정보] 1회 제공량 190ml당 열량: 95kcal"
남양유업 오테이스티,"오트음료/포장형태: 팩/특징: 칼슘함유/
[영양정보] 1회 제공량 100ml당 열량: 60kcal"
남양유업 진콩두유,"두유/포장형태: 팩/
[영양정보] 1회 제공량 190ml당 열량: 130kcal/탄수화물: 11g/당류: 6g/단백질: 6g/지방: 7g/포화지방: 1.7g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 190mg"
네오팜 뉴 상쾌한변화 요구르트,
논산딸기랜드 건국 약콩두유,포장형태: 파우치/190ml
논산딸기랜드 곡물도감 국산 무가당 서리태 콩물두유,검은콩두유/포장형태: 파우치
논산딸기랜드 아름뜰 국산 검은콩 21곡 두유총,
논산딸기랜드 아름뜰 국산 검은콩 귀리 무가당 두유총,포장형태: 파우치
논산딸기랜드 아름뜰 국산검은콩 15곡 두유총,
논산딸기랜드 아름뜰 맷돌 방식으로 만든 검은콩 21곡 두유,
논산딸기랜드 아름뜰 맷돌로 갈아 만든 검은콩 검정깨 두유,검은콩두유/식물성음료
논산딸기랜드 아름뜰 맷돌로 갈아 만든 국산 검은콩 15곡 두유,"검은콩혼합두유/포장형태: 파우치/특징: 국산콩, 전두유/
[영양정보] 1회 제공량 180ml당 열량: 85kcal/탄수화물: 15g/당류: 7g/단백질: 4g/지방: 0.5g/포화지방: 0g/트랜스지방: 0g/콜레스트롤: 0mg/나트륨: 105mg"
