Name,Spec,ImageURL
고려은단 비타민C 1000,"[주요성분] 비타민C/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 720정/섭취기간: 24개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/GMP/기능성: 영양보충, 항산화/
[기능성분] 비타민C: 1,000mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\비타민_미네랄\고려은단 비타민C 1000.jpg
종근당건강 비타민C,"[주요성분] 비타민C/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 600정/섭취기간: 20개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 영양보충, 항산화/
[기능성분] 비타민C: 1,000mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\비타민_미네랄\종근당건강 비타민C.jpg
종근당건강 아임비타 이뮨샷,"[주요성분] 멀티비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1병/총량: 30병/섭취기간: 1개월/형태: 캡슐,정+음료(액상)/
[인증] 건강기능식품/기능성: 영양보충/
[기능성분] 비타민B1: 48mg/비타민B2: 56mg/비타민B6: 60mg/비타민B12: 96㎍/판토텐산:25mg/비오틴: 1,200㎍/비타민C: 100mg/베타카로틴:6mg/비타민D: 10㎍/비타민E: 11mgα-TE/비타민K: 60㎍/아연: 17mg/셀렌: 55㎍/망간: 3mg/몰리브덴: 25㎍/요오드: 150㎍/구리: 0.8mg/크롬: 30㎍",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\비타민_미네랄\종근당건강 아임비타 이뮨샷.jpg
고려은단 메가도스C 3000,"[주요성분] 비타민C/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 60포/섭취기간: 2개월/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 영양보충, 항산화/
[기능성분] 비타민C: 3,000mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\비타민_미네랄\고려은단 메가도스C 3000.jpg
오쏘몰 이뮨 멀티비타민 앤 미네랄,"[주요성분] 멀티비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1병/총량: 7병/섭취기간: 1주/형태: 캡슐,정+음료(액상)/
[인증] 건강기능식품/기능성: 영양보충/
[기능성분] 비타민C: 1000mg/비타민E: 150mgα-TE/베타카로틴: 6mg/나이아신: 70mgNE/비타민B6: 23mg/아연: 10mg/비오틴: 170㎍/비타민A: 470㎍RE/비타민K: 80㎍/판토텐산: 7mg/엽산: 800㎍g (쇼핑몰 상세정보 확인)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\비타민_미네랄\오쏘몰 이뮨 멀티비타민 앤 미네랄.jpg
코스트코 커클랜드 비타민C,"[주요성분] 비타민C/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 500정/섭취기간: 500일/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 영양보충, 항산화/
[기능성분] 비타민C: 1,000mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\비타민_미네랄\코스트코 커클랜드 비타민C.jpg
종근당건강 칼슘 앤 마그네슘 비타민D 아연,"[주요성분] 칼마디/아연/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/총량: 180정/섭취기간: 3개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 골다공증발생 위험 감소, 뼈 건강/
[기능성분] 칼슘: 300mg/마그네슘: 150mg/아연: 8.5mg/비타민D: 5㎍",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\비타민_미네랄\종근당건강 칼슘 앤 마그네슘 비타민D 아연.jpg
피엠인터내셔널 피트라인 PM 주스 3종 세트,"[주요성분] 멀티비타민/
[섭취정보] 섭취대상: 성인남녀/형태: 분말/특징: 선물세트/구성: 파워칵테일 30포+리스토레이트 30포 + 액티바이즈 175g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\비타민_미네랄\피엠인터내셔널 피트라인 PM 주스 3종 세트.jpg
고려은단 멀티비타민 올인원,"[주요성분] 종합비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 30정/섭취기간: 30일/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 영양보충/
[기능성분] 비타민A: 350μgRE/비타민D: 10μg(400IU)/비타민E: 5.5mgα-TE/비타민K: 70μg/비타민B1: 3mg/비타민B2: 3.5mg/나이아신: 22.5mgNE/판토텐산: 10mg/비타민B6: 1.5mg/엽산: 520μg/비타민B12: 9.6μg/비오틴: 30μg/비타민C: 100mg (쇼핑몰 상세정보 확인)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\비타민_미네랄\고려은단 멀티비타민 올인원.jpg
네이쳐스웨이 얼라이브 원스데일리 멀티비타민,"[주요성분] 종합비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 100정/섭취기간: 100일/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 영양보충/
[기능성분] 비타민A: 555㎍RE/비타민B1: 40mg/비타민B2: 35mg/비타민B6: 50mg/비타민B12: 175㎍/비타민C: 250mg/비타민D: 10㎍/비타민E: 25mgα-TE/비타민K: 70㎍/칼슘: 100mg/마그네슘: 75mg/나이아신: 50mgNE/판토텐산: 40mg/비오틴: 150㎍/엽산: 400㎍/구리: 2mg...(쇼핑몰 상세정보 확인)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\비타민_미네랄\네이쳐스웨이 얼라이브 원스데일리 멀티비타민.jpg
