Name,Spec,ImageURL
다인 아이스 경주빵,빵/빵류/특징: 사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\다인 아이스 경주빵.jpg
SPC삼립 천연 효모로 만든 로만밀 통밀식빵,빵/식빵/특징: 통밀빵,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 천연 효모로 만든 로만밀 통밀식빵.jpg
SPC삼립 발효미종 상온호빵 단팥,빵/찐빵,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 발효미종 상온호빵 단팥.jpg
오뚜기 꼬리까지 가득 찬 팥붕어빵,빵/붕어빵,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\오뚜기 꼬리까지 가득 찬 팥붕어빵.jpg
SPC삼립 오븐에 구운 도넛,빵/도넛/특징: 사무실간식(소포장)/1회 제공량 40g당 열량: 175kcal/나트륨: 100mg/탄수화물: 26g/당류: 11g/지방: 7g/트랜스지방: 0g/포화지방: 3.4g/콜레스테롤: 37mg/단백질: 2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 오븐에 구운 도넛.jpg
미미스상회 쫀득쫀득 왕찹쌀떡,떡/찹쌀떡,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\미미스상회 쫀득쫀득 왕찹쌀떡.jpg
SPC삼립 토종 효모로 만든 통밀식빵,"755g/알레르기성분: 대두, 밀/
[영양정보] 표시기준분량: 100g/열량: 257kcal/탄수화물: 47g/당류: 6g/단백질: 6g/지방: 5g/포화지방: 1.8g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 510mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 토종 효모로 만든 통밀식빵.jpg
SPC삼립 주종발효 단팥크림빵,빵/크림빵/1회 제공량 115g당 열량: 380kcal/나트륨: 240mg/탄수화물: 56g/당류: 23g/지방: 15g/트랜스지방: 0.6g/포화지방: 8g/콜레스테롤: 10mg/단백질: 5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 주종발효 단팥크림빵.jpg
대두식품 감자빵,빵류,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\대두식품 감자빵.jpg
SPC삼립 호밀 빅 식빵,빵/식빵,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 호밀 빅 식빵.jpg
신세계푸드 버터 크로와상 생지입,빵/크로와상/특징: 생지,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\신세계푸드 버터 크로와상 생지입.jpg
SPC삼립 정통밤만쥬,화과자/특징: 사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 정통밤만쥬.jpg
SPC삼립 x허쉬초코 진한 초코 미니 마들렌4봉 총/개별포장,빵,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 x허쉬초코 진한 초코 미니 마들렌4봉 총_개별포장.jpg
SPC삼립 56시간 저온숙성 탕종 숙식빵,"빵/식빵/420g/알레르기성분: 대두, 땅콩, 밀, 우유/표시기준분량: 100g/열량: 278kcal/탄수화물: 48g/당류: 6g/단백질: 8g/지방: 6g/포화지방: 2.7g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 430mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 56시간 저온숙성 탕종 숙식빵.jpg
쿠팡 곰곰 우유식빵,빵/식빵,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\쿠팡 곰곰 우유식빵.jpg
SPC삼립 뉴욕샌드위치 식빵,빵/식빵,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 뉴욕샌드위치 식빵.jpg
태양이엔에스 델포유 오븐에 구운 십센치 파운드 케이크 아몬드,케이크,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\태양이엔에스 델포유 오븐에 구운 십센치 파운드 케이크 아몬드.jpg
정일품 실속 과즐대용량센터,과자/초콜릿/디저트/한과/떡/한과/만주,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\정일품 실속 과즐대용량센터.jpg
SPC삼립 미니꿀약과,과자/초콜릿/디저트/한과/떡/한과/만주,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 미니꿀약과.jpg
미미스상회 쑥떡 3종세트,떡,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\미미스상회 쑥떡 3종세트.jpg
미주라 통밀 도넛츠,빵/도넛/특징: 통밀빵,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\미주라 통밀 도넛츠.jpg
SPC삼립 삼립호빵 발효미종 정통단팥,"빵/찐빵/380g/4개입/저지방/개봉후 냉동보관/
[영양정보] 표시기준분량: 95g/열량: 248kcal/탄수화물: 49g/당류: 21g/단백질: 7g/지방: 2.7g/포화지방: 1.0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 180mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 삼립호빵 발효미종 정통단팥.jpg
SPC삼립 냉동생지 생크러스트 피자도우,"빵/빵류/특징: 베이킹 재료, 생지",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 냉동생지 생크러스트 피자도우.jpg
SPC삼립 삼립호빵 발효미종 생생야채,"빵/찐빵/360g/4개입/
[영양정보] 표시기준분량: 90g/열량: 197kcal/탄수화물: 32g/당류: 6g/단백질: 7g/지방: 4.6g/포화지방: 1.9g/트랜스지방: 0g/콜레스테롤: 5mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 삼립호빵 발효미종 생생야채.jpg
서울식품공업 냉동 유러피안 버터크로와상입,"빵/크로와상/특징: 베이킹 재료, 생지",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\서울식품공업 냉동 유러피안 버터크로와상입.jpg
쿠팡 곰곰 달달 꿀호떡,"떡/호떡/700g/알레르기성분: 대두, 견과류, 우유",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\쿠팡 곰곰 달달 꿀호떡.jpg
코스트코 커클랜드 블루베리 베이글입,빵/베이글,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\코스트코 커클랜드 블루베리 베이글입.jpg
호정식품 호정가 찹쌀약과세트,한과/약과/특징: 사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\호정식품 호정가 찹쌀약과세트.jpg
SPC삼립 오븐에 구운 버터 휘낭시에입,빵/구움과자,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 오븐에 구운 버터 휘낭시에입.jpg
쿠팡 곰곰 쌀 떡볶이떡,떡볶이떡/1kg,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\쿠팡 곰곰 쌀 떡볶이떡.jpg
안흥식품 할매 안흥 쌀찐빵 3종 세트,빵/찐빵/구성: 쌀찐빵 10개입 500g + 쌀찐빵 단호박 10개입 500g + 쌀찐빵 흑미 10개입 500g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\안흥식품 할매 안흥 쌀찐빵 3종 세트.jpg
SPC삼립 얌 크림단팥빵,"빵/크림빵/1092g/알레르기성분: 대두, 밀, 우유/실온보관/표시기준분량: 91g/열량: 312kcal/탄수화물: 46g/당류: 19g/단백질: 5g/지방: 12g/포화지방: 6g/트랜스지방: 0g/콜레스테롤: 1mg/나트륨: 210mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 얌 크림단팥빵.jpg
신세계푸드 밀크앤허니 호두파이 대,빵/파이/특징: 선물용,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\신세계푸드 밀크앤허니 호두파이 대.jpg
다인 명가 다인 호두과자입,빵/빵류/특징: 사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\다인 명가 다인 호두과자입.jpg
정다운식품 옛날과자 고급종합전병,한과,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\정다운식품 옛날과자 고급종합전병.jpg
SPC삼립 초당 옥수수 크림빵,빵/크림빵,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\SPC삼립 초당 옥수수 크림빵.jpg
안흥찐빵 단호박 안흥찐빵,"호빵,호떡",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\안흥찐빵 단호박 안흥찐빵.jpg
신라명과 호밀빵,빵/빵류,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\신라명과 호밀빵.jpg
칠갑농산 칠갑 우리쌀 떡국,떡/떡국떡,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\칠갑농산 칠갑 우리쌀 떡국.jpg
창억떡집 호박인절미,떡/인절미,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\창억떡집 호박인절미.jpg
아리울떡공방 아리울 떡 굳지않는 쑥 앙금절편,떡,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\아리울떡공방 아리울 떡 굳지않는 쑥 앙금절편.jpg
몬델리즈 필라델피아 치즈케익 플레인,빵/케이크,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\빵_떡_한과\몬델리즈 필라델피아 치즈케익 플레인.jpg
