Name,Spec,ImageURL
오리온 초코파이입,"파이/사무실간식(소포장)/
[영양정보] 표시기준량 420g당 열량: 150kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\오리온 초코파이입.jpg
페레로 페레로로쉐 T,초콜릿/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\페레로 페레로로쉐 T.jpg
하리보 골드베렌,젤리/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\하리보 골드베렌.jpg
롯데웰푸드 몽쉘 카카오 생크림케이크입,"파이/사무실간식(소포장)/
[영양정보] 1회 제공량 32g당 열량: 170kcal/나트륨 : 85mg/탄수화물: 15g/당류: 9g/지방: 11g/트랜스지방: 0.2g/포화지방: 7g/콜레스테롤: 10mg/단백질 : 2.2g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\롯데웰푸드 몽쉘 카카오 생크림케이크입.jpg
개미식품 구워만든 곡물 그대로,"스낵/사무실간식(소포장)/
[영양정보] 표시기준량 100g당 열량: 605kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\개미식품 구워만든 곡물 그대로.jpg
트레핀 벨기안 커피맛 스위트 캔디,사탕/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\트레핀 벨기안 커피맛 스위트 캔디.jpg
농심 웰치스 믹스 후르츠 젤리입,젤리/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\농심 웰치스 믹스 후르츠 젤리입.jpg
해태제과 오예스입,파이/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\해태제과 오예스입.jpg
배스킨라빈스 쫀떡궁합 파이,파이/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\배스킨라빈스 쫀떡궁합 파이.jpg
크라운제과 참크래커입,"비스킷,크래커/사무실간식(소포장)/
[영양정보] 표시기준량 100g당 열량: 450kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\크라운제과 참크래커입.jpg
하리보 스타믹스,젤리/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\하리보 스타믹스.jpg
해태제과 에이스입,"비스킷,크래커/사무실간식(소포장)/
[영양정보] 표시기준량 24g당 열량: 130kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\해태제과 에이스입.jpg
어거스트스톡 웨더스 오리지널 크림 캔디,사탕/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\어거스트스톡 웨더스 오리지널 크림 캔디.jpg
롯데웰푸드 마가렛트입,"쿠키/사무실간식(소포장)/
[영양정보] 표시기준량 22g당 열량: 121kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\롯데웰푸드 마가렛트입.jpg
오리온 카스타드입,파이/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\오리온 카스타드입.jpg
크리스피 허니눈꽃 쌀과자,쌀과자/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\크리스피 허니눈꽃 쌀과자.jpg
롯데웰푸드 몽쉘 오리지널 생크림케이크입,"파이/사무실간식(소포장)/
[영양정보] 1회 제공량 32g당 열량: 170kcal/나트륨 : 45mg/탄수화물: 15g/당류: 8g/지방: 11g/트랜스지방: 0.2g/포화지방: 7g/콜레스테롤: 10mg/단백질 : 2.2g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\롯데웰푸드 몽쉘 오리지널 생크림케이크입.jpg
진주햄 천하장사 오리지날입,소시지(간식용)/사무실간식(소포장)/표시기준량: 84g/열량: 113kcal,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\진주햄 천하장사 오리지날입.jpg
CJ제일제당 맥스봉 치즈입,소시지(간식용)/사무실간식(소포장)/표시기준량: 55g/열량: 100kcal,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\CJ제일제당 맥스봉 치즈입.jpg
오리온 비쵸비입,샌드/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\오리온 비쵸비입.jpg
타야스 오리엔트 트러플 초콜릿,초콜릿/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\타야스 오리엔트 트러플 초콜릿.jpg
게메즈 에낙입,스낵/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\게메즈 에낙입.jpg
농심 후르츠텔라 요구르트향,카라멜/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\농심 후르츠텔라 요구르트향.jpg
롯데웰푸드 빈츠입,"비스킷,크래커/사무실간식(소포장)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\롯데웰푸드 빈츠입.jpg
오리온 초코파이 바나나입,"파이/사무실간식(소포장)/
[영양정보] 1회 제공량 37g당 열량: 172kcal/나트륨: 65mg/탄수화물: 23g/당류: 13g/지방: 8g/트랜스지방: 0g/포화지방: 5g/콜레스테롤: 8mg/단백질: 2g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\오리온 초코파이 바나나입.jpg
퍼페티반멜레 츄파춥스 슬림휠입,사탕/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\퍼페티반멜레 츄파춥스 슬림휠입.jpg
오리온 마리 비스킷입,"비스킷,크래커/사무실간식(소포장)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\오리온 마리 비스킷입.jpg
오리온 촉촉한 초코칩입,"쿠키/사무실간식(소포장)/
[영양정보] 1회 제공량 320g당 열량: 1832kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\오리온 촉촉한 초코칩입.jpg
크라운제과 쵸코하임입,"비스킷,크래커/사무실간식(소포장)/
[영양정보] 표시기준량 32g당 열량: 170kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\크라운제과 쵸코하임입.jpg
크라운제과 참쌀 선과,쌀과자/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\크라운제과 참쌀 선과.jpg
청우식품 델로스 카푸치노입,"비스킷,크래커/사무실간식(소포장)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\청우식품 델로스 카푸치노입.jpg
타야스 투바나 초콜릿,초콜릿/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\타야스 투바나 초콜릿.jpg
크라운제과 빅파이 딸기입,"파이/딸기맛/사무실간식(소포장)/
[영양정보] 표시기준량 100g당 열량: 470kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\크라운제과 빅파이 딸기입.jpg
크라운제과 국희 땅콩샌드입,샌드/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\크라운제과 국희 땅콩샌드입.jpg
미룡 달콤한 쌀과자,쌀과자/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\미룡 달콤한 쌀과자.jpg
크라운제과 버터와플입,"비스킷,크래커/사무실간식(소포장)/
[영양정보] 표시기준량 26g당 열량: 125kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\크라운제과 버터와플입.jpg
크라운제과 쿠크다스 비엔나커피입,샌드/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\크라운제과 쿠크다스 비엔나커피입.jpg
엉클팝 길쭉이 보리과자입,"스낵/사무실간식(소포장)/
[영양정보] 표시기준량 100g당 열량: 486kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\엉클팝 길쭉이 보리과자입.jpg
우리씨앤디 미왕 고소한 쌀과자,"쌀과자/사무실간식(소포장)/
[영양정보] 표시기준량 30g당 열량: 140kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\우리씨앤디 미왕 고소한 쌀과자.jpg
로투스 비스코프입,"비스킷,크래커/사무실간식(소포장)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\로투스 비스코프입.jpg
롯데웰푸드 제로 카카오 케이크입,파이/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\롯데웰푸드 제로 카카오 케이크입.jpg
청우식품 쫀득 초코칩입,쿠키/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\청우식품 쫀득 초코칩입.jpg
해태제과 오예스 쿠키앤크림입,파이/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\해태제과 오예스 쿠키앤크림입.jpg
우리가스토리 디저트 종합캔디,사탕/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\우리가스토리 디저트 종합캔디.jpg
몬델리즈 오레오 화이트크림입,샌드/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\몬델리즈 오레오 화이트크림입.jpg
롯데웰푸드 제크 오리지널입,"비스킷,크래커/사무실간식(소포장)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\롯데웰푸드 제크 오리지널입.jpg
오리온 후레쉬베리 멜론입,파이/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\오리온 후레쉬베리 멜론입.jpg
타타와 사과잼 쿠키입,"쿠키/사무실간식(소포장)/
[영양정보] 표시기준량 10g당 열량: 43.3kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\타타와 사과잼 쿠키입.jpg
크라운제과 화이트하임입,"비스킷,크래커/사무실간식(소포장)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\크라운제과 화이트하임입.jpg
부샤드 다크 72% 초콜릿,초콜릿/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\부샤드 다크 72% 초콜릿.jpg
해태제과 아이비 모어 딥 치즈,"비스킷,크래커/사무실간식(소포장)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\해태제과 아이비 모어 딥 치즈.jpg
국제제과 멜랜드 디저트 캔디 종합,사탕/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\국제제과 멜랜드 디저트 캔디 종합.jpg
코코아랜드 LOT100 구미망고젤리,젤리/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\코코아랜드 LOT100 구미망고젤리.jpg
오리온 참붕어빵입,"파이/사무실간식(소포장)/
[영양정보] 표시기준량 58g당 열량: 247kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\오리온 참붕어빵입.jpg
동아제약 박카스맛 젤리,젤리/사무실간식(소포장)/910g (26g x 35개입),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\동아제약 박카스맛 젤리.jpg
크라운제과 뽀또 치즈타르트입,"샌드/사무실간식(소포장)/
[영양정보] 100g당 열량: 494kcal/탄수화물: 66g/당류: 20g/단백질: 8g/지방: 22g/포화지방: 14g/트랜스지방: 14g/콜레스테롤: 15mg/나트륨: 510mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\크라운제과 뽀또 치즈타르트입.jpg
크리스피롤 22곡,스낵/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\크리스피롤 22곡.jpg
이마트 피코크 초콜릿 샌드위치 비스킷입,"비스킷,크래커/사무실간식(소포장)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\이마트 피코크 초콜릿 샌드위치 비스킷입.jpg
퍼페티반멜레 츄파춥스 오리지널 팝아트틴입,사탕/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\퍼페티반멜레 츄파춥스 오리지널 팝아트틴입.jpg
크라운제과 참쌀 설병,쌀과자/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\크라운제과 참쌀 설병.jpg
해태제과 오예스 미니입,파이/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\해태제과 오예스 미니입.jpg
롯데웰푸드 빠다코코낫입,"비스킷,크래커/사무실간식(소포장)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\롯데웰푸드 빠다코코낫입.jpg
해태제과 에이스 뉴욕치즈케이크맛입,"샌드/사무실간식(소포장)/
[영양정보] 표시기준량 100g당 열량: 530kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\해태제과 에이스 뉴욕치즈케이크맛입.jpg
롯데웰푸드 칙촉 오리지널입,"쿠키/사무실간식(소포장)/
[영양정보] 1회 제공량 180g당 열량: 300kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\롯데웰푸드 칙촉 오리지널입.jpg
해태제과 에이스 바스크 치즈케이크맛입,"비스킷,크래커/사무실간식(소포장)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\해태제과 에이스 바스크 치즈케이크맛입.jpg
KERVANGIDA 베베토 베어,젤리/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\KERVANGIDA 베베토 베어.jpg
오리온 예감 오리지널맛입,"감자칩/사무실간식(소포장)/
[영양정보] 1회 제공량 16g당 열량: 76kcal/나트륨: 100mg/탄수화물: 10g/당류: 2g/지방: 4g/트랜스지방: 0.1g/포화지방: 2g/콜레스테롤: 0mg/단백질: 1g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\오리온 예감 오리지널맛입.jpg
롯데웰푸드 제로 쿠앤크샌드입,샌드/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\롯데웰푸드 제로 쿠앤크샌드입.jpg
롯데웰푸드 엄마손파이입,파이/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\롯데웰푸드 엄마손파이입.jpg
아모레퍼시픽 오설록 그린티 랑드샤입,"쿠키/사무실간식(소포장)/
[영양정보] 1회 제공량 100g당 열량: 565kcal/나트륨 : 60mg/탄수화물: 54g/당류: 14g/지방: 35g/트랜스지방: 0g/포화지방: 12g/콜레스테롤: 20mg/단백질 : 9g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\아모레퍼시픽 오설록 그린티 랑드샤입.jpg
오리온 닥터유 다이제 씬입,"비스킷,크래커/사무실간식(소포장)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\오리온 닥터유 다이제 씬입.jpg
오리온 초코파이 수박입,파이/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\오리온 초코파이 수박입.jpg
오리온 예감 볶은양파맛입,"감자칩/사무실간식(소포장)/
[영양정보] 1회 제공량 17g당 열량: 87kcal/나트륨: 100mg/탄수화물: 11g/당류: 2g/지방: 4.3g/트랜스지방: 0.1g/포화지방: 1.9g/콜레스테롤: 0mg/단백질: 1g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\오리온 예감 볶은양파맛입.jpg
롯데웰푸드 제로 초콜릿칩 쿠키입,쿠키/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\롯데웰푸드 제로 초콜릿칩 쿠키입.jpg
엉클팝 동글이 보리과자입,"스낵/사무실간식(소포장)/
[영양정보] 표시기준량 100g당 열량: 486kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\엉클팝 동글이 보리과자입.jpg
오리온 후레쉬베리 복숭아입,파이/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\오리온 후레쉬베리 복숭아입.jpg
퍼페티반멜레 츄파춥스 리필팩입,사탕/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\퍼페티반멜레 츄파춥스 리필팩입.jpg
마즈트윅스 미니스,초코바/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\마즈트윅스 미니스.jpg
오리온 후레쉬베리 딸기바나나입,파이/딸기맛/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\오리온 후레쉬베리 딸기바나나입.jpg
하리보 할로윈 파티,젤리/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\하리보 할로윈 파티.jpg
칼티 버터쿠키입,쿠키/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\칼티 버터쿠키입.jpg
롯데웰푸드 마가렛트 구운모카입,쿠키/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\롯데웰푸드 마가렛트 구운모카입.jpg
롯데웰푸드 카스타드입,"파이/사무실간식(소포장)/
[영양정보] 표시기준량 138g당 열량: 630kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\사무실용 간식\롯데웰푸드 카스타드입.jpg
