Name,Spec,ImageURL
스파클 생수 무라벨,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충청남도 천안시 동남구,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\스파클 생수 무라벨.jpg
광동제약 제주 삼다수,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 제주시 조천읍,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\광동제약 제주 삼다수.jpg
광동제약 제주 삼다수 그린,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 제주시 조천읍,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\광동제약 제주 삼다수 그린.jpg
스파클 생수,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충남 천안시,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\스파클 생수.jpg
쿠팡 탐사 탐사수 무라벨,"국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 세종특별자치시 전의면, 경기도 가평군, 경기도 포천시",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\쿠팡 탐사 탐사수 무라벨.jpg
동원F&B 동원샘물 무라벨,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/수원지: 충북 괴산군 불정면 하산로 1길,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\동원F&B 동원샘물 무라벨.jpg
농심 백두산 백산수,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 백두산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\농심 백두산 백산수.jpg
해태htb 강원 평창수 무라벨,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/수원지: 강원도 평창군 봉평면 진조리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\해태htb 강원 평창수 무라벨.jpg
농심 백산수 무라벨,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/수원지: 중국 길림성 안도현 이도진 내두천(백두산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\농심 백산수 무라벨.jpg
동원F&B 동원샘물,국내생수/식품유형: 먹는샘물/유라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 경기도 남양주시,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\동원F&B 동원샘물.jpg
롯데칠성음료 아이시스 8.0 ECO,국내생수/식품유형: 먹는샘물/무라벨/포장형태: 페트/원수원: 암반대수층지하수/수원지: 충북 청원군,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\생수\롯데칠성음료 아이시스 8.0 ECO.jpg
