Name,Spec,ImageURL
동서식품 그래놀라,"그래놀라 시리얼/대용량(벌크형)/
[영양정보] 표시기준량 1kg당 열량: 4,267kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시리얼\동서식품 그래놀라.jpg
켈로그 콘푸로스트,"일반 시리얼/대용량(벌크형)/
[영양정보] 1회 제공량 30g당 열량: 116kcal/탄수화물: 26.7g/당류: 9.5g/단백질: 1.5g/지방: 0.4g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 135mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시리얼\켈로그 콘푸로스트.jpg
두보식품 헤이오트 바로먹는 퀵 오트밀,오트밀 시리얼/2kg/귀리 100%/실온보관/원산지: 캐나다,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시리얼\두보식품 헤이오트 바로먹는 퀵 오트밀.jpg
동서식품 포스트 그래놀라 크랜베리 아몬드 파우치,"그래놀라 시리얼/
[영양정보] 1회 제공량 30g당 열량: 126kcal/탄수화물: 23.7g/당류: 6.3g/단백질: 1.8g/지방: 2.7g/포화지방: 1.1g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 117mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시리얼\동서식품 포스트 그래놀라 크랜베리 아몬드 파우치.jpg
동서식품 포스트 콘푸라이트,"일반 시리얼/대용량(벌크형)/
[영양정보] 1회 제공량 30g당 열량: 115kcal/탄수화물: 26g/당류: 11g/단백질: 1g/지방: 0.5g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 171mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시리얼\동서식품 포스트 콘푸라이트.jpg
켈로그 오곡으로 만든 첵스초코,"일반 시리얼/대용량(벌크형)/
[영양정보] 1회 제공량 30g당 열량: 118kcal/탄수화물: 25.5g/당류: 9g/단백질: 1.5g/지방: 1.1g/포화지방: 0.5g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 135mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시리얼\켈로그 오곡으로 만든 첵스초코.jpg
동서식품 포스트 콘푸라이트 1/3 라이트 슈거,"일반 시리얼/
[영양정보] 1회 제공량 30g당 열량: 115kcal/탄수화물: 26g/당류: 6.9g/단백질: 1.3g/지방: 0.6g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 189mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시리얼\동서식품 포스트 콘푸라이트 1_3 라이트 슈거.jpg
새니테리엄 위트빅스 오리지널 통밀 시리얼,일반 시리얼/대용량(벌크형),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시리얼\새니테리엄 위트빅스 오리지널 통밀 시리얼.jpg
동서식품 포스트 고소한 아몬드 후레이크,"일반 시리얼/대용량(벌크형)/
[영양정보] 1회 제공량 30g당 열량: 130kcal/탄수화물: 23g/당류: 8g/단백질: 2g/지방: 3.1g/포화지방: 1g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 120mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시리얼\동서식품 포스트 고소한 아몬드 후레이크.jpg
동서식품 포스트 오레오 오즈,"일반 시리얼/250g/알레르기성분: 대두, 밀, 우유, 돼지고기/쿠키분말6.9%/
[영양정보] 표시기준분량: 30g/열량: 120kcal/탄수화물: 26g/당류: 12g/단백질: 1g/지방: 1.5g/포화지방: 1.1g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 120mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\시리얼\동서식품 포스트 오레오 오즈.jpg
