Name,Spec,ImageURL
담터 쌍화차 플러스,쌍화차/스틱형/총량: 100T/원산지: 국내산/1T당: 15.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\쌍화_생강_전통차\담터 쌍화차 플러스.jpg
꽃샘식품 꿀생강차S,생강차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\쌍화_생강_전통차\꽃샘식품 꿀생강차S.jpg
담터 생강차 플러스,생강차/스틱형/총량: 100T/원산지: 외국산/1T당: 15g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\쌍화_생강_전통차\담터 생강차 플러스.jpg
동일미래에프엔씨 콘후레이크 천마차,천마차/스틱형/총량: 120T/원산지: 국내산/1T당: 18g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\쌍화_생강_전통차\동일미래에프엔씨 콘후레이크 천마차.jpg
하이퍼플로우 한보감 흑도라지 발효청,도라지차/액상,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\쌍화_생강_전통차\하이퍼플로우 한보감 흑도라지 발효청.jpg
담터 구수한 우엉차,우엉차/티백형/총량: 100T/원산지: 국내산/1T당: 1g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\쌍화_생강_전통차\담터 구수한 우엉차.jpg
담터 꿀생강차A,생강차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\쌍화_생강_전통차\담터 꿀생강차A.jpg
담터 한차,한방차/스틱형/총량: 40T/원산지: 국내산/1T당: 15g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\쌍화_생강_전통차\담터 한차.jpg
동일미래에프엔씨 콘플레이크 천마차,천마차/스틱형/총량: 50T/원산지: 국내산/1T당: 20g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\쌍화_생강_전통차\동일미래에프엔씨 콘플레이크 천마차.jpg
녹차원 국내산 우롱차,우롱차/티백형/총량: 250T/원산지: 국내산/1T당: 1.2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\쌍화_생강_전통차\녹차원 국내산 우롱차.jpg
담터 단호박 마차,마차/스틱형/총량: 50T/원산지: 국내산/1T당: 17g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\쌍화_생강_전통차\담터 단호박 마차.jpg
고려인삼제품공사 고향 콘푸레이크 천마차,천마차/스틱형/총량: 220T/1T당: 18g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\쌍화_생강_전통차\고려인삼제품공사 고향 콘푸레이크 천마차.jpg
김오곤 원장의 진한 쌍화차,쌍화차/스틱형/총량: 100T/1T당: 15g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\쌍화_생강_전통차\김오곤 원장의 진한 쌍화차.jpg
송원식품 우리차 콘푸레이크 천마차,천마차/스틱형/총량: 10T/원산지: 국내산/1T당: 20g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\쌍화_생강_전통차\송원식품 우리차 콘푸레이크 천마차.jpg
담터 꿀생강차,생강차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\쌍화_생강_전통차\담터 꿀생강차.jpg
담터 콘푸레이크 포테이토 마차,마차/스틱형/총량: 120T/원산지: 외국산/1T당: 22g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\쌍화_생강_전통차\담터 콘푸레이크 포테이토 마차.jpg
