Name,Spec,ImageURL
하겐다즈 파인트골라담기,"아이스크림/컵,파우치",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\하겐다즈 파인트골라담기.jpg
90종 아이스크림 바 골라담기,아이스크림,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\90종 아이스크림 바 골라담기.jpg
서울우유 서울 연유,"빙수/시럽,연유",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\서울우유 서울 연유.jpg
해태제과 바밤바 아이스샌드,아이스크림/샌드/특징: 한박스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\해태제과 바밤바 아이스샌드.jpg
동학식품 미니멜츠 구슬아이스크림 4가지맛,아이스크림/구슬/구성: 레인보우,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\동학식품 미니멜츠 구슬아이스크림 4가지맛.jpg
하이디 삼색 아이스크림,"아이스크림/컵,파우치/특징: 대용량(업소용)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\하이디 삼색 아이스크림.jpg
빙그레 더 엑설런트 오리지널,"아이스크림/컵,파우치",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\빙그레 더 엑설런트 오리지널.jpg
롯데웰푸드 월드콘 마다가스카르 바닐라,아이스크림/콘/특징: 한박스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\롯데웰푸드 월드콘 마다가스카르 바닐라.jpg
빙그레 투게더 바닐라,"아이스크림/컵,파우치",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\빙그레 투게더 바닐라.jpg
라벨리 쿠키앤크림 아이스크림,"아이스크림/컵,파우치",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\라벨리 쿠키앤크림 아이스크림.jpg
롯데웰푸드 조안나 바닐라,"아이스크림/컵,파우치/특징: 대용량(업소용)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\롯데웰푸드 조안나 바닐라.jpg
빙그레 빵또아,아이스크림/샌드/특징: 한박스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\빙그레 빵또아.jpg
동서 리치스 통단팥,빙수/팥,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\동서 리치스 통단팥.jpg
롯데웰푸드 씨없는 수박바 제로,아이스크림,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\롯데웰푸드 씨없는 수박바 제로.jpg
롯데푸드 구구 크러스터 초코,"아이스크림/컵,파우치",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\롯데푸드 구구 크러스터 초코.jpg
빙그레 G 붕어싸만코/빵또아 8종/아이스크림,샌드,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\빙그레 G 붕어싸만코_빵또아 8종_아이스크림.jpg
빙그레 엔초,아이스크림/바(막대),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\빙그레 엔초.jpg
롯데웰푸드 와 아이스크림,"아이스크림/컵,파우치/특징: 한박스",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\롯데웰푸드 와 아이스크림.jpg
롯데웰푸드 빵빠레 소프트샌드 쿠앤크,"아이스크림/샌드/180ml/알레르기성분: 대두, 밀, 계란, 우유/표시기준분량: 180ml/열량: 195kcal/탄수화물: 33g/당류: 20g/단백질: 3g/지방: 6.0g/포화지방: 3.6g/트랜스지방: 0g/콜레스테롤: 45mg/나트륨: 115mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\롯데웰푸드 빵빠레 소프트샌드 쿠앤크.jpg
빙그레 비비빅,아이스크림/바(막대)/특징: 한박스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\빙그레 비비빅.jpg
매일유업 상하목장 소프트믹스 OM10,아이스크림 믹스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\매일유업 상하목장 소프트믹스 OM10.jpg
롯데웰푸드 찰떡아이스 부여알밤,"아이스크림/알레르기성분: 대두, 계란, 우유/표시기준분량: 90ml/열량: 172kcal/탄수화물: 35g/당류: 33%/단백질: 2g/지방: 2.7g/포화지방: 1.9g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 45mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\롯데웰푸드 찰떡아이스 부여알밤.jpg
빙그레 쿠앤크,아이스크림/바(막대)/특징: 한박스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\빙그레 쿠앤크.jpg
풀무원 돌얼음,얼음,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\풀무원 돌얼음.jpg
하이디 알프스삼색 대용량[],아이스크림/10L/표시기준분량: 150ml/열량: 95kcal/탄수화물: 17g/당류: 8g/단백질: 1g/지방: 2.8g/포화지방: 2.7g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 50mg,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스크림_팥빙수\하이디 알프스삼색 대용량[].jpg
