Name,Spec,ImageURL
유니레버 립톤 아이스티 믹스 복숭아맛,"음료베이스/아이스티/포장형태: 스틱/총량: 60T/
[영양정보] 1회 제공량 14g당 열량: 56kcal/탄수화물: 14g/당류: 14g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스티_에이드\유니레버 립톤 아이스티 믹스 복숭아맛.jpg
립톤 제로 아이스티 복숭아,음료베이스/아이스티/포장형태: 스틱/총량: 30T/제로칼로리/1T당: 5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스티_에이드\립톤 제로 아이스티 복숭아.jpg
대호식품 복숭아 아이스티,음료베이스/아이스티/포장형태: 파우치,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스티_에이드\대호식품 복숭아 아이스티.jpg
담터 레몬에이드 믹스,음료베이스/에이드/포장형태: 스틱/1T당: 15g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스티_에이드\담터 레몬에이드 믹스.jpg
대상 청정원 홍초 석류,"음료베이스/식초음료/포장형태: 페트/
[영양정보] 1회 제공량 25ml당 열량: 30kcal/탄수화물: 8g/당류: 4g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스티_에이드\대상 청정원 홍초 석류.jpg
광야식품 복숭아홍차 베이스,음료베이스/아이스티/포장형태: 페트,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스티_에이드\광야식품 복숭아홍차 베이스.jpg
빅트레인 바닐라라떼 파우더,음료베이스/라떼 파우더/포장형태: 파우치,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스티_에이드\빅트레인 바닐라라떼 파우더.jpg
완주봉상생강조합 봉동 생강 농축액,음료베이스/액상/포장형태: 페트,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스티_에이드\완주봉상생강조합 봉동 생강 농축액.jpg
커피상인 까르페데이 복숭아홍차,음료베이스/과일베이스(기타)/포장형태: 페트,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스티_에이드\커피상인 까르페데이 복숭아홍차.jpg
대호식품 레몬 홍차,음료베이스/기타차음료/액상/포장형태: 파우치,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스티_에이드\대호식품 레몬 홍차.jpg
게토레이 분말 파우더 레몬라임,음료베이스/기타 파우더/포장형태: 페트,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스티_에이드\게토레이 분말 파우더 레몬라임.jpg
대상 청정원 홍초 블루베리,"음료베이스/식초음료/포장형태: 페트/
[영양정보] 1회 제공량 25ml당 열량: 25kcal/탄수화물: 6g/당류: 3g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스티_에이드\대상 청정원 홍초 블루베리.jpg
대상 청정원 홍초 자몽,"음료베이스/식초음료/포장형태: 페트/
[영양정보] 1회 제공량 25ml당 열량: 25kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스티_에이드\대상 청정원 홍초 자몽.jpg
크래프트푸드 쿨에이드 체리향,"음료베이스/에이드/포장형태: 페트/
[영양정보] 1회 제공량 17g당 열량: 64kcal/탄수화물: 16g/당류: 16g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스티_에이드\크래프트푸드 쿨에이드 체리향.jpg
대상 청정원 홍초 복분자,"음료베이스/식초음료/포장형태: 페트/
[영양정보] 1회 제공량 25ml당 열량: 25kcal/탄수화물: 6.5g/당류: 4g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스티_에이드\대상 청정원 홍초 복분자.jpg
흥국F&B 자몽 농축액,"음료베이스/과일베이스(자몽)/포장형태: 페트/
[영양정보] 1회 제공량 20ml당 열량: 25kcal/탄수화물: 5g/당류: 2g/단백질: 1g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 3mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스티_에이드\흥국F&B 자몽 농축액.jpg
카파아이엔티 포모나 레몬 톡톡베이스,"음료베이스/과일베이스(레몬)/포장형태: 파우치/
[영양정보] 1회 제공량 40g당 열량: 99kcal/탄수화물: 23g/당류: 22g/단백질: 0g/포화지방: 0.4g/트랜스지방: 0g/나트륨: 7mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스티_에이드\카파아이엔티 포모나 레몬 톡톡베이스.jpg
오뚜기 마시는 사과식초,"음료베이스/식초음료/포장형태: 페트/
[영양정보] 1회 제공량 25ml당 열량: 45kcal/탄수화물: 11g/당류: 11g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스티_에이드\오뚜기 마시는 사과식초.jpg
카파아이엔티 포모나 망고 스무디,"음료베이스/스무디/포장형태: 페트/
[영양정보] 1회 제공량 100g당 열량: 260kcal/탄수화물: 62g/당류: 51g/단백질: 0g/지방: 1.3g/포화지방: 0.5g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 120mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\아이스티_에이드\카파아이엔티 포모나 망고 스무디.jpg
