Name,Spec,ImageURL
오리온 닥터유 프로 단백질바,프로틴바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\오리온 닥터유 프로 단백질바.jpg
코스트코 커클랜드 프로틴바 버라이어티 팩입,"프로틴바/사무실간식(소포장)/
[영양정보] 1회 제공량 60g당 열량: 193kcal/탄수화물: 23g/당류: 1g/단백질: 21g/지방: 7g/포화지방: 2.5g/트랜스지방: 0.5g미만/콜레스테롤: 5mg/나트륨: 170mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\코스트코 커클랜드 프로틴바 버라이어티 팩입.jpg
해태제과 자유시간 미니,"초코바/180g/알레르기성분: 대두, 땅콩, 우유/
[영양정보] 표시기준분량: 10g(1개)/열량: 45kcal/탄수화물: 6g/당류: 4.4g/단백질: 0.9g/지방: 2.2g/포화지방: 1.1g/트랜스지방: 0.01g/콜레스테롤: 0.9mg/나트륨: 20mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\해태제과 자유시간 미니.jpg
마즈스니커즈 땅콩바,초코바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\마즈스니커즈 땅콩바.jpg
오리온 닥터유 단백질바,"프로틴바/
[영양정보] 1회 제공량 50g당 열량: 259kcal/나트륨 : 160mg/탄수화물: 19g/당류: 13g/지방: 15g/트랜스지방: 0.5g미만/포화지방: 3.3g/콜레스테롤: 5mg미만/단백질 : 12g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\오리온 닥터유 단백질바.jpg
오리온 닥터유 단백질바 미니입,"프로틴바/사무실간식(소포장)/
[영양정보] 1회 제공량 100g당 열량: 506kcal/나트륨 : 210mg/탄수화물: 43g/당류: 20g/지방: 26g/트랜스지방: 0g/포화지방: 8g/콜레스테롤: 5mg/단백질 : 25g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\오리온 닥터유 단백질바 미니입.jpg
대상웰라이프 뉴케어 당플랜 안심바입,에너지바/과자/초콜릿/디저트/시리얼/에너지바/에너지바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\대상웰라이프 뉴케어 당플랜 안심바입.jpg
오리온 닥터유 에너지바,에너지바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\오리온 닥터유 에너지바.jpg
쿠팡 곰곰 단백질바입,"프로틴바/사무실간식(소포장)/
[영양정보] 1회 제공량 50g당 열량: 261kcal/나트륨 : 90mg/탄수화물: 18.5g/당류: 10g/지방: 15g/트랜스지방: 0g/포화지방: 3.3g/콜레스테롤: 0mg/단백질 : 13g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\쿠팡 곰곰 단백질바입.jpg
해태제과 자유시간 리얼초코,"초코바/36g/알레르기성분: 대두, 땅콩, 계란, 우유/표시기준분량: 36g/열량: 180kcal/탄수화물: 22g/당류: 19g/단백질: 3g/지방: 9g/포화지방: 4.5g/트랜스지방: 0g/콜레스테롤: 5mg 미만/나트륨: 55mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\해태제과 자유시간 리얼초코.jpg
네이쳐밸리 프로틴바입,"프로틴바/사무실간식(소포장)/
[영양정보] 1회 제공량 40g당 열량: 196kcal/나트륨 : 160mg/탄수화물: 15g/당류: 7g/지방: 12g/트랜스지방: 0g/포화지방: 3.5g/콜레스테롤: 5mg미만/단백질 : 10g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\네이쳐밸리 프로틴바입.jpg
마즈스니커즈 펀사이즈,"초코바/1361g/알레르기성분: 대두, 밀, 계란, 우유/
[영양정보] 표시기준분량: 20g(1개)/열량: 100kcal/탄수화물: 12g/당류: 10g/단백질: 2g/지방: 4.8g/포화지방: 1.8g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 45mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\마즈스니커즈 펀사이즈.jpg
켈로그 에너지바K 크런치넛,에너지바/과자/초콜릿/디저트/시리얼/에너지바/시리얼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\켈로그 에너지바K 크런치넛.jpg
동서식품 포스트 단백질바입,"프로틴바/사무실간식(소포장)/
[영양정보] 1회 제공량 50g당 열량: 239kcal/나트륨 : 220mg/탄수화물: 21g/당류: 11g/지방: 11g/트랜스지방: 0g/포화지방: 3g/콜레스테롤: 0mg/단백질 : 14g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\동서식품 포스트 단백질바입.jpg
코스트코 커클랜드 소프트앤츄이 그래놀라바입,"에너지바/그래놀라/사무실간식(소포장)/
[영양정보] 1회 제공량 100g당 열량: 435kcal/탄수화물: 76g/당류: 31g/지방: 12g/트랜스지방: 0g/포화지방: 3.8g/콜레스테롤: 0mg/단백질: 6g/나트륨: 140mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\코스트코 커클랜드 소프트앤츄이 그래놀라바입.jpg
해태제과 자유시간,초코바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\해태제과 자유시간.jpg
제너럴밀스 네이처밸리 트레일 믹스바입,"에너지바/사무실간식(소포장)/
[영양정보] 1회 제공량 35g당 열량: 153kcal/나트륨 : 65mg/탄수화물: 25g/당류: 8g/지방: 4.5g/트랜스지방: 0g/포화지방: 0.5g/콜레스테롤: 0mg/단백질 : 3g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\제너럴밀스 네이처밸리 트레일 믹스바입.jpg
델타코리아 닥터유 프로 단백질바,"에너지바/560g/알레르기성분: 대두, 우유/표시기준분량: 70g/열량: 287kcal/탄수화물: 32g/당류: 9g/단백질: 24g/지방: 7g/포화지방: 40%/트랜스지방: 0g/콜레스테롤: 0mg미만/나트륨: 210mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\델타코리아 닥터유 프로 단백질바.jpg
해태제과 칼로리바란스 치즈입,"에너지바/사무실간식(소포장)/
[영양정보] 1회 제공량 76g당 열량: 325kcal/나트륨 : 290mg/탄수화물: 53g/당류: 17g/지방: 10g/트랜스지방: 0g/포화지방: 7g/콜레스테롤: 35mg/단백질 : 6g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\해태제과 칼로리바란스 치즈입.jpg
코스트코 커클랜드 시그니춰 츄이프로틴바입,프로틴바/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\코스트코 커클랜드 시그니춰 츄이프로틴바입.jpg
마즈트윅스 미니스,"초콜릿/초코바/1.4kg/파우치형/알레르기성분: 대두, 밀, 우유/실온보관/설탕,영양강화밀가루,콘시럽,탈지유,코코아버터,코코아매스/표시기준분량: 30g/열량: 145kcal/탄수화물: 20g/당류: 15g/단백질: 1g/지방: 7g/포화지방: 4g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 55mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\마즈(MARS) 트윅스 미니스 1.4kg.jpg
초코무초입,초코바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\초코무초입.jpg
마즈스니커즈 픽앤믹스,"초코바/800g/약40개입/
[영양정보] 표시기준분량: 20g/열량: 100kcal/탄수화물: 12g/당류: 10g/단백질: 2g/지방: 4.8g/포화지방: 1.8g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 45mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\마즈스니커즈 픽앤믹스.jpg
롯데웰푸드 초단백질바,"프로틴바/알레르기성분: 대두, 땅콩, 밀, 우유/
[영양정보] 표시기준분량: 40g/열량: 215kcal/탄수화물: 15g/당류: 10g/단백질: 9g/지방: 13g/포화지방: 3g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 120mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\롯데웰푸드 초단백질바.jpg
네슬레 킷캣 녹차입,초코바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\네슬레 킷캣 녹차입.jpg
오리온 닥터유 닥터유 단백질바 한입쏙,"에너지바/10g/
[영양정보] 표시기준분량: 100g/열량: 506kcal/탄수화물: 43g/당류: 20g/단백질: 25g/지방: 26g/포화지방: 8g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 210mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\오리온 닥터유 닥터유 단백질바 한입쏙.jpg
동서식품 포스트 에너지바 밸런스입,에너지바/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\동서식품 포스트 에너지바 밸런스입.jpg
명인김규흔한과 하루한끼 영양바 시즌2,에너지바/저염/25g/표시기준분량: 25g/열량: 125kcal/탄수화물: 10g/당류: 3g/단백질: g/지방: 9g/포화지방: 2g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 3mg,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\명인김규흔한과 하루한끼 영양바 시즌2.jpg
프로틴방앗간 하루단백바 제트 초코케이크맛,프로틴바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\프로틴방앗간 하루단백바 제트 초코케이크맛.jpg
오리온 닥터유 프로 단백질바 크런치 미니입,프로틴바/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\오리온 닥터유 프로 단백질바 크런치 미니입.jpg
오리온 닥터유 프로단백질바 크런치 한입쏙,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/시리얼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\오리온 닥터유 프로단백질바 크런치 한입쏙.jpg
델타코리아 닥터유 에너지바 파워사이즈,"에너지바/저염/알레르기성분: 대두, 땅콩, 밀, 우유/표시기준분량: 337g/열량: 100g당 473kcal/탄수화물: 51g/당류: 37%/단백질: 15g/지방: 25g/포화지방: 47%/트랜스지방: 0g/콜레스테롤: 5mg미만/나트륨: 140mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\델타코리아 닥터유 에너지바 파워사이즈.jpg
매일헬스뉴트리션 셀렉스 프로틴바 너츠입,프로틴바/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\매일헬스뉴트리션 셀렉스 프로틴바 너츠입.jpg
빙그레 건강tft 더 단백 크런치바 초코입,"프로틴바/사무실간식(소포장)/
[영양정보] 1회 제공량 40g당 열량: 185kcal/나트륨 : 200mg/탄수화물: 15g/당류: 7g/지방: 7g/트랜스지방: 0g/포화지방: 5g/콜레스테롤: 0mg/단백질 : 15g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\빙그레 건강tft 더 단백 크런치바 초코입.jpg
오리온 닥터유 에너지바 미니입,"에너지바/사무실간식(소포장)/
[영양정보] 1회 제공량 100g당 열량: 473kcal/나트륨 : 140mg/탄수화물: 51g/당류: 37g/지방: 25g/트랜스지방: 0g/포화지방: 7g/콜레스테롤: 5mg미만/단백질 : 15g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\오리온 닥터유 에너지바 미니입.jpg
델타코리아 닥터유 닥터유 단백질바 한입쏙,프로틴바/38개입/380g/표시기준분량: 100g/열량: 506kcal/탄수화물: 43g/당류: 20g/단백질: 25g/지방: 26g/포화지방: 8g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 210mg,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\델타코리아 닥터유 닥터유 단백질바 한입쏙.jpg
롯데웰푸드 크런키 더블 크런치바 미니,초코바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\롯데웰푸드 크런키 더블 크런치바 미니.jpg
마즈트윅스 미니,"초코바/구성: 초코바 500g, 초코바 160gx 2개",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\마즈트윅스 미니.jpg
초코무초 땅콩버터맛,초코바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\초코무초 땅콩버터맛.jpg
롯데웰푸드 크런키 더블 크런치바 미니 부여알밤,"초코바/알레르기성분: 대두, 밀, 메밀, 계란, 우유/표시기준분량: 100g/열량: 495kcal/탄수화물: 68g/당류: 42g/단백질: 4g/지방: 23g/포화지방: 14g/트랜스지방: 1g/콜레스테롤: 10mg/나트륨: 130mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\롯데웰푸드 크런키 더블 크런치바 미니 부여알밤.jpg
마즈트윅스 미니스 픽앤믹스,초코바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\마즈트윅스 미니스 픽앤믹스.jpg
켈로그 에너지바K 크런치넛입,에너지바/과자/초콜릿/디저트/시리얼/에너지바/에너지바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\켈로그 에너지바K 크런치넛입.jpg
오리온 닥터유 프로 단백질바 크런치,프로틴바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\오리온 닥터유 프로 단백질바 크런치.jpg
마즈스니커즈 아몬드 펀사이즈,"초코바/500g/알레르기성분: 대두, 계란, 우유/
[영양정보] 표시기준분량: 30g/열량: 145kcal/탄수화물: 20g/당류: 16g/단백질: 2g/지방: 6.2g/포화지방: 2.4g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 65mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\마즈스니커즈 아몬드 펀사이즈.jpg
롯데 이지프로틴 멀티단백질바 미니,프로틴바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\롯데 이지프로틴 멀티단백질바 미니.jpg
오리온 닥터유 에너지바 파워사이즈,에너지바/과자/초콜릿/디저트/시리얼/에너지바/시리얼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\오리온 닥터유 에너지바 파워사이즈.jpg
오리온 닥터유 에너지바 호두 컴팩트입,"에너지바/사무실간식(소포장)/
[영양정보] 1회 제공량 34g당 열량: 183kcal/나트륨 : 60mg/탄수화물: 17g/당류: 7g/지방: 11g/트랜스지방: 0g/포화지방: 2.3g/콜레스테롤: 0mg/단백질 : 4g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\오리온 닥터유 에너지바 호두 컴팩트입.jpg
오리온 닥터유 프로 단백질바 미니입,프로틴바/단백질/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\오리온 닥터유 프로 단백질바 미니입.jpg
롯데웰푸드 가나 초코바 아몬드,초코바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\롯데웰푸드 가나 초코바 아몬드.jpg
씨알푸드 씨알로 오초땅바 오곡초코땅콩 초코바,에너지바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\씨알푸드 씨알로 오초땅바 오곡초코땅콩 초코바.jpg
오리온 닥터유 에너지바 호두 미니입,에너지바/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\오리온 닥터유 에너지바 호두 미니입.jpg
마즈트윅스 탑입,초코바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\마즈트윅스 탑입.jpg
오리온 핫브레이크 미니,"초코바/532g/알레르기성분: 대두, 땅콩, 밀, 계란, 우유/표시기준분량: 14g/열량: 69kcal/탄수화물: 8g/당류: 5g/단백질: 1g/지방: 3.7g/포화지방: 11%/트랜스지방: 0.1g/콜레스테롤: 1mg/나트륨: 20mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\오리온 핫브레이크 미니.jpg
이마트 노브랜드 단백질바 초코,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/시리얼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\이마트 노브랜드 단백질바 초코.jpg
오리온 핫브레이크,초코바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\오리온 핫브레이크.jpg
제너럴밀스 네이처밸리 트레일 믹스바,"에너지바/35g/알레르기성분: 대두, 땅콩/귀리27%/원산지: 미국/표시기준분량: 35g/열량: 140kcal/탄수화물: 25g/당류: 12g/단백질: 3g/지방: 4g/포화지방: 0.5g/트랜스지방: 0g/콜레스테롤: 0%/나트륨: 65mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\제너럴밀스 네이처밸리 트레일 믹스바.jpg
동서식품 포스트 단백질바,"프로틴바/3개입/알레르기성분: 대두, 땅콩, 우유/볶음반태땅콩,두류가공품/원산지: 수입/표시기준분량: 50g/열량: 239kcal/탄수화물: 21g/당류: 11g/단백질: 14g/지방: 11g/포화지방: 3g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 220mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\동서식품 포스트 단백질바.jpg
롯데웰푸드 이지프로틴 고단백질바,"프로틴바/60g/알레르기성분: 대두, 땅콩, 우유, 쇠고기/표시기준분량: 60g/열량: 195kcal/탄수화물: 7%/당류: 4.7g/단백질: 36%/지방: 5g/포화지방: 3.0g/트랜스지방: 0g/콜레스테롤: 30mg/나트륨: 190mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\롯데웰푸드 이지프로틴 고단백질바.jpg
동서식품 포스트 에너지바 액티브입,에너지바/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\동서식품 포스트 에너지바 액티브입.jpg
마즈트윅스 싱글 초코바,초코바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\마즈트윅스 싱글 초코바.jpg
오리온 오! 그래놀라 단백질바 리얼초콜릿맛,에너지바/4개입/160g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\오리온 오! 그래놀라 단백질바 리얼초콜릿맛.jpg
퀘스트뉴트리션 히어로 프로틴 단백질 바 초콜릿 카라멜 피칸입,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/시리얼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\퀘스트뉴트리션 히어로 프로틴 단백질 바 초콜릿 카라멜 피칸입.jpg
켈로그 크런치넛 에너지바,"에너지바/
[영양정보] 1회 제공량 30g당 열량: 155kcal/나트륨 : 82mg/탄수화물: 16.2g/당류: 7.7g/지방: 8.6g/트랜스지방: 0g/포화지방: 2.3g/콜레스테롤: 0mg/단백질 : 3.2g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\켈로그 크런치넛 에너지바.jpg
동서식품 포스트 포스트 콘푸라이트바,에너지바/표시기준분량: [영양정보]/열량: [영양정보],C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\동서식품 포스트 포스트 콘푸라이트바.jpg
오리온 닥터유 단백질바 미니,"프로틴바/저당/저염/알레르기성분: 대두, 우유/실온보관/
[영양정보] 표시기준분량: 280g/열량: 100g당 410kcal/탄수화물: 45g/당류: 12g/단백질: 35g/지방: 10g/포화지방: 8g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 300mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\오리온 닥터유 단백질바 미니.jpg
켈로그 라이스 크리스피 트리츠 오리지널,"에너지바/
[영양정보] 1회 제공량 100g당 열량: 412kcal/나트륨 : 471mg/탄수화물: 77g/당류: 35g/지방: 10.2g/트랜스지방: 0g/포화지방: 2.6g/콜레스테롤: 0mg/단백질 : 3g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\켈로그 라이스 크리스피 트리츠 오리지널.jpg
멀티푸드 초코무초,"초코바/27g/파우치형/알레르기성분: 대두, 밀, 우유, 이산화황/원산지: 필리핀/표시기준분량: 27g/열량: 134kcal/탄수화물: 18g/당류: 13g/단백질: 2g/지방: 6g/포화지방: 4g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 60mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\멀티푸드 초코무초.jpg
이마트 노브랜드 단백질바,프로틴바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\이마트 노브랜드 단백질바.jpg
롯데웰푸드 가나 초코바 땅콩,초코바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\롯데웰푸드 가나 초코바 땅콩.jpg
엄마사랑 오늘든든 고단백 하루견과 에너지바,에너지바/25g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\엄마사랑 오늘든든 고단백 하루견과 에너지바.jpg
오리온 닥터유 에너지바 호두,"에너지바/
[영양정보] 1회 제공량 40g당 열량: 213kcal/나트륨 : 70mg/탄수화물: 20g/당류: 9g/지방: 13g/트랜스지방: 0g/포화지방: 2.7g/콜레스테롤: 0mg/단백질 : 4g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\오리온 닥터유 에너지바 호두.jpg
오리온 마켓오 네이처 오 그래놀라 철분바 고소한맛,"에너지바/저염/알레르기성분: 대두, 땅콩, 밀, 우유/표시기준분량: 35g/열량: 167kcal/탄수화물: 22g/당류: 11g/단백질: 4g/지방: 7g/포화지방: 2.5g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 25mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\오리온 마켓오 네이처 오 그래놀라 철분바 고소한맛.jpg
엄마사랑 단백질 영양바,에너지바/25g/표시기준분량: 25g(1개)/열량: 115kcal/탄수화물: 15g/당류: 9g/단백질: 4g/지방: 4.1g/포화지방: 1g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 50mg,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\엄마사랑 단백질 영양바.jpg
매일헬스뉴트리션 셀렉스 프로틴바 베리오트입,프로틴바/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\매일헬스뉴트리션 셀렉스 프로틴바 베리오트입.jpg
동서식품 포스트 골든 그래놀라바입,"에너지바/그래놀라/사무실간식(소포장)/
[영양정보] 1회 제공량 27g당 열량: 121kcal/나트륨 : 90mg/탄수화물: 18g/당류: 7g/지방: 4.6g/트랜스지방: 0g/포화지방: 3g/콜레스테롤: 0.3mg/단백질 : 2g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\동서식품 포스트 골든 그래놀라바입.jpg
해태제과 자유시간 아몬드,초코바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\해태제과 자유시간 아몬드.jpg
롯데웰푸드 크런키 더블크런치바 미니,초코바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\롯데웰푸드 크런키 더블크런치바 미니.jpg
크라운제과 키커바,초코바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\크라운제과 키커바.jpg
롯데웰푸드 이지프로틴 멀티단백질바,"프로틴바/40g/알레르기성분: 대두, 우유, 쇠고기/표시기준분량: 40g/열량: 130kcal/탄수화물: 15g/당류: 6g/단백질: 12g/지방: 4.0g/포화지방: 2.3g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 100mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\롯데웰푸드 이지프로틴 멀티단백질바.jpg
해태제과 자유시간 미니 쿠키앤크림,초코바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\해태제과 자유시간 미니 쿠키앤크림.jpg
마즈스니커즈 미니스입,초코바/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에너지바_프로틴바\마즈스니커즈 미니스입.jpg
