Name,Spec,ImageURL
고려은단 비타민C 1000,"[주요성분] 비타민C/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 720정/섭취기간: 24개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/GMP/기능성: 영양보충, 항산화/
[기능성분] 비타민C: 1,000mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\영양제\고려은단 비타민C 1000.jpg
종근당건강 락토핏 생유산균 코어맥스,"[주요성분] 프로바이오틱스/보장균수(CFU): 30억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 60포/섭취기간: 2개월/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강/
[기능성분] 아연: 8.5mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\영양제\종근당건강 락토핏 생유산균 코어맥스.jpg
종근당건강 비타민C,"[주요성분] 비타민C/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 600정/섭취기간: 20개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 영양보충, 항산화/
[기능성분] 비타민C: 1,000mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\영양제\종근당건강 비타민C.jpg
주영엔에스 뼈엔 엠비피 MBP,"[주요성분] MBP(유단백)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 뼈 건강/
[기능성분] 락토페린: 23.2mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\영양제\주영엔에스 뼈엔 엠비피 MBP.jpg
에이스바이옴 BNR17 다이어트 유산균 비에날씬,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2캡슐/총량: 60캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\영양제\에이스바이옴 BNR17 다이어트 유산균 비에날씬.jpg
주영엔에스 관절엔 콘드로이친 1200,"[주요성분] 콘드로이친/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/총량: 60정/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 관절, 연골 건강/
[기능성분] Chondroitin sulfate sodium: 1,080mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\영양제\주영엔에스 관절엔 콘드로이친 1200.jpg
덴프스 덴마크 유산균이야기,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 60캡슐/섭취기간: 2개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\영양제\덴프스 덴마크 유산균이야기.jpg
내츄럴플러스 알티지 오메가3 1200,"[주요성분] 오메가3/rTG형(3세대)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 180캡슐/섭취기간: 6개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/기능성: 기억력 개선, 눈 건강, 혈중 중성지질 개선, 혈행개선/
[기능성분] EPA+DHA: 1,200mg/비타민D: 25㎍(1,000IU)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\영양제\내츄럴플러스 알티지 오메가3 1200.jpg
종근당건강 아임비타 이뮨샷,"[주요성분] 멀티비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1병/총량: 30병/섭취기간: 1개월/형태: 캡슐,정+음료(액상)/
[인증] 건강기능식품/기능성: 영양보충/
[기능성분] 비타민B1: 48mg/비타민B2: 56mg/비타민B6: 60mg/비타민B12: 96㎍/판토텐산:25mg/비오틴: 1,200㎍/비타민C: 100mg/베타카로틴:6mg/비타민D: 10㎍/비타민E: 11mgα-TE/비타민K: 60㎍/아연: 17mg/셀렌: 55㎍/망간: 3mg/몰리브덴: 25㎍/요오드: 150㎍/구리: 0.8mg/크롬: 30㎍",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\영양제\종근당건강 아임비타 이뮨샷.jpg
닥터린 초임계 알티지 오메가3,"[주요성분] 오메가3/rTG형(3세대)/초임계(저온 추출법)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/GMP/기능성: 눈 건강, 혈중 중성지질 개선, 혈행개선/
[기능성분] EPA+DHA: 600mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\영양제\닥터린 초임계 알티지 오메가3.jpg
