Name,Spec
DMK Group 올덴버거 멸균우유 3.5%,포장형태: 팩/1L
DMK Group 올덴버거 우유 3.5%,"흰우유/포장형태: 팩/특징: 멸균우유, 수입/
[영양정보] 1회 제공량 100ml당 열량: 65kcal/나트륨: 50mg/탄수화물: 4.8g/당류: 4.8g/지방: 3.5g/트랜스지방: 0g/포화지방: 2.4g/콜레스테롤: 10mg/단백질: 3.3g"
F+S Milch 데이리스타 밀쉬 우유,"흰우유/포장형태: 팩/특징: 멸균우유, 수입/
[영양정보] 1회 제공량 1000ml당 열량: 650kcal/탄수화물: 48g/당류: 48g/단백질: 33g/지방: 36g/트랜스지방: 1g/포화지방: 25g/콜레스테롤: 120mg/나트륨: 480mg"
F+S Milch 데이리스타 밀쉬 저지방 우유,"흰우유/포장형태: 팩/특징: 멸균우유, 저지방, 수입/
[영양정보] 1회 제공량 100ml당 열량: 46.7kcal/탄수화물: 4.9g/당류: 4.9g/단백질: 3.4g/지방: 1.5g/포화지방: 1g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 120mg/칼슘: 120mg"
F+S Milch 밀쉬 멸균우유,흰우유/포장형태: 테트라팩/특징: 멸균제품/1L
GS리테일 유어스 초코비 초코우유,"초코우유/포장형태: 팩/
[영양정보] 1회 제공량 180ml당 열량: 170kcal"
LOWICZ라라비타 우유 3.5%,"흰우유/포장형태: 팩/특징: 멸균우유, 수입/
[영양정보] 1회 제공량 1L당 열량: 630kcal/탄수화물: 49g/당류: 49g/단백질: 30g/지방: 35g/포화지방: 24g/트랜스지방: 0.5g/콜레스테롤: 130mg/나트륨: 400mg"
LOWICZ로위키 1.5%,"흰우유/포장형태: 팩/특징: 멸균우유, 저지방, 수입"
LOWICZ로위키 3.2%,"흰우유/포장형태: 팩/특징: 멸균우유, 수입/
[영양정보] 총 내용량 500ml당 열량: 300kcal/탄수화물: 24g/당류: 24g/단백질: 15g/지방: 16g/포화지방: 10g/트랜스지방: 0g/콜레스테롤: 60mg/나트륨: 200mg/칼슘: 565mg"
LOWICZ로위키 멸균우유 3.2%,흰우유/포장형태: 테트라팩/특징: 멸균우유/1L
LOWICZ로위키 블루 3.2%,"흰우유/포장형태: 팩/특징: 멸균우유, 수입"
LOWICZ밀키스마 우유 3.5%,"흰우유/포장형태: 팩/특징: 멸균우유, 수입/
[영양정보] 1회 제공량 1000ml당 열량: 630kcal/탄수화물: 49g/당류: 49g/단백질: 30g/지방: 35g/포화지방: 24g/트랜스지방: 0.5g/콜레스테롤: 130mg/나트륨: 1000ml/칼슘: 1,130mg"
LOWICZ틴토 우유,"흰우유/포장형태: 팩/특징: 멸균우유, 수입/
[영양정보] 1회 제공량 100ml당 열량: 63kcal"
LOWICZ파르카디아 우유 1.5%,"흰우유/포장형태: 팩/특징: 멸균우유, 저지방, 수입/
[영양정보] 1회 제공량 100ml당 열량: 44kcal/탄수화물: 4.7g/당류: 4.7g/단백질: 3g/지방: 1.5g/포화지방: 0.96g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 100mg"
LOWICZ파르카디아 우유 3.5%,"흰우유/포장형태: 팩/특징: 멸균우유, 수입/
[영양정보] 1회 제공량 100ml당 열량: 64kcal/탄수화물: 4.8g/당류: 4.8g/단백질: 3.2g/지방: 3.5g/포화지방: 2g/트랜스지방: 0g/콜레스테롤: 16mg/나트륨: 100mg"
MLEKPOL HAPPY BARN 해피반 우유 3.5%,"흰우유/포장형태: 팩/특징: 멸균우유, 수입/
[영양정보] 1회 제공량 100ml당 열량: 63kcal/탄수화물: 4.7g/당류: 4.7g/단백질: 3.2g/지방: 3.5g/포화지방: 2.2g/트랜스지방: 0.11g/콜레스테롤: 13mg/나트륨: 40mg"
MLEKPOL LACIATE 와치아테 우유 1.5%,"흰우유/포장형태: 팩/특징: 멸균우유, 저지방, 수입/
[영양정보] 1회 제공량 100ml당 열량: 45kcal"
MLEKPOL LACIATE 와치아테 우유 3.5%,"흰우유/포장형태: 팩/특징: 멸균우유, 수입/
[영양정보] 1회 제공량 100ml당 열량: 63kcal"
