Name,Spec,ImageURL
스타벅스 브렉퍼스트 블렌드 미디엄 로스트,원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/로스팅정도: 중간/로스팅 단계: 미디엄 로스팅,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\스타벅스 브렉퍼스트 블렌드 미디엄 로스트.jpg
레스트빈 베트남 로부스타 블루드래곤 워시드 G1,원두커피/파우치형/홀빈/분쇄여부: 선택/로스팅정도: 중간/원산지: 베트남/로스팅 단계: 시티 로스팅~풀시티 로스팅,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\레스트빈 베트남 로부스타 블루드래곤 워시드 G1.jpg
코스트코 커클랜드 스타벅스 하우스 블렌드,원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/로스팅정도: 중간/로스팅 단계: 미디엄 로스팅,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\코스트코 커클랜드 스타벅스 하우스 블렌드.jpg
스타벅스 에스프레소 로스트 홀빈,원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/로스팅정도: 강함/원산지: 미국 로스팅단계: 다크 로스팅,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\스타벅스 에스프레소 로스트 홀빈.jpg
동서식품 맥심 싱글 오리진 콜롬비아 우일라,원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\동서식품 맥심 싱글 오리진 콜롬비아 우일라.jpg
스타벅스 카페 베로나,"원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/로스팅정도: 강함/원산지: 라틴아메리카, 인도네시아 로스팅 단계: 프렌치 로스팅",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\스타벅스 카페 베로나.jpg
스타벅스 하우스 블렌드 홀빈,원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/로스팅정도: 중간/로스팅 단계: 미디엄 로스팅,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\스타벅스 하우스 블렌드 홀빈.jpg
동서식품 맥심 에스프레소 블렌드,"원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/커피원두100% (브라질산 55%, 콜롬비아산30%, 과테말라산15%)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\동서식품 맥심 에스프레소 블렌드.jpg
네슬레 스타벅스 앳홈 블론드 에스프레소 홀빈,원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\네슬레 스타벅스 앳홈 블론드 에스프레소 홀빈.jpg
엠즈씨드 폴바셋 시그니처 블렌드 풀 포텐셜,"원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/원산지: 브라질, 에티오피아",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\엠즈씨드 폴바셋 시그니처 블렌드 풀 포텐셜.jpg
라바짜 탑 클래스,원두커피/홀빈/분쇄여부: X/로스팅정도: 중간/로스팅 단계: 미디엄 로스팅,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\라바짜 탑 클래스.jpg
테라로사 원두커피 올데이 블렌드,"원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/원산지: 에티오피아, 브라질",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\테라로사 원두커피 올데이 블렌드.jpg
코스트코 커클랜드 스타벅스 에스프레소 블렌드,원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/로스팅정도: 강함/로스팅 단계: 다크 로스팅,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\코스트코 커클랜드 스타벅스 에스프레소 블렌드.jpg
콩볶는사람들 홀릭커피 스타 블렌드,원두커피/파우치형/홀빈/분쇄여부: 선택,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\콩볶는사람들 홀릭커피 스타 블렌드.jpg
쟈뎅 클래스 로얄 헤이즐넛 분쇄,원두커피/분말/파우치형/홀빈/분쇄여부: O,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\쟈뎅 클래스 로얄 헤이즐넛 분쇄.jpg
동서식품 맥심 시그니처 블렌드 풀 어센틱,"원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/원산지: 과테말라산40%, 콜롬비이산30%, 인도네시아산30%",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\동서식품 맥심 시그니처 블렌드 풀 어센틱.jpg
일리 에티오피아 캡슐커피,원두커피/캡슐커피/맛: 에스프레소/사용머신: 일리/총량: 18개,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\일리 에티오피아 캡슐커피.jpg
동서식품 맥심 시그니처 블렌드 미디엄 밸런스,"원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/커피원두100% (코스타리카산40%, 과테말라산30%, 케냐산30%)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\동서식품 맥심 시그니처 블렌드 미디엄 밸런스.jpg
동서식품 맥심 싱글 오리진 에티오피아 시다모,원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/원산지: 에티오피아,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\동서식품 맥심 싱글 오리진 에티오피아 시다모.jpg
한국맥널티 행복을 주는 커피 리치 헤이즐넛향,"원두커피/분말/파우치형/홀빈/분쇄여부: O/원산지: 브라질 40%, 콜롬비아 39.5%, 에티오피아 20%, 자메이카블루마운틴 0.5%",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\한국맥널티 행복을 주는 커피 리치 헤이즐넛향.jpg
코스트코 커클랜드 콜롬비안 수프리모 그라운드,원두커피/분말/용기형/홀빈/분쇄여부: O,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\코스트코 커클랜드 콜롬비안 수프리모 그라운드.jpg
콩볶는사람들 홀릭커피 브라질 산토스 NY2 17/18 MY-TYPE,원두커피/파우치형/홀빈/분쇄여부: 선택/로스팅정도: 중간/원산지: 브라질 로스팅 단계: 미디엄 로스팅,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\콩볶는사람들 홀릭커피 브라질 산토스 NY2 17_18 MY-TYPE.jpg
맥널티 행복을 주는 커피 시그니처 헤이즐넛향 원두 커피 분쇄,원두커피/분말/드립백/파우치형,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\맥널티 행복을 주는 커피 시그니처 헤이즐넛향 원두 커피 분쇄.jpg
일리 클래식 로스트 홀빈,원두커피/분말/용기형/홀빈/분쇄여부: X/원산지:이탈리아,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\일리 클래식 로스트 홀빈.jpg
동서식품 맥심 시그니처 블렌드 라이트 블로섬,"원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/원산지: 에티오피아산50%, 케냐산30%, 코스타리카산20%",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\동서식품 맥심 시그니처 블렌드 라이트 블로섬.jpg
감탄커피 베트남 로부스타 G1,원두커피,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\감탄커피 베트남 로부스타 G1.jpg
동서식품 맥심 시그니처 블렌드 풀 밸런스,"원두커피/분말/파우치형/홀빈/분쇄여부: O/원산지: 과테말라산40%, 코스타리카산40%, 콜롬비이산20%",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\동서식품 맥심 시그니처 블렌드 풀 밸런스.jpg
콩스콩스 베트남 로부스타 블루드래곤 워시드 G1,원두커피/파우치형/홀빈/분쇄여부: 선택/로스팅정도: 중간/원산지: 베트남 로스팅 단계: 시티 로스팅~풀시티 로스팅,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\콩스콩스 베트남 로부스타 블루드래곤 워시드 G1.jpg
쿠팡 곰곰 콜롬비아 블렌드 원두커피,"원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/로스팅 레벨: 시티/원산지: 콜롬비아 40%, 브라질 30%, 에티오피아 20%, 과테말라 10%",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\쿠팡 곰곰 콜롬비아 블렌드 원두커피.jpg
워너빈 워너빈 에티오피아 예가체프 원두커피 홀빈,원두커피/드립백,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\워너빈 워너빈 에티오피아 예가체프 원두커피 홀빈.jpg
파란수염커피 홀빈,원두커피/드립백,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\파란수염커피 홀빈.jpg
모모스커피 하우스 블렌드,원두커피/그린빈/홀빈/로스팅정도: 강함,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\모모스커피 하우스 블렌드.jpg
쟈뎅 블루마운틴 블렌드 커피백,원두커피/티백형/총량: 50T/중량: 3.8g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\쟈뎅 블루마운틴 블렌드 커피백.jpg
쟈뎅 클래스 드립백 스모키 과테말라 싱글오리진,원두커피/드립백/총량: 40T/중량: 8g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\쟈뎅 클래스 드립백 스모키 과테말라 싱글오리진.jpg
이디야 핸드드립 커피 에티오피아 리무,원두커피/드립백/중량: 8g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\이디야 핸드드립 커피 에티오피아 리무.jpg
UCC 장인의 커피 스페셜 블렌드,원두커피/드립백/총량: 100T/중량: 7g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\UCC 장인의 커피 스페셜 블렌드.jpg
이마트 노브랜드 성수 블렌드 다크 오리지널,원두커피/드립백/개당중량: 500g초과,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\이마트 노브랜드 성수 블렌드 다크 오리지널.jpg
콩스콩스 베트남 아라비카 G1,원두커피/드립백,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\콩스콩스 베트남 아라비카 G1.jpg
롯데푸드 칸타타 헤즐넛향 분쇄,원두커피/분말/용기형/홀빈/분쇄여부: O,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\롯데푸드 칸타타 헤즐넛향 분쇄.jpg
롯데푸드 칸타타 아메리카노 분쇄,원두커피/분말/용기형/홀빈/분쇄여부: O,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\롯데푸드 칸타타 아메리카노 분쇄.jpg
일리 인텐소 다크 분쇄,원두커피/분말/용기형/홀빈/분쇄여부: O,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\일리 인텐소 다크 분쇄.jpg
이디야 클래식 에스프레소 원두,"원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/원산지: 브라질, 콜롬비아",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\이디야 클래식 에스프레소 원두.jpg
한국맥널티 행복을 주는 커피 블루마운틴,"원두커피/분말/파우치형/홀빈/분쇄여부: O/원산지: 브라질 40%, 콜롬비아 39.5%, 에티오피아 20%, 자메이카블루마운틴 0.5%",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\한국맥널티 행복을 주는 커피 블루마운틴.jpg
동서식품 맥심 카누 원두커피 마스터 블렌드 프렌치 로스트,원두커피,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\동서식품 맥심 카누 원두커피 마스터 블렌드 프렌치 로스트.jpg
일리 디카프 디카페인 분쇄,원두커피/분말/용기형/홀빈/분쇄여부: O,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\일리 디카프 디카페인 분쇄.jpg
웨이브온커피 디카페인 블렌드,"원두커피/파우치형/홀빈/분쇄여부: 선택/
[맛집] 웨이브온커피/원산지: 에티오피아 50%, 과테말라 50%",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\웨이브온커피 디카페인 블렌드.jpg
달구네 달구네커피 원두커피,원두커피/드립백,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\달구네 달구네커피 원두커피.jpg
코스트코 커클랜드 콜롬비안 수프리모 홀빈,원두커피/홀빈/분쇄여부: X/로스팅정도: 중간/로스팅 단계: 미디엄 로스팅,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\코스트코 커클랜드 콜롬비안 수프리모 홀빈.jpg
동서식품 맥심 싱글 오리진 브라질 산토스,원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/원산지: 브라질,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\동서식품 맥심 싱글 오리진 브라질 산토스.jpg
탐앤탐스 에티오피아 예가체프 핸드드립 커피,원두커피/드립백/중량: 8g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\탐앤탐스 에티오피아 예가체프 핸드드립 커피.jpg
동서식품 맥심 싱글 오리진 케냐 몸바사,원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/로스팅정도: 중간/원산지: 케냐,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\동서식품 맥심 싱글 오리진 케냐 몸바사.jpg
이디야 핸드드립 커피 페르소나 블렌드,원두커피/드립백/중량: 8g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\이디야 핸드드립 커피 페르소나 블렌드.jpg
콘삭 콘삭 분쇄원두 아라비카 100 헤이즐럿향,원두커피/드립백,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\콘삭 콘삭 분쇄원두 아라비카 100 헤이즐럿향.jpg
UCC 우에시마커피 커피탐구 블루마운틴 블렌드 진공팩,원두커피/분쇄여부: O,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\UCC 우에시마커피 커피탐구 블루마운틴 블렌드 진공팩.jpg
라이언커피 바닐라 마카다미아 분쇄,원두커피/드립백/파우치형/분쇄여부: O,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\라이언커피 바닐라 마카다미아 분쇄.jpg
일리 디카페인 원두 홀빈,원두커피/분말/용기형/홀빈/분쇄여부: X/원산지: 이탈리아,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\일리 디카페인 원두 홀빈.jpg
동서식품 맥심 시그니처 블렌드 라이트 밸런스,"원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/커피원두100% (에티오피아산50%, 과테말라산20%, 케냐산30%)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\동서식품 맥심 시그니처 블렌드 라이트 밸런스.jpg
커피빈 하와이커피컴퍼니 라이언커피 바닐라 마카다미아,원두커피/드립백/파우치형,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\커피빈 하와이커피컴퍼니 라이언커피 바닐라 마카다미아.jpg
콩볶는사람들 홀릭커피 과테말라 SHB 안티구아,원두커피/파우치형/홀빈/분쇄여부: 선택/로스팅정도: 강함/원산지: 과테말라 로스팅 단계: 풀시티 로스팅,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\콩볶는사람들 홀릭커피 과테말라 SHB 안티구아.jpg
레스트빈 레스트빈 블렌드,원두커피/드립백/파우치형,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\레스트빈 레스트빈 블렌드.jpg
워너빈 원두커피,원두커피/파우치형/홀빈/분쇄여부: 선택//상세페이지 참조,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\워너빈 원두커피.jpg
코코빈 케냐 AA,원두커피/드립백,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\코코빈 케냐 AA.jpg
카페뎀셀브즈 갓파더,"원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/원산지: 콜롬비아, 에티오피아, 인도",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\카페뎀셀브즈 갓파더.jpg
커클랜드 시그니처 콜롬비아 그라운드 커피,원두커피/용기형/분쇄여부: O/로스팅정도: 강함,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\커클랜드 시그니처 콜롬비아 그라운드 커피.jpg
스타벅스 Starbucks Dark French Roast Ground Coffee,원두커피/드립백,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\스타벅스 Starbucks Dark French Roast Ground Coffee.jpg
일리 인스턴트 커피 인텐소 다크,원두커피/분말/드립백/용기형/홀빈/분쇄여부: O/로스팅정도: 강함,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\일리 인스턴트 커피 인텐소 다크.jpg
훔볼트 훔볼트 골드로부스타 브라질 스페셜티 피베리 블렌드,원두커피/드립백/홀빈,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\훔볼트 훔볼트 골드로부스타 브라질 스페셜티 피베리 블렌드.jpg
하마야 스페셜 블렌드 드립백 레귤러 커피,원두커피/드립백/중량: 8g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\하마야 스페셜 블렌드 드립백 레귤러 커피.jpg
쟈뎅 클래스 마일드 콜롬비아 싱글오리진,원두커피/분말/파우치형/홀빈/분쇄여부: O,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\쟈뎅 클래스 마일드 콜롬비아 싱글오리진.jpg
모두의커피 에티오피아 예가체프 G2,원두커피/파우치형/홀빈/분쇄여부: 선택/로스팅정도: 약함/원산지: 에티오피아,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\모두의커피 에티오피아 예가체프 G2.jpg
커피디바인 체리블러썸 블렌드 원두커피,원두커피/드립백,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\커피디바인 체리블러썸 블렌드 원두커피.jpg
테라로사 드립백,원두커피/드립백/구성: 과테말라 10g x 11T+에티오피아 10g x 11T+브라질 10g x 11T,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\테라로사 드립백.jpg
롯데푸드 칸타타 에스프레소 블렌드,"원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/로스팅정도: 중간/원산지: 브라질, 콜롬비아 외 로스팅 단계: 미디엄 로스팅",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\롯데푸드 칸타타 에스프레소 블렌드.jpg
콩스콩스 마일드 블렌드,원두커피/드립백,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\콩스콩스 마일드 블렌드.jpg
네슬레 스타벅스 앳홈 하우스 블렌드 분쇄,원두커피/분말/파우치형/홀빈/분쇄여부: O/원산지: 포르투갈,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\네슬레 스타벅스 앳홈 하우스 블렌드 분쇄.jpg
맥널티 핸드드립 커피 콜롬비아 슈프리모입,원두커피/드립백/로스팅정도: 중간,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\맥널티 핸드드립 커피 콜롬비아 슈프리모입.jpg
미스터빈 에티오피아 예가체프,원두커피/드립백/파우치형/홀빈,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\미스터빈 에티오피아 예가체프.jpg
스타벅스 디카페인 하우스 블렌드,원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X/로스팅정도: 중간/로스팅단계: 미디엄 로스팅,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\스타벅스 디카페인 하우스 블렌드.jpg
롯데푸드 칸타타 블루마운틴 블렌드,원두커피/원물(잎차)/파우치형/홀빈/분쇄여부: X,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\롯데푸드 칸타타 블루마운틴 블렌드.jpg
로얄코나커피 10 블렌드 바닐라 마카다미아 그라운드 커피,원두커피/드립백/분쇄여부: O/로스팅정도: 약함,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\로얄코나커피 10 블렌드 바닐라 마카다미아 그라운드 커피.jpg
로얄코나커피 10 블렌드 마운틴 로스트 그라운드 커피,원두커피/드립백/분쇄여부: O/로스팅정도: 약함,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\로얄코나커피 10 블렌드 마운틴 로스트 그라운드 커피.jpg
커피허브 과테말라 안티구아 SHB 원두,원두커피/드립백/파우치형/홀빈,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\원두커피_드립백\커피허브 과테말라 안티구아 SHB 원두.jpg
