Name,Spec,ImageURL
휴온스 엘루비 메노락토 프로바이오틱스,"[주요성분] 프로바이오틱스/보장균수(CFU): 1억/
[섭취정보] 섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 90캡슐/섭취기간: 3개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 갱년기 개선, 배변활동 원활, 장 건강",
뉴트리 마스터바이옴 지노마스터 프라임,"프로바이오틱스/보장균수(CFU): 50억 CFU/섭취대상: 성인여성, 임산부/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/형태: 캡슐,정/건강기능식품/기능성: 관절, 연골 건강, 면역력 증진, 영양보충, 장 건강",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\뉴트리 마스터바이옴 지노마스터 프라임 350mg 30캡슐.jpg
햄프로바이오틱스,프로바이오틱스/섭취대상: 성인남녀/특징: 스틱형,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\햄프로바이오틱스 2g 30스틱.jpg
에프앤디넷 락피도 프로바이오틱스 얼티밋,"프로바이오틱스/보장균수(CFU): 20억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1병/섭취기간: 7일분/형태: 캡슐,정, 음료(액상)/건강기능식품/GMP/기능성: 관절, 연골 건강, 눈 건강, 면역력 증진, 장 건강, 피부 건강, 항산화, 혈중 콜레스테롤 개선",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\에프앤디넷 락피도 프로바이오틱스 얼티밋 7병.jpg
프롬바이오 위 장엔 매스틱 유산균,"프로바이오틱스/보장균수(CFU): 10억 CFU/섭취대상: 성인남녀/섭취기간: 1일 1회, 1포/형태: 분말/특징: 스틱형/건강기능식품/GMP/기능성: 장 건강",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\프롬바이오 위 장엔 매스틱 유산균 15포.jpg
동화약품 인지력케어 DW2009,"프로바이오틱스/보장균수(CFU): 100억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 2캡슐/섭취기간: 1개월분/형태: 캡슐,정/건강기능식품/기능성: 장 건강",
고려은단 키즈 유산균,"프로바이오틱스/보장균수(CFU): 100억 CFU/섭취대상: 유아,청소년/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/형태: 분말/특징: 스틱형/기능성: 장 건강",
고려은단 키즈 하이,"프로바이오틱스/섭취대상: 유아,청소년/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/형태: 분말/특징: 스틱형/FGO 500mg",
올바른 올핏 와이 케어 프로바이오틱스 VL8,프로바이오틱스/섭취대상: 성인남녀/특징: 스틱형,
에이스바이옴 비에날퀸,"프로바이오틱스/섭취횟수, 양: 1일 1회, 2정/형태: 캡슐,정/건강기능식품/기능성: 장 건강, 체지방감소",
네추럴라이즈 프로바이오틱스 유산균 꾸미 포도요거트맛60구미,"프로바이오틱스/섭취대상: 유아,청소년",
한미양행 낙산균을 채우다,"프로바이오틱스/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1정/섭취기간: 1개월분/형태: 캡슐,정/HACCP/기능성: 장 건강, 체지방감소/낙산균혼합분말5mg,17종혼합유산균5mg",
GNM자연의품격 혈당케어 앤 20억보장 유산균,"프로바이오틱스/보장균수(CFU): 20억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/형태: 캡슐,정/건강기능식품/기능성: 장 건강, 혈당조절",
내추럴영 마더케어 프로바이오틱스,"프로바이오틱스/섭취대상: 성인남녀/형태: 캡슐,정",
GC녹십자웰빙 프로비던스 프로바이오틱스 장건강캡슐,"프로바이오틱스/섭취대상: 성인남녀/형태: 캡슐,정/기능성: 장 건강",
일동제약 비오비타 배배 골드,프로바이오틱스/프리바이오틱스,
나우푸드 프리+프로 바이오틱스,"프로바이오틱스/보장균수(CFU): 10억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/형태: 분말/특징: 스틱형/건강기능식품/기능성: 면역력 증진, 장 건강",
내츄럴플러스 100억 유산균 프로바이오틱스 플러스,"프로바이오틱스/보장균수(CFU): 100억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/형태: 캡슐,정/건강기능식품/기능성: 장 건강",
내츄럴플러스 기억력케어 앤 유산균,"프로바이오틱스/보장균수(CFU): 10억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/특징: 베지캡슐형/건강기능식품/기능성: 장 건강/플라보놀배당체36mg",
내츄럴플러스 프로덴탈 구강유산균 플러스,"프로바이오틱스/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1정/섭취기간: 1개월분/형태: 캡슐,정/HACCP",
옹쌔므옹땜 이즈바디+ 이즈바디 플러스,프로바이오틱스,
뉴트리원 비비랩 다이어트 유산균,"프로바이오틱스/보장균수(CFU): 10억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 14일분/형태: 분말/특징: 스틱형/건강기능식품/기능성: 면역력 증진, 장 건강, 체지방감소, 항산화",
에프앤디넷 락피도 콜드에이치 츄어블,"프로바이오틱스/보장균수(CFU): 20억 CFU/섭취대상: 성인남녀, 시니어, 유아,청소년/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/건강기능식품/기능성: 장 건강",
에프앤디넷 락피도 덴토락,"프로바이오틱스/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1정/섭취기간: 20일분/형태: 캡슐,정/기능성: 관절, 연골 건강, 면역력 증진",
에프앤디넷 락피도 프로바이오틱스 D 드롭스 퓨어,"프로바이오틱스/보장균수(CFU): 1억 CFU/섭취대상: 유아,청소년/섭취횟수, 양: 1일 1회, 6방울/형태: 음료(액상)/건강기능식품/기능성: 관절, 연골 건강, 면역력 증진, 장 건강",
에프앤디넷 락피도 프로바이오틱스 리스펙타 컴플리트 케어,"프로바이오틱스/보장균수(CFU): 50억 CFU/섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/형태: 캡슐,정/건강기능식품/기능성: 관절, 연골 건강, 면역력 증진, 장 건강, 항산화",
뉴트리원 비투온 온가족 생유산균,"프로바이오틱스/보장균수(CFU): 10억 CFU/섭취횟수, 양: 1일 1회, 1포/섭취기간: 200일분/형태: 분말/특징: 스틱형/기능성: 면역력 증진, 장 건강, 항산화",
뉴트리원 구강유산균 프레시케어,"프로바이오틱스/보장균수(CFU): 1억 CFU/섭취횟수, 양: 1일 1회, 1정/섭취기간: 1개월분/형태: 캡슐,정/HACCP/기능성: 장 건강",
에프앤디넷 락피도 프로바이오틱스 주니어패스,"프로바이오틱스/보장균수(CFU): 100억 CFU/섭취대상: 유아,청소년/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/형태: 분말, 환/건강기능식품/기능성: 관절, 연골 건강, 면역력 증진, 장 건강",
유한양행 와이즈바이옴 위장 듀얼 케어,"프로바이오틱스/보장균수(CFU): 50억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 스틱형/건강기능식품/기능성: 장 건강",
엘포비 플로라 프로바이오틱스,"프로바이오틱스/보장균수(CFU): 100억 CFU/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 2개월분/형태: 캡슐,정/특징: 베지캡슐형/건강기능식품/기능성: 장 건강",
닥터체크 원퍼데이 프리미엄 프로바이오틱스,"프로바이오틱스/보장균수(CFU): 100억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 1개월분/형태: 캡슐,정/건강기능식품/GMP/기능성: 장 건강",
일동제약 비오비타 패밀리,"[주요성분] 프로바이오틱스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 60포 x 2개/섭취기간: 4개월/형태: 분말/특징: 스틱형",
뉴트리원 뉴트리원라이프 바이오센셜 100억 시크릿 유산균,"프리바이오틱스/섭취대상: 성인남녀/형태: 캡슐,정",
미니막스 랩 구강 솔루션,"프로바이오틱스/섭취횟수, 양: 1일 1~3정/섭취기간: 10일분/형태: 캡슐,정, 캔디,츄어블",
헬스프랜드 락토바이오틱 맥스 프로바이오틱스 유산균,"프로바이오틱스/보장균수(CFU): 100억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1캡슐/섭취기간: 2개월분/형태: 캡슐,정/건강기능식품/기능성: 장 건강",
총영하이 프로 베베 D,"프로바이오틱스/보장균수(CFU): 12억 CFU/섭취대상: 유아,청소년/섭취횟수, 양: 1일 1회, 0.25ml/섭취기간: 40일분/형태: 음료(액상)/건강기능식품/기능성: 관절, 연골 건강, 면역력 증진, 장 건강",
씨티씨바이오 래디웰 프로바이오틱스 클리어런스,"프로바이오틱스/보장균수(CFU): 100억 CFU/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1정/섭취기간: 1개월분/형태: 캡슐,정/건강기능식품/GMP/기능성: 장 건강",
코스맥스엔비티 드시모네 프라임+ 바나바잎선물세트,"프로바이오틱스/섭취대상: 성인남녀/형태: 캡슐,정/건강기능식품",
