Name,Spec,ImageURL
담터 대추차 플러스,대추차/스틱형/총량: 50T/원산지: 국내산/1T당: 15g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\담터 대추차 플러스.jpg
담터 꿀유자차A,유자차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\담터 꿀유자차A.jpg
합천생약가공영농조합법인 산그리메 구기자차 삼각티백,구기자차/티백형/총량: 100T/원산지: 국내산/1T당: 1g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\합천생약가공영농조합법인 산그리메 구기자차 삼각티백.jpg
다농원 유자차[],유자차/용기형,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\다농원 유자차[].jpg
아모레퍼시픽 오설록 삼다 꿀배 티,기타 차/티백형/총량: 20T/원산지: 국내산/1T당: 1.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\아모레퍼시픽 오설록 삼다 꿀배 티.jpg
초록원 유자플러스,유자차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\초록원 유자플러스.jpg
아모레퍼시픽 오설록 제주 삼다 영귤 티,귤차/티백형/총량: 80T/원산지: 국내산/1T당: 1.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\아모레퍼시픽 오설록 제주 삼다 영귤 티.jpg
담터 꿀유자차,유자차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\담터 꿀유자차.jpg
초록원 꿀자몽차,자몽차/액상/원산지: 외국산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\초록원 꿀자몽차.jpg
꽃샘식품 꿀대추차,대추차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\꽃샘식품 꿀대추차.jpg
아일레스 디럭스 애플,티백형/총량: 25T/1T당: 2.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\아일레스 디럭스 애플.jpg
티젠 자몽쏙,자몽차/스틱형/총량: 30T/1T당: 5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\티젠 자몽쏙.jpg
해맑음 겨울향기 유자청,유자차/액상,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\해맑음 겨울향기 유자청.jpg
꽃샘식품 레몬차S,레몬차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\꽃샘식품 레몬차S.jpg
꽃샘식품 꿀유자차S,유자차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\꽃샘식품 꿀유자차S.jpg
꽃샘식품 꿀석류,석류차/액상/원산지: 외국산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\꽃샘식품 꿀석류.jpg
신성에프엔비 해맑음 겨울향기 생강청,용기형,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\신성에프엔비 해맑음 겨울향기 생강청.jpg
복음자리 배를 넣어 부드러운 유자차,유자차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\복음자리 배를 넣어 부드러운 유자차.jpg
선운산농협 고창 선운산 복분자,복분자차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\선운산농협 고창 선운산 복분자.jpg
초록원 제주청귤차,귤차/액상,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\초록원 제주청귤차.jpg
담터 꿀모과차,모과차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\담터 꿀모과차.jpg
오뚜기 힐링타임 대추차,대추차/액상/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\유자_과일차\오뚜기 힐링타임 대추차.jpg
