Name,Spec,ImageURL
세우 양지뜰 사골분말,소스/드레싱/시럽/육수/사골육수/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\육수_찌개양념\세우 양지뜰 사골분말.jpg
오뚜기 사골분말,소스/드레싱/시럽/육수/사골육수/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\육수_찌개양념\오뚜기 사골분말.jpg
청우식품 첫맛 만능 멸치육수,"소스/드레싱/시럽/육수/멸치육수/대용량(업소용)/정제염(국내산), 야채짬뽕베이스(중국산), 멸치(국내산) 등",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\육수_찌개양념\청우식품 첫맛 만능 멸치육수.jpg
청수식품 청수 우동다시,"소스/드레싱/시럽/육수/우동,오뎅소스/보관방법: 실온보관/대용량(업소용)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\육수_찌개양념\청수식품 청수 우동다시.jpg
면사랑 멸치육수,"소스/드레싱/시럽/육수/멸치육수/대용량(업소용)/정제염(국내산), 멸치분말(국내산)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\육수_찌개양념\면사랑 멸치육수.jpg
기꼬만 혼쯔유,소스/드레싱/시럽/육수/소바소스/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\육수_찌개양념\기꼬만 혼쯔유.jpg
미쯔칸 쯔유,소스/드레싱/시럽/육수/소바소스/보관방법: 실온보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\육수_찌개양념\미쯔칸 쯔유.jpg
소스락 백년육수 80알,소스/드레싱/시럽/육수/특징: 코인육수,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\육수_찌개양념\소스락 백년육수 80알.jpg
빅마마씨푸드 해통령 육수한알 진한맛 25알,소스/드레싱/시럽/육수/특징: 코인육수,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\육수_찌개양념\빅마마씨푸드 해통령 육수한알 진한맛 25알.jpg
청록푸드 사골농축액 액기스,소스/드레싱/시럽/육수/사골육수/보관방법: 냉장보관,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\육수_찌개양념\청록푸드 사골농축액 액기스.jpg
