Name,Spec,ImageURL
담터 호두 아몬드 율무차,율무차/스틱형/총량: 130T/원산지: 외국산/1T당: 18g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\율무_곡물차\담터 호두 아몬드 율무차.jpg
동서식품 동서 보리차,보리차/티백형/총량: 30T/원산지: 국내산/1T당: 10g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\율무_곡물차\동서식품 동서 보리차.jpg
동서식품 한잔용 보리차,보리차/티백형/총량: 100T/원산지: 국내산/1T당: 1.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\율무_곡물차\동서식품 한잔용 보리차.jpg
동서식품 동서 둥굴레차,둥굴레차/티백형/총량: 100T/원산지: 외국산/1T당: 1.2g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\율무_곡물차\동서식품 동서 둥굴레차.jpg
쌍계명차 김동곤 명인이 만든 새싹보리차,보리차/티백형/총량: 40T/1T당: 0.7g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\율무_곡물차\쌍계명차 김동곤 명인이 만든 새싹보리차.jpg
다농원 누룽지 둥굴레차,둥굴레차/티백형/총량: 100T/원산지: 국내산/1T당: 1.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\율무_곡물차\다농원 누룽지 둥굴레차.jpg
담터 옥수수수염차,옥수수차/티백형/총량: 100T/원산지: 외국산/1T당: 1.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\율무_곡물차\담터 옥수수수염차.jpg
동일에프앤티 호두 아몬드 율무차,율무차/스틱형/총량: 50T/원산지: 외국산/1T당: 18g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\율무_곡물차\동일에프앤티 호두 아몬드 율무차.jpg
담터 보리차,보리차/티백형/총량: 200T/1T당: 1.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\율무_곡물차\담터 보리차.jpg
담터 누룽지 둥굴레차,둥굴레차/티백형/총량: 100T/1T당: 1.5g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\율무_곡물차\담터 누룽지 둥굴레차.jpg
오뚜기 오쉐프 오곡 잣 호두 율무차,율무차/분말/원산지: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\율무_곡물차\오뚜기 오쉐프 오곡 잣 호두 율무차.jpg
고려인삼제품공사 고향 호두 아몬드 율무차,율무차/스틱형/총량: 10T/원산지: 외국산/1T당: 18g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\율무_곡물차\고려인삼제품공사 고향 호두 아몬드 율무차.jpg
유안종합식품 율무차,율무차/분말/원산지: 외국산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\율무_곡물차\유안종합식품 율무차.jpg
