Name,Spec,ImageURL
닥터스베스트 코큐텐,"[주요성분] 코큐텐(코엔자임Q10)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 360캡슐/섭취기간: 12개월/형태: 캡슐,정/특징: 해외구매, 베지캡슐형",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\이너뷰티_글루타치온\닥터스베스트 코큐텐.jpg
뉴트리 에버콜라겐 타임 비오틴 셀입,"[주요성분] 콜라겐/비오틴/분자량: 285Da(달톤)/저분자 피쉬 콜라겐 펩타이드/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 180포/섭취기간: 6개월/형태: 분말/특징: 스틱형, 선물세트/
[인증] 건강기능식품/기능성: 피부 건강, 피부 보습/
[기능성분] Gly-Pro-Hyp: 30mg/비오틴: 1,200㎍/아연: 8.5mg/셀레늄: 55㎍",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\이너뷰티_글루타치온\뉴트리 에버콜라겐 타임 비오틴 셀입.jpg
뉴트리코어 블루션,"[주요성분] 오메가3/코로솔산(바나바잎)/코큐텐(코엔자임Q10)/홍국/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2캡슐/총량: 300캡슐/섭취기간: 5개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 기억력 개선, 눈 건강, 항산화, 혈당조절, 혈압조절, 혈중 중성지질 개선, 혈중 콜레스테롤 개선, 혈행개선/
[기능성분] EPA+DHA: 950mg/코엔자임Q10: 90mg/모나콜린K: 4mg/코로솔산: 0.54mg/비타민E: 11mgα-TE/비타민c: 100mg/셀렌: 55㎍/망간: 3mg/비타민B6: 15mg/엽산: 1,200㎍/비타민B12: 24㎍/비타민B2: 14mg/나이아신: 30mgNE (쇼핑몰 상세정보 확인)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\이너뷰티_글루타치온\뉴트리코어 블루션.jpg
바이오360 여에스더 리포좀 글루타치온 다이렉트 울트라X,"글루타치온/섭취대상: 성인여성, 성인남성/섭취횟수, 양: 1일 1회, 1포/형태: 구강용해필름/기능성: 피부 건강",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\이너뷰티_글루타치온\바이오360 여에스더 리포좀 글루타치온 다이렉트 울트라X.jpg
에스더포뮬러 여에스더 글루타치온 다이렉트 5X,"[주요성분] 글루타치온/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 30포/섭취기간: 1개월/형태: 구강용해필름",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\이너뷰티_글루타치온\에스더포뮬러 여에스더 글루타치온 다이렉트 5X.jpg
닥터린 블러드 케어,"[주요성분] 오메가3/코로솔산(바나바잎)/코큐텐(코엔자임Q10)/홍국/rTG형(3세대)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2캡슐/총량: 60캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 기억력 개선, 눈 건강, 항산화, 혈당조절, 혈압조절, 혈중 중성지질 개선, 혈중 콜레스테롤 개선, 혈행개선/
[기능성분] EPA+DHA: 950mg/코엔자임Q10: 90mg/총 모나콜린K: 4mg/코로솔산: 0.54mg/비타민E: 11mgα-TE/비타민C: 100mg/셀렌: 55㎍/망간: 3mg/비타민B6: 6mg/엽산: 1000㎍/비타민B12: 6㎍/비타민B2: 3.5mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\이너뷰티_글루타치온\닥터린 블러드 케어.jpg
셀게이트 더 화이트 글루타치온 40,"[주요성분] 글루타치온/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 30포/섭취기간: 1개월/형태: 분말/특징: 스틱형",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\이너뷰티_글루타치온\셀게이트 더 화이트 글루타치온 40.jpg
아모레퍼시픽 바이탈뷰티 슈퍼콜라겐,"[주요성분] 콜라겐/비오틴/AP콜라겐효소분해펩타이드/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회당 1병/총량: 28병/섭취기간: 4주/형태: 음료(액상)/
[인증] 건강기능식품/GMP/기능성: 피부 건강, 피부 보습/
[기능성분] Gly-Pro-Hyp: 36mg/셀렌: 55㎍/비오틴: 150㎍",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\이너뷰티_글루타치온\아모레퍼시픽 바이탈뷰티 슈퍼콜라겐.jpg
GNM자연의품격 코큐텐11,"[주요성분] 코큐텐(코엔자임Q10)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 항산화, 혈압조절/
[기능성분] 코엔자임Q10: 100mg/비타민B1: 0.6mg/비타민B2: 0.7mg/비타민B6: 0.75mg/나이아신: 7.5mgNE/크롬: 15㎍/아연: 4.25mg/판토텐산: 2.5mg/셀레늄: 27.5㎍/엽산: 200㎍/비오틴: 15㎍",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\이너뷰티_글루타치온\GNM자연의품격 코큐텐11.jpg
나우푸드 글루타치온,"[주요성분] 글루타치온/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 120캡슐/섭취기간: 4개월/형태: 캡슐,정/특징: 해외구매, 베지캡슐형",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\이너뷰티_글루타치온\나우푸드 글루타치온.jpg
