Name,Spec,ImageURL
호멜 스키피 수퍼 청크 땅콩버터,소스/드레싱/시럽/잼/땅콩잼/땅콩(외국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\호멜 스키피 수퍼 청크 땅콩버터.jpg
Liberty Gold 리고 땅콩버터 크리미,소스/드레싱/시럽/잼/땅콩잼/땅콩(외국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\Liberty Gold 리고 땅콩버터 크리미.jpg
호멜 스키피 크리미 땅콩버터,소스/드레싱/시럽/잼/땅콩잼/땅콩(외국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\호멜 스키피 크리미 땅콩버터.jpg
오뚜기 딸기잼,소스/드레싱/시럽/잼/딸기잼/대용량(업소용)/딸기(국내산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\오뚜기 딸기잼.jpg
이마트 노브랜드 피넛버터 크리미,소스/드레싱/시럽/잼/땅콩잼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\이마트 노브랜드 피넛버터 크리미.jpg
아모레퍼시픽 오설록 녹차 밀크 스프레드,"소스/드레싱/시럽/잼/기타잼/가루설녹차(국내산), 전지분유(외국산), 탈지분유(외국산)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\아모레퍼시픽 오설록 녹차 밀크 스프레드.jpg
복음자리 딸기잼,소스/드레싱/시럽/잼/딸기잼/딸기(국내산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\복음자리 딸기잼.jpg
페레로 누텔라 헤이즐넛 코코아 스프레드,"소스/드레싱/시럽/잼/초코잼/대용량(업소용)/헤이즐넛(외국산), 저지방코코아파우더(외국산)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\페레로 누텔라 헤이즐넛 코코아 스프레드.jpg
초록원 딸기잼,소스/드레싱/시럽/잼/딸기잼/딸기(국내산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\초록원 딸기잼.jpg
선인 크리미 피넛버터,소스/드레싱/시럽/잼/땅콩잼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\선인 크리미 피넛버터.jpg
오뚜기 딸기쨈,소스/드레싱/시럽/잼/딸기잼/일회용/딸기(국내산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\오뚜기 딸기쨈.jpg
피넛버터앤코 땅콩버터 크런치타임,소스/드레싱/시럽/잼/땅콩잼/땅콩(미국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\피넛버터앤코 땅콩버터 크런치타임.jpg
가림 딸기쨈,소스/드레싱/시럽/잼/딸기잼/대용량(업소용)/딸기(국내산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\가림 딸기쨈.jpg
이마트 노브랜드 딸기잼,소스/드레싱/시럽/잼/딸기잼/딸기(국내산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\이마트 노브랜드 딸기잼.jpg
알티스트 설탕대신 스테비아 딸기잼,소스/드레싱/시럽/잼/유리/국내산(딸기 50%),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\알티스트 설탕대신 스테비아 딸기잼.jpg
스머커스 딸기잼,소스/드레싱/시럽/잼/딸기잼/딸기(미국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\스머커스 딸기잼.jpg
이마트 노브랜드 피넛버터 크런치,소스/드레싱/시럽/잼/땅콩잼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\이마트 노브랜드 피넛버터 크런치.jpg
The Leavitt Corporation 테디 무염 땅콩버터 수퍼청키,소스/드레싱/시럽/잼/땅콩잼/유리/땅콩(미국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\The Leavitt Corporation 테디 무염 땅콩버터 수퍼청키.jpg
복음자리 45도 과일잼 딸기,소스/드레싱/시럽/잼/딸기잼/딸기(국내산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\복음자리 45도 과일잼 딸기.jpg
복음자리 무농약 무화과로 만든잼,소스/드레싱/시럽/잼/유리/무화과(국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\복음자리 무농약 무화과로 만든잼.jpg
오뚜기 블루베리잼,소스/드레싱/시럽/잼/과일잼/블루베리(외국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\오뚜기 블루베리잼.jpg
피넛버터앤코 땅콩버터 스무스 오퍼레이터,소스/드레싱/시럽/잼/땅콩잼/땅콩(미국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\피넛버터앤코 땅콩버터 스무스 오퍼레이터.jpg
클레망포지에 크렘드마롱 크렘드마롱 밤잼 병 JAR,소스/드레싱/시럽/잼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\클레망포지에 크렘드마롱 크렘드마롱 밤잼 병 JAR.jpg
닥터트루 닥터트루 스윗비아 잼 초코[],소스/드레싱/시럽/잼/기타잼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\닥터트루 닥터트루 스윗비아 잼 초코[].jpg
부국식품 사과잼,소스/드레싱/시럽/잼/사과잼/대용량(업소용)/사과(국내산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\부국식품 사과잼.jpg
복음자리 잼다운 잼 딸기 라즈베리,소스/드레싱/시럽/잼/딸기잼/딸기(국내산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\복음자리 잼다운 잼 딸기 라즈베리.jpg
복음자리 45도 과일잼 사과,소스/드레싱/시럽/잼/사과잼/사과(국내산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\복음자리 45도 과일잼 사과.jpg
유리아 포레스티 피넛버터,소스/드레싱/시럽/잼/땅콩잼/유리/땅콩(아르헨티나),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\유리아 포레스티 피넛버터.jpg
주에그 밤잼,소스/드레싱/시럽/잼/기타잼/밤퓨레(외국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\주에그 밤잼.jpg
오뚜기 1회용 디스펜팩 딸기잼,소스/드레싱/시럽/잼/일회용/대용량(업소용)/딸기(국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\오뚜기 1회용 디스펜팩 딸기잼.jpg
Liberty Gold 리고 땅콩버터 청키,소스/드레싱/시럽/잼/땅콩잼/볶은땅콩(미국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\Liberty Gold 리고 땅콩버터 청키.jpg
샹달프 미니잼 4종,소스/드레싱/시럽/잼/잼 선물세트/구성: 딸기잼 28g+블루베리잼 28g+라즈베리앤석류잼 28g+크랜베리위드블루베리잼 28g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\샹달프 미니잼 4종.jpg
본마망 밤 스프레드,소스/드레싱/시럽/잼/기타잼/밤퓨레(외국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\본마망 밤 스프레드.jpg
본마망 딸기잼,소스/드레싱/시럽/잼/딸기잼/딸기(외국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\본마망 딸기잼.jpg
피스티 피스타치오 크림 스프레드,소스/드레싱/시럽/잼/기타잼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\피스티 피스타치오 크림 스프레드.jpg
아워홈 딸기쨈,소스/드레싱/시럽/잼/딸기잼/스파우트팩/대용량(업소용),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\아워홈 딸기쨈.jpg
코스트코 코스트코 LES COMTES DE PROVENCE 딸기잼,소스/드레싱/시럽/잼/딸기잼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\코스트코 코스트코 LES COMTES DE PROVENCE 딸기잼.jpg
Liberty Gold 리고 땅콩버터 청크,소스/드레싱/시럽/잼/플라스틱,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\Liberty Gold 리고 땅콩버터 청크.jpg
샹달프 과일잼 4종 선물세트,소스/드레싱/시럽/잼/잼 선물세트/구성: 블루베리잼 284g+딸기잼 284g+금귤잼 284g+무화과잼 284g,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\샹달프 과일잼 4종 선물세트.jpg
글로리 싱가포르 카야잼 노슈가,소스/드레싱/시럽/잼/기타잼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\글로리 싱가포르 카야잼 노슈가.jpg
쥬피터 저온농축 딸기잼,소스/드레싱/시럽/잼/딸기잼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\쥬피터 저온농축 딸기잼.jpg
복음자리 블루베리 듬뿍 생생과일잼,소스/드레싱/시럽/잼/과일잼/유리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\복음자리 블루베리 듬뿍 생생과일잼.jpg
주에그 오렌지잼,소스/드레싱/시럽/잼/과일잼/오렌지(독일산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\주에그 오렌지잼.jpg
진산푸드 딸기쨈,소스/드레싱/시럽/잼/딸기잼/대용량(업소용)/딸기(국내산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\진산푸드 딸기쨈.jpg
오뚜기 라이트슈가 사과쨈,소스/드레싱/시럽/잼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\오뚜기 라이트슈가 사과쨈.jpg
복음자리 45도 과일잼 블루베리,소스/드레싱/시럽/잼/과일잼/블루베리(미국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\복음자리 45도 과일잼 블루베리.jpg
스머커스 구버 포도 땅콩버터,소스/드레싱/시럽/잼/땅콩잼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\스머커스 구버 포도 땅콩버터.jpg
JAMMINT 74% 딸기잼,소스/드레싱/시럽/잼/딸기잼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\JAMMINT 74% 딸기잼.jpg
무화당 초코잼,소스/드레싱/시럽/잼/초코잼/유리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\무화당 초코잼.jpg
복음자리 짜먹는 무농약 딸기잼,소스/드레싱/시럽/잼/딸기잼/튜브형,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\복음자리 짜먹는 무농약 딸기잼.jpg
CJ프레시웨이 이츠웰 상큼한 딸기가 살아있는 딸기잼,소스/드레싱/시럽/잼/딸기잼/대용량(업소용)/딸기(국내산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\CJ프레시웨이 이츠웰 상큼한 딸기가 살아있는 딸기잼.jpg
오뚜기 일회용 딸기잼/일회용잼 일회용쨈 딸기쨈,소스/드레싱/시럽/잼/딸기잼/일회용/대용량(업소용),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\오뚜기 일회용 딸기잼_일회용잼 일회용쨈 딸기쨈.jpg
호멜 스키피 수퍼크런치 땅콩버터,소스/드레싱/시럽/잼/땅콩잼/땅콩(외국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\호멜 스키피 수퍼크런치 땅콩버터.jpg
퀸즈트리 피넛버터 스무스,소스/드레싱/시럽/잼/땅콩잼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\퀸즈트리 피넛버터 스무스.jpg
복음자리 사각사각 사과잼,소스/드레싱/시럽/잼/사과잼/유리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\복음자리 사각사각 사과잼.jpg
잼홀릭 옳곡 땅콩버터 크런치[],소스/드레싱/시럽/잼/땅콩잼/유리/땅콩(국내산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\잼홀릭 옳곡 땅콩버터 크런치[].jpg
대상 청정원 딸기잼,소스/드레싱/시럽/잼/과일잼/유리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\대상 청정원 딸기잼.jpg
가림 딸기잼,소스/드레싱/시럽/잼/캔/대용량(업소용)/딸기(국산),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\가림 딸기잼.jpg
클레망포지에 크렘드마롱 밤잼 그랑 선물세트,소스/드레싱/시럽/잼/기타잼/잼 선물세트,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\클레망포지에 크렘드마롱 밤잼 그랑 선물세트.jpg
복음자리 딸기듬뿍 생생과일잼,소스/드레싱/시럽/잼/딸기잼/유리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\잼류_스프레드\복음자리 딸기듬뿍 생생과일잼.jpg
