Name,Spec,ImageURL
롯데칠성음료 펩시콜라 제로슈거 라임향,"탄산음료/콜라/포장형태: 페트/제로칼로리/박스/
[영양정보] 1회 제공량 500ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 135mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\롯데칠성음료 펩시콜라 제로슈거 라임향.jpg
코카콜라음료 코카콜라 제로,"탄산음료/콜라/포장형태: 페트/제로칼로리/박스/
[영양정보] 1회 제공량 250ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 19mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\코카콜라음료 코카콜라 제로.jpg
동아오츠카 나랑드 사이다 제로,"탄산음료/사이다/포장형태: 페트/제로칼로리/박스/
[영양정보] 1회 제공량 200ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 20mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\동아오츠카 나랑드 사이다 제로.jpg
롯데칠성음료 핫식스 더킹 제로,"에너지드링크/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 355ml당 열량: 10kcal/탄수화물: 8.5g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 120mg/에리스리톨: 6g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\롯데칠성음료 핫식스 더킹 제로.jpg
롯데칠성음료 펩시콜라 제로슈거 라임향 제로 카페인,"탄산음료/콜라/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 355ml당 열량: 0kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\롯데칠성음료 펩시콜라 제로슈거 라임향 제로 카페인.jpg
코카콜라음료 닥터페퍼 제로,"탄산음료/그외 음료/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 355ml당 열량: 0kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 30mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\코카콜라음료 닥터페퍼 제로.jpg
롯데칠성음료 밀키스 제로,"탄산음료/밀크소다/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 250ml당 열량: 8kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\롯데칠성음료 밀키스 제로.jpg
농심 웰치 제로 그레이프맛,"탄산음료/환타·웰치스/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 355ml당 열량: 0kcal/탄수화물: 8g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0mg/알룰로오스: 8g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\농심 웰치 제로 그레이프맛.jpg
롯데칠성음료 핫식스 제로,"에너지드링크/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 250ml당 열량: 8kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\롯데칠성음료 핫식스 제로.jpg
코카콜라음료 몬스터에너지 제로 슈거,에너지드링크/포장형태: 캔/제로칼로리/박스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\제로칼로리음료\코카콜라음료 몬스터에너지 제로 슈거.jpg
