Name,Spec,ImageURL
부샤드 다크 72% 초콜릿,초콜릿,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\부샤드 다크 72% 초콜릿.jpg
페레로 페레로로쉐 T,초콜릿/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\페레로 페레로로쉐 T.jpg
하리보 골드베렌,젤리/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\하리보 골드베렌.jpg
하리보 젤리 초코 마쉬멜로우 소프트키스,젤리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\하리보 젤리 초코 마쉬멜로우 소프트키스.jpg
코스트코 커클랜드 밀크 초콜릿 아몬드,초코볼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\코스트코 커클랜드 밀크 초콜릿 아몬드.jpg
트레핀 벨기안 커피맛 스위트 캔디,사탕/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\트레핀 벨기안 커피맛 스위트 캔디.jpg
농심 웰치스 믹스 후르츠 젤리입,젤리/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\농심 웰치스 믹스 후르츠 젤리입.jpg
위글리 이클립스 페퍼민트향,사탕,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\위글리 이클립스 페퍼민트향.jpg
해태제과 자유시간 미니,"초코바/180g/알레르기성분: 대두, 땅콩, 우유/
[영양정보] 표시기준분량: 10g(1개)/열량: 45kcal/탄수화물: 6g/당류: 4.4g/단백질: 0.9g/지방: 2.2g/포화지방: 1.1g/트랜스지방: 0.01g/콜레스테롤: 0.9mg/나트륨: 20mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\해태제과 자유시간 미니.jpg
하리보 스타믹스,젤리/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\하리보 스타믹스.jpg
부샤드 카라멜 씨솔트 밀크 초콜릿,초콜릿,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\부샤드 카라멜 씨솔트 밀크 초콜릿.jpg
어거스트스톡 웨더스 오리지널 크림 캔디,사탕/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\어거스트스톡 웨더스 오리지널 크림 캔디.jpg
마즈스니커즈 땅콩바,초코바,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\마즈스니커즈 땅콩바.jpg
리콜라 스위스 허브캔디 레몬민트맛,사탕,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\리콜라 스위스 허브캔디 레몬민트맛.jpg
페레로 포켓커피 에스프레소 투 고 썸머 에디션입,과자/초콜릿/디저트/초콜릿/초콜릿,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\페레로 포켓커피 에스프레소 투 고 썸머 에디션입.jpg
마요라 코피코 커피맛 캔디,사탕,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\마요라 코피코 커피맛 캔디.jpg
롯데웰푸드 82% 드림카카오 폴리페놀,초코볼,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\롯데웰푸드 82% 드림카카오 폴리페놀.jpg
미니 담라 어소티드 소프트캔디,사탕,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\미니 담라 어소티드 소프트캔디.jpg
롯데웰푸드 확 깨는 졸음 번쩍 껌 트윈리필,껌,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\롯데웰푸드 확 깨는 졸음 번쩍 껌 트윈리필.jpg
탑프루트 베트남 망고젤리 탑젤리,젤리/80g/알레르기성분: 우유/무지방/원산지: 중국/표시기준분량: 80g/열량: 272kcal/탄수화물: 67.9g/당류: 24g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 136mg,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\탑프루트 베트남 망고젤리 탑젤리.jpg
롯데웰푸드 자일리톨 알파 리필,"껌/168g/자일리톨67%/
[영양정보] 표시기준분량: 2.1g(1개)/열량: 4.8kcal/탄수화물: 2g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\롯데웰푸드 자일리톨 알파 리필.jpg
타야스 오리엔트 트러플 초콜릿,초콜릿/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\타야스 오리엔트 트러플 초콜릿.jpg
롯데웰푸드 가나 마일드 초콜릿,초콜릿,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\롯데웰푸드 가나 마일드 초콜릿.jpg
퍼페티반멜레 츄파춥스 미니입,사탕,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\퍼페티반멜레 츄파춥스 미니입.jpg
마요라 코피코 카푸치노맛 캔디,사탕,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\마요라 코피코 카푸치노맛 캔디.jpg
롯데웰푸드 드림카카오 72%,초콜릿,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\롯데웰푸드 드림카카오 72%.jpg
마즈이클립스 피치향,"사탕/무당/무염/표시기준분량: 34g/열량: 80kcal/탄수화물: 33g/당류: 0g/단백질: 0g/지방: 0,5g/포화지방: 0.5g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\마즈이클립스 피치향.jpg
농심 후르츠텔라 요구르트향,카라멜/사무실간식(소포장),C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\농심 후르츠텔라 요구르트향.jpg
롯데웰푸드 ABC 초콜릿,"초콜릿/187g/알레르기성분: 대두, 우유/저염/실온보관/
[영양정보] 표시기준분량: 187g/열량: 100g당 571kcal/탄수화물: 56g/당류: 56g/단백질: 8g/지방: 35g/포화지방: 23g/트랜스지방: 0.5g/콜레스테롤: 10mg/나트륨: 70mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\롯데웰푸드 ABC 초콜릿.jpg
린트 엑설런스 다크 99%,초콜릿,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\초콜릿_사탕_젤리\린트 엑설런스 다크 99%.jpg
