Name,Spec,ImageURL
네슬레 네스프레소 버츄오 캡슐 30종 세트,캡슐커피,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\네슬레 네스프레소 버츄오 캡슐 30종 세트.jpg
일리 프란시스 모노아라비카 콜롬비아 캡슐커피입,캡슐커피/맛: 에스프레소/사용머신: 일리/일리프란시스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\일리 프란시스 모노아라비카 콜롬비아 캡슐커피 21개입.jpg
일리 코스타리카 캡슐커피입,캡슐커피/맛: 에스프레소/사용머신: 일리/일리프란시스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\일리 코스타리카 캡슐커피 21개입.jpg
일리 클라시코 아메키라노 캡슐커피입,캡슐커피/맛: 에스프레소/사용머신: 일리/일리프란시스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\일리 클라시코 아메키라노 캡슐커피 18개입.jpg
일리 클라시코 미디엄 싱글플로우팩 캡슐커피,캡슐커피/맛: 에스프레소/사용머신: 일리/일리프란시스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\일리 클라시코 미디엄 싱글플로우팩 캡슐커피.jpg
일리 개별포장 스타트팩,캡슐커피/맛: 에스프레소/사용머신: 일리/일리프란시스,
일리 개별포장 볼드팩,캡슐커피/맛: 에스프레소/사용머신: 일리/일리프란시스,
일리 개별포장 마일드팩,캡슐커피/맛: 에스프레소/사용머신: 일리/일리프란시스,
일리 니카라과 싱글플로우팩 캡슐커피,캡슐커피/맛: 에스프레소/사용머신: 일리/일리프란시스,
일리 클라시코 룽고 싱글플로우팩 캡슐커피,캡슐커피/맛: 에스프레소/사용머신: 일리/일리프란시스,
일리 콜롬비아 싱글플로우팩 캡슐커피,캡슐커피/맛: 에스프레소/사용머신: 일리/일리프란시스,
일리 인텐소 룽고캡슐커피,캡슐커피/맛: 에스프레소/네스프레소 (호환),
일리 에티오피아 싱글플로우팩 캡슐커피,캡슐커피/맛: 에스프레소/사용머신: 일리/일리프란시스,
일리 콜롬비아 캡슐입,캡슐커피/맛: 에스프레소/사용머신: 일리/일리프란시스,
일리 모노아라비카 인디아 캡슐커피입,캡슐커피/맛: 에스프레소/사용머신: 일리/일리프란시스,
벨미오 드라이빙 유 헤이즐넛 캡슐커피입,캡슐커피/맛: 에스프레소/캡슐 총량: 10개/네스프레소(호환),
벨미오 비바 라 바닐라 캡슐커피입,캡슐커피/맛: 에스프레소/캡슐 총량: 10개/네스프레소(호환),
벨미오 마담 크림 브륄레 캡슐커피입,캡슐커피/맛: 에스프레소/캡슐 총량: 10개/네스프레소(호환),
