Name,Spec,ImageURL
코카콜라음료 조지아 맥스 커피,"커피음료/카페라떼/캔/
[영양정보]/1회 제공량 240ml당 열량: 121kcal/탄수화물: 24g/당류: 20g/단백질: 2g/지방: 1.9g/포화지방: 1.3g/트랜스지방: 0g/콜레스테롤: 7mg/나트륨: 60mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\코카콜라음료 조지아 맥스 커피.jpg
롯데칠성음료 레쓰비 마일드 커피,"커피음료/카페라떼/캔/
[영양정보]/1회 제공량 175ml당 열량: 55kcal/탄수화물: 12g/당류: 12g/단백질: 1g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스트롤: 0mg/나트륨: 85mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\롯데칠성음료 레쓰비 마일드 커피.jpg
코카콜라음료 조지아 크래프트 디카페인 블랙,커피음료/아메리카노/1회 제공량 470ml당 열량: 13kcal,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\코카콜라음료 조지아 크래프트 디카페인 블랙.jpg
코카콜라음료 조지아 오리지널,"커피음료/카페라떼/캔/
[영양정보]/1회 제공량 175ml당 열량: 70kcal/탄수화물: 15g/당류: 12g/단백질: 0.8g/지방: 0.8g/포화지방: 0.5g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 41mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\코카콜라음료 조지아 오리지널.jpg
스타벅스 프라푸치노 모카,"커피음료/카페라떼/맛: 모카(초콜릿)/병/
[영양정보]/1회 제공량 281ml당 열량: 160kcal/탄수화물: 27g/당류: 27g/단백질: 5g/지방: 3.3g/포화지방: 2.1g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 120mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\스타벅스 프라푸치노 모카.jpg
빙그레 아카페라 심플리 디카페인 아메리카노,"커피음료/아메리카노/페트/
[영양정보]/1회 제공량 400ml당 열량: 16kcal/탄수화물: 2.5g/당류: 0g/단백질: 0.8g/지방: 0.3g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 40mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\빙그레 아카페라 심플리 디카페인 아메리카노.jpg
코카콜라음료 조지아 크래프트 카페라떼,"커피음료/카페라떼/페트/
[영양정보]/1회 제공량 470ml당 열량: 130kcal/탄수화물: 23g/당류: 23g/단백질: 2g/지방: 3.3g/포화지방: 2.1g/트랜스지방: 0g/콜레스트롤: 10mg/나트륨: 79mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\코카콜라음료 조지아 크래프트 카페라떼.jpg
코카콜라음료 조지아 크래프트 콜드브루 블랙,"커피음료/아메리카노/페트/
[영양정보]/1회 제공량 470ml당 열량: 16kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\코카콜라음료 조지아 크래프트 콜드브루 블랙.jpg
빙그레 아카페라 올데이 아메리카노,"커피음료/아메리카노/페트/
[영양정보]/1회 제공량 1L당 열량: 40kcal/탄수화물: 6g/당류: 0g/단백질: 3.3g/지방: 0.3g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0.3mg/나트륨: 90mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\빙그레 아카페라 올데이 아메리카노.jpg
롯데칠성음료 레쓰비 그란데 헤이즐넛,"커피음료/아메리카노/맛: 헤이즐넛/페트/
[영양정보]/1회 제공량 500ml당 열량: 125kcal/탄수화물: 30g/당류: 30g/단백질: 1g 미만/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 105mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\롯데칠성음료 레쓰비 그란데 헤이즐넛.jpg
동서식품 맥심 티오피 심플리스무스 블랙,"커피음료/아메리카노/페트/
[영양정보]/1회 제공량 240ml당 열량: 4kcal/탄수화물: 1g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 2mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\동서식품 맥심 티오피 심플리스무스 블랙.jpg
동서식품 맥심 티오피 더블랙,"커피음료/아메리카노/캔/
[영양정보]/1회 제공량 100ml당 열량: 3kcal/탄수화물: 1g미만/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 15mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\동서식품 맥심 티오피 더블랙.jpg
동서식품 맥심 티오피 스위트 아메리카노,"커피음료/아메리카노/캔/
[영양정보]/1회 제공량 275ml당 열량: 48kcal/탄수화물: 12g/당류: 11g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 35mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\동서식품 맥심 티오피 스위트 아메리카노.jpg
코카콜라음료 조지아 크래프트 블랙,"커피음료/아메리카노/페트/
[영양정보]/1회 제공량 470ml당 열량: 12kcal/나트륨: 79mg/탄수화물: 2g/당류: 0g/지방: 0g/트랜스지방: 0g/포화지방: 0g/콜레스테롤: 0mg/단백질: 1g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\코카콜라음료 조지아 크래프트 블랙.jpg
스타벅스 카페라떼,"커피음료/카페라떼/컵/
[영양정보]/1회 제공량 270ml당 열량: 215kcal/탄수화물: 23g/당류: 20g/단백질: 6.1g/지방: 10.8g/포화지방: 5.7g/트랜스지방: 0.3g/콜레스테롤: 33mg/나트륨: 154mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\스타벅스 카페라떼.jpg
롯데칠성음료 레쓰비 그란데 라떼,커피음료/카페라떼/페트,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\롯데칠성음료 레쓰비 그란데 라떼.jpg
스타벅스 더블샷 에스프레소&크림,"커피음료/카페라떼/캔/
[영양정보]/1회 제공량 275ml당 열량: 165kcal/탄수화물: 28g/당류: 27g/단백질: 5.2g/지방: 3.3g/포화지방: 1.9g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 115mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\스타벅스 더블샷 에스프레소&크림.jpg
동서식품 맥심 티오피 마스터 라떼,"커피음료/카페라떼/캔/
[영양정보]/1회 제공량 200ml당 열량: 78kcal/탄수화물: 13g/당류: 13g/단백질: 1.6g/지방: 2.2g/포화지방: 1.6g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 35mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\동서식품 맥심 티오피 마스터 라떼.jpg
빙그레 아카페라 사이즈업 카페라떼,"커피음료/카페라떼/페트/
[영양정보]/1회 제공량 350ml당 열량: 145kcal/탄수화물: 20g/당류: 16g/단백질: 5g/지방: 5g/포화지방: 3.5g/트랜스지방: 0g/나트륨: 80mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\빙그레 아카페라 사이즈업 카페라떼.jpg
매일유업 바리스타룰스 로어 슈거 에스프레소 라떼,"커피음료/카페라떼/컵/
[영양정보]/1회 제공량 250ml당 열량: 138kcal/탄수화물: 17g/당류: 14g/단백질: 5g/지방: 5.5g/포화지방: 4g/트랜스지방: 0g/콜레스테롤: 17mg/나트륨: 140mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\매일유업 바리스타룰스 로어 슈거 에스프레소 라떼.jpg
롯데푸드 칸타타 콘트라베이스 블랙&샷,"커피음료/아메리카노/페트/
[영양정보]/1회 제공량 500ml당 열량: 21kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\롯데푸드 칸타타 콘트라베이스 블랙&샷.jpg
동서식품 맥스웰하우스 콜롬비아나 마스터 라떼,커피음료/카페라떼/페트,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\동서식품 맥스웰하우스 콜롬비아나 마스터 라떼.jpg
빙그레 아카페라 심플리 아메리카노,"커피음료/아메리카노/페트/
[영양정보]/1회 제공량 400ml당 열량: 14kcal/탄수화물: 2g/당류: 0g/단백질: 0.9g/지방: 0.3g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 40mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\빙그레 아카페라 심플리 아메리카노.jpg
동서식품 맥심 티오피 심플리스무스 라떼,"커피음료/카페라떼/페트/
[영양정보]/1회 제공량 240ml당 열량: 130kcal/탄수화물: 18g/당류: 18g/단백질: 3g/지방: 49g/포화지방: 3.1g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 90mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\동서식품 맥심 티오피 심플리스무스 라떼.jpg
롯데푸드 칸타타 콘트라베이스 콜드브루 블랙,"커피음료/아메리카노/페트/
[영양정보]/1회 제공량 100ml당 열량: 4kcal/탄수화물: 0.7g/당류: 0.7g/단백질: 0.2g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 20mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\롯데푸드 칸타타 콘트라베이스 콜드브루 블랙.jpg
코카콜라음료 조지아 카페라떼,"커피음료/카페라떼/캔/
[영양정보]/1회 제공량 240ml당 열량: 118kcal/탄수화물: 23g/당류: 18g/단백질: 2g/지방: 2g/포화지방: 1.4g/트랜스지방: 0g/콜레스테롤: 7mg/나트륨: 79mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\코카콜라음료 조지아 카페라떼.jpg
빙그레 아카페라 올데이 헤이즐넛 아메리카노,"커피음료/아메리카노/맛: 헤이즐넛/페트/
[영양정보]/1회 제공량 1L당 열량: 243kcal/탄수화물: 56g/당류: 50g/단백질: 4g/지방: 0.3g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 96mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\빙그레 아카페라 올데이 헤이즐넛 아메리카노.jpg
코카콜라음료 조지아 크래프트 스위트블랙,"커피음료/아메리카노/페트/
[영양정보]/1회 제공량 470ml당 열량: 72kcal/탄수화물: 17g/당류: 15g/단백질: 0.9g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 71mg/카페인함량: 120mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\코카콜라음료 조지아 크래프트 스위트블랙.jpg
이디야 트리플 아메리카노,"커피음료/아메리카노/페트/
[영양정보]/1회 제공량 500ml당 열량: 15kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\이디야 트리플 아메리카노.jpg
롯데푸드 칸타타 콘트라베이스 스위트 아몬드 제로슈거,"커피음료/아메리카노/페트/
[영양정보]/1회 제공량 500ml당 열량: 6kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\롯데푸드 칸타타 콘트라베이스 스위트 아몬드 제로슈거.jpg
빙그레 아카페라 스페셜티 에티오피아 예가체프,"커피음료/아메리카노/페트/
[영양정보]/1회 제공량 460ml당 열량: 12kcal/나트륨: 25mg/탄수화물: 2g/당류: 0g/지방: 0g/트랜스지방: 0g/포화지방: 0g/콜레스테롤: 0mg/단백질: 1g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\빙그레 아카페라 스페셜티 에티오피아 예가체프.jpg
동서식품 맥심 티오피 미디엄 로스트 돌체 라떼,"커피음료/카페라떼/맛: 돌체(연유)/캔/
[영양정보]/1회 제공량 275ml당 열량: 132kcal/탄수화물: 23g/당류: 22g/단백질: 2.2g/지방: 3.5g/포화지방: 1.8g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 40mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\동서식품 맥심 티오피 미디엄 로스트 돌체 라떼.jpg
코카콜라 조지아 크래프트 저칼로리라떼,커피음료/페트,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\코카콜라 조지아 크래프트 저칼로리라떼.jpg
매일유업 마이 카페라떼 마일드,"커피음료/카페라떼/컵/
[영양정보]/1회 제공량 220ml당 열량: 140kcal/탄수화물: 19g/당류: 17g/단백질: 5g/지방: 5g/포화지방: 3g/트랜스지방: 0g/콜레스테롤: 20mg/나트륨: 120mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\매일유업 마이 카페라떼 마일드.jpg
동서식품 맥심 티오피 스모키 블랙,"커피음료/아메리카노/캔/
[영양정보]/총 내용량 275ml당 열량: 4kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\동서식품 맥심 티오피 스모키 블랙.jpg
매일유업 바리스타룰스 에스프레소 라떼,"커피음료/카페라떼/컵/
[영양정보]/1회 제공량 250ml당 열량: 157kcal/나트륨: 130㎎/탄수화물: 23g/당류: 20g/지방: 5g/트랜스지방: 0g/포화지방: 4g/콜레스테롤: 18㎎/단백질: 5g",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\매일유업 바리스타룰스 에스프레소 라떼.jpg
이마트 노브랜드 콜롬비아 아메리카노 블랙[],커피음료,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\이마트 노브랜드 콜롬비아 아메리카노 블랙[].jpg
스타벅스 파이크 플레이스 로스트 블랙커피,"커피음료/아메리카노/캔/
[영양정보]/1회 제공량 275ml당 열량: 10kcal/탄수화물: 1g미만/당류: 0g/단백질: 1g미만/지방: 0.3g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 25mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\스타벅스 파이크 플레이스 로스트 블랙커피.jpg
롯데칠성음료 레쓰비 카페타임 라떼,"커피음료/카페라떼/캔/
[영양정보]/1회 제공량 240ml당 열량: 95kcal/탄수화물: 20g/당류: 20g/단백질: 2g/지방: 0.9g/포화지방: 0.5g/트랜스지방: 0g/콜레스테롤: 5mg미만/나트륨: 100mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\롯데칠성음료 레쓰비 카페타임 라떼.jpg
매일유업 바리스타룰스 플라넬 드립 라떼,"커피음료/카페라떼/컵/
[영양정보]/1회 제공량 325ml당 열량: 165kcal/탄수화물: 23g/당류: 19g/단백질: 5g/지방: 6g/포화지방: 4g/트랜스지방: 0g/콜레스테롤: 25mg/나트륨: 170mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\매일유업 바리스타룰스 플라넬 드립 라떼.jpg
남양유업 프렌치카페 로스터리 더블 카라멜 라떼,"커피음료/카페라떼/맛: 캐러멜/컵/
[영양정보]/1회 제공량 250ml당 열량: 185kcal/탄수화물: 28g/당류: 26mg/단백질: 5mg/지방: 6g/포화지방: 3.9g/트랜스지방: 0g/콜레스테롤: 20mg/나트륨: 170mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\남양유업 프렌치카페 로스터리 더블 카라멜 라떼.jpg
코카콜라음료 조지아 스위트 아메리카노,"커피음료/아메리카노/페트/
[영양정보]/1회 제공량 100ml당 열량: 29kcal/탄수화물: 7g/당류: 6g/단백질: 1g미만/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 31mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\코카콜라음료 조지아 스위트 아메리카노.jpg
서울에프엔비 할리스 아메리카노,"커피음료/아메리카노/페트/
[영양정보]/총 내용량 1L당 열량: 50kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\서울에프엔비 할리스 아메리카노.jpg
동서식품 맥심 티오피 트리플 에스프레소 라떼,"커피음료/카페라떼/컵/
[영양정보]/1회 제공량 300ml당 열량: 145kcal/탄수화물: 21g/당류: 21g/단백질: 4g/지방: 5g/포화지방: 3.5g/트랜스지방: 0g/콜레스테롤: 20mg/나트륨: 80mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\동서식품 맥심 티오피 트리플 에스프레소 라떼.jpg
롯데푸드 칸타타 스위트블랙,"커피음료/아메리카노/캔/
[영양정보]/1회 제공량 175ml당 열량: 35kcal/탄수화물: 8g/당류: 6g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 55mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\롯데푸드 칸타타 스위트블랙.jpg
커피빈 아메리카노,"커피음료/아메리카노/컵/
[영양정보]/1회 제공량 300ml당 열량: 0kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\커피빈 아메리카노.jpg
팔도 산타페 오리지날,"커피음료/아메리카노/캔/
[영양정보]/1회 제공량 175ml당 열량: 75kcal/탄수화물: 16g/당류: 15g/단백질: 2g/지방: 1g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 60mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\팔도 산타페 오리지날.jpg
스타벅스 프라푸치노 헤이즐넛향,"커피음료/카페라떼/맛: 헤이즐넛/병/
[영양정보]/1회 제공량 281ml당 열량: 180kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\스타벅스 프라푸치노 헤이즐넛향.jpg
롯데푸드 칸타타 프리미엄 라떼,"커피음료/카페라떼/캔/
[영양정보]/1회 제공량 175ml당 열량: 80kcal/탄수화물: 16g/당류: 16g/단백질: 2g/지방: 0.9g/포화지방: 0.6g/트랜스지방: 0g/콜레스테롤: 5mg미만/나트륨: 100mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\롯데푸드 칸타타 프리미엄 라떼.jpg
카페베네 카페라떼,"커피음료/카페라떼/컵/
[영양정보]/1회 제공량 200ml당 열량: 110kcal/탄수화물: 16g/당류: 16g/단백질: 3.9g/지방: 3.3g/포화지방: 2.6g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 85mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\카페베네 카페라떼.jpg
롯데푸드 칸타타 아이스 헤이즐넛향,"커피음료/아메리카노/맛: 헤이즐넛/파우치/
[영양정보]/1회 제공량 230ml당 열량: 70kcal/나트륨: 80mg/탄수화물: 17g/당류: 17g/지방: 0g/트랜스지방: 0g/포화지방: 0g/콜레스테롤: 0mg/단백질: 1g미만",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\롯데푸드 칸타타 아이스 헤이즐넛향.jpg
빙그레 아카페라 사이즈업 아메리카노,"커피음료/아메리카노/페트/
[영양정보]/1회 제공량 350ml당 열량: 11kcal/탄수화물: 2g/당류: 0g/단백질: 0g/지방: 0.3g/포화지방: 0g/트랜스지방: 0g/나트륨: 30mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\빙그레 아카페라 사이즈업 아메리카노.jpg
동서식품 맥심 티오피 스모키 라떼,"커피음료/카페라떼/페트/
[영양정보]/총 내용량 275ml당 열량: 124kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\동서식품 맥심 티오피 스모키 라떼.jpg
코카콜라음료 조지아 크래프트 저칼로리 라떼,"커피음료/카페라떼/페트/
[영양정보]/1회 제공량 470ml당 열량: 61kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\코카콜라음료 조지아 크래프트 저칼로리 라떼.jpg
스타벅스 더블샷 바닐라,"커피음료/카페라떼/맛: 바닐라/캔/
[영양정보]/1회 제공량 275ml당 열량: 174kcal/탄수화물: 26g/당류: 24g/단백질: 4g/지방: 6g/포화지방: 3.9g/트랜스지방: 0.5g 미만/콜레스테롤: 16.2mg/나트륨: 75mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\스타벅스 더블샷 바닐라.jpg
매일유업 바리스타룰스 그란데 아메리카노,"커피음료/아메리카노/페트/
[영양정보]/1회 제공량 475ml당 열량: 15kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\매일유업 바리스타룰스 그란데 아메리카노.jpg
롯데칠성음료 레쓰비 모카라떼,"커피음료/카페라떼/맛: 모카(초콜릿)/캔/
[영양정보]/1회 제공량 175ml당 열량: 70kcal/탄수화물: 15g/당류: 15g/단백질: 2g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 65mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\롯데칠성음료 레쓰비 모카라떼.jpg
빙그레 아카페라 바닐라라떼,"커피음료/카페라떼/맛: 바닐라/페트/
[영양정보]/1회 제공량 240ml당 열량: 145kcal/탄수화물: 24g/당류: 22g/단백질: 3.5g/지방: 4g/포화지방: 3g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 120mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\빙그레 아카페라 바닐라라떼.jpg
쟈뎅 시그니처 아메리카노 블랙,"커피음료/아메리카노/파우치/
[영양정보]/1회 제공량 230ml당 열량: 7kcal/탄수화물: 1g/당류: 22g/단백질: 1g미만/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 65mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\쟈뎅 시그니처 아메리카노 블랙.jpg
빙그레 아카페라 사이즈업 돌체라떼,"커피음료/카페라떼/맛: 돌체(연유)/페트/
[영양정보]/1회 제공량 350ml당 열량: 149kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\빙그레 아카페라 사이즈업 돌체라떼.jpg
매일유업 마이 카페라떼 마일드 로어슈거,"커피음료/카페라떼/컵/
[영양정보]/1회 제공량 220ml당 열량: 125kcal/탄수화물: 15g/당류: 14g/단백질: 5g/지방: 5g/포화지방: 3.1g/트랜스지방: 0g/콜레스테롤: 20mg/나트륨: 120mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\매일유업 마이 카페라떼 마일드 로어슈거.jpg
빙그레 아카페라 심플리 로우슈거 라떼,"커피음료/카페라떼/페트/
[영양정보]/1회 제공량 400ml당 열량: 164kcal/탄수화물: 21g/당류: 15.9g/단백질: 6.5g/지방: 6g/트랜스지방: 0g/포화지방: 3.8g/콜레스테롤: 20mg/나트륨: 70mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\빙그레 아카페라 심플리 로우슈거 라떼.jpg
동서식품 맥심 티오피 심플리스무스 스위트 아메리카노,"커피음료/아메리카노/페트/
[영양정보]/1회 제공량 240ml당 열량: 36kcal/탄수화물: 9g/당류: 9g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 2mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\동서식품 맥심 티오피 심플리스무스 스위트 아메리카노.jpg
이디야 토피넛 시그니처 라떼,"커피음료/카페라떼/맛: 토피넛/컵/
[영양정보]/1회 제공량 300ml당 열량: 240kcal/탄수화물: 36g/당류: 32g/단백질: 6.5g/지방: 7.5g/포화지방: 5.3g/트랜스지방: 0.5g 미만/콜레스테롤: 25mg/나트륨: 185mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\이디야 토피넛 시그니처 라떼.jpg
빙그레 아카페라 사이즈업 바닐라라떼,"커피음료/카페라떼/맛: 바닐라/페트/
[영양정보]/1회 제공량 350ml당 열량: 225kcal/탄수화물: 40g/당류: 30g/단백질: 5g/지방: 5g/포화지방: 3.5g/트랜스지방: 0g/나트륨: 80mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\빙그레 아카페라 사이즈업 바닐라라떼.jpg
롯데칠성음료 레쓰비 카페타임 헤이즐넛 라떼,"커피음료/카페라떼/맛: 헤이즐넛/캔/
[영양정보]/1회 제공량 240ml당 열량: 102kcal/탄수화물: 23g/당류: 23g/단백질: 1g/지방: 0.7g/포화지방: 0.4g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 90mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\롯데칠성음료 레쓰비 카페타임 헤이즐넛 라떼.jpg
동서식품 맥스웰하우스 콜롬비아나 스위트 아메리카노,"커피음료/아메리카노/캔/
[영양정보]/1회 제공량 240ml당 열량: 50kcal/탄수화물: 11g/당류: 11g/단백질: 0g/지방: 0.5g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 45mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\동서식품 맥스웰하우스 콜롬비아나 스위트 아메리카노.jpg
롯데푸드 칸타타 스위트 아메리카노,"커피음료/아메리카노/파우치/
[영양정보]/1회 제공량 230ml당 열량: 65kcal/탄수화물: 15g/당류: 15g/단백질: 1g미만/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 80mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\롯데푸드 칸타타 스위트 아메리카노.jpg
매일유업 바리스타룰스 카라멜 딥 프레소,"커피음료/카페라떼/맛: 캐러멜/컵/
[영양정보]/1회 제공량 250ml당 열량: 160kcal/탄수화물: 25g/당류: 25g/단백질: 4g/지방: 5g/포화지방: 3.5g/트랜스지방: 0g/콜레스테롤: 20mg/나트륨: 140mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\매일유업 바리스타룰스 카라멜 딥 프레소.jpg
코카콜라음료 조지아 헤이즐넛향 아메리카노,"커피음료/아메리카노/맛: 헤이즐넛/페트/
[영양정보]/1회 제공량 500ml당 열량: 118kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\코카콜라음료 조지아 헤이즐넛향 아메리카노.jpg
동아오츠카 디앤카페 오리지널,"커피음료/아메리카노/캔/
[영양정보]/1회 제공량 175ml당 열량: 40kcal/탄수화물: 8g/당류: 7g/단백질: 0g/지방: 0.6g/포화지방: 0.6g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 85mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\동아오츠카 디앤카페 오리지널.jpg
이디야 트리플 바닐라라떼,"커피음료/카페라떼/맛: 바닐라/페트/
[영양정보]/1회 제공량 500ml당 열량: 200kcal",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\이디야 트리플 바닐라라떼.jpg
롯데푸드 칸타타 스위트 블랙,"커피음료/아메리카노/캔/
[영양정보]/1회 제공량 275ml당 열량: 50kcal/탄수화물: 12g/당류: 10g/단백질: 1g미만/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 130mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\롯데푸드 칸타타 스위트 블랙.jpg
매일유업 바리스타룰스 모카프레소,"커피음료/카페라떼/맛: 모카(초콜릿)/컵/
[영양정보]/1회 제공량 250ml당 열량: 150kcal/탄수화물: 21g/당류: 21g/단백질: 4g/지방: 5.5g/포화지방: 3g/트랜스지방: 0g/콜레스테롤: 20mg/나트륨: 150mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\커피음료\매일유업 바리스타룰스 모카프레소.jpg
