Name,Spec
CJ웰케어 이너비 글로우샷 콜라겐 3000,"[주요성분] 콜라겐/피쉬 콜라겐/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1병/총량: 12병/섭취기간: 12일/형태: 음료(액상)"
CJ웰케어 이너비 인텐스 콜라겐,"[주요성분] 콜라겐/비오틴/저분자 피쉬 콜라겐 펩타이드/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 2정/총량: 112정/섭취기간: 4주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 피부 건강, 피부 보습/
[기능성분] Gly-Pro-Hyp: 44mg/비타민C: 30mg/판토텐산: 5mg/비오틴: 30μg"
CJ웰케어 이너비 인텐스 콜렉티브 콜라겐,"[주요성분] 콜라겐/비오틴/분자량: 285Da(달톤)/저분자 피쉬 콜라겐 펩타이드/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 3정/총량: 84정/섭취기간: 4주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 피부 건강, 피부 보습/
[기능성분] Gly-Pro-Hyp: 44mg/비타민C: 100mg/판토텐산: 5mg/비오틴: 30㎍"
CJ웰케어 한뿌리 자연건강 석류 콜라겐 젤리,"[주요성분] 콜라겐/피쉬 콜라겐/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 40포/섭취기간: 40일/형태: 젤리/특징: 스틱형, 선물세트"
"CJ제일제당 이너비 글로우샷 콜라겐 3,000","콜라겐/섭취횟수, 양: 1일 1회,1병/형태: 음료(액상)/기능성: 피부 건강"
CMG제약 스킨엔 콜라겐 퓨어 100,"콜라겐/섭취횟수, 양: 1일 1회, 1포/형태: 분말/특징: 스틱형/건강기능식품/기능성: 영양보충"
GC녹십자 석류콜라겐 1.2,"[주요성분] 콜라겐/피쉬 콜라겐/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 60포 x 4개/섭취기간: 8개월/형태: 젤리"
GC녹십자 스마일렌 저분자 피쉬콜라겐,"[주요성분] 콜라겐/피쉬 콜라겐/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 30포/섭취기간: 1개월/형태: 분말/특징: 스틱형"
GC녹십자웰빙 홈쇼핑 신애라 무릎 손목 허리 관절 연골 엔 구절초 영양제 추출물 리나린 에좋은 건강기능식품,콜라겐
GNC 여성용 콜라겐,"[주요성분] 콜라겐/
[섭취정보] 섭취대상: 성인여성, 성인남성/섭취횟수, 양: 1일 1회,1캡슐씩/형태: 캡슐,정/기능성: 피부 건강"
GNC 우먼스 콜라겐,"[주요성분] 콜라겐/피쉬 콜라겐/
[섭취정보] 섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 360캡슐/섭취기간: 12개월/형태: 캡슐,정/특징: 해외구매"
GNM자연의품격 석류 저분자 콜라겐 30구미,콜라겐/형태: 젤리/기능성: 피부 건강
GNM자연의품격 석류 저분자 콜라겐 구미 30구미,"[주요성분] 콜라겐/피쉬 콜라겐/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 3구미/총량: 30구미 x 12개/섭취기간: 4개월/형태: 젤리"
GNM자연의품격 석류 저분자 피쉬콜라겐 구미30구미,"[주요성분] 콜라겐/
[섭취정보] 섭취대상: 성인여성, 성인남성/섭취횟수, 양: 1일 1회, 3구미씩/형태: 젤리/HACCP/기능성: 피부 건강/피쉬콜라겐1000mg"
GNM자연의품격 어린피쉬콜라겐 비오틴 비타민C,"[주요성분] 콜라겐/비오틴/피쉬 콜라겐 펩타이드/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 1포/총량: 30포/섭취기간: 15일/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/
[기능성분] Gly-Pro-Val-Gly-Pro-Ser: 2.7141mg/비오틴: 300㎍/비타민C: 100mg"
GNM자연의품격 엘라스틴 저분자 콜라겐 비오틴 비타민C,"[주요성분] 콜라겐/비오틴/분자량: 300Da(달톤)/피쉬 콜라겐/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 15포/섭취기간: 15일/형태: 분말/특징: 스틱형"
GNM자연의품격 저분자 콜라겐 비오틴 비타민C,"[주요성분] 콜라겐/비오틴/
[섭취정보] 섭취대상: 성인여성, 성인남성/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월(1박스)/형태: 분말형/특징: 스틱형/기능성: 피부 건강/저분자피쉬콜라겐800mg, 비타민C100mg"
GNM자연의품격 저분자 콜라겐 비타민C 비오틴,"[주요성분] 콜라겐/비오틴/분자량: 300Da(달톤)/피쉬 콜라겐/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 30포/섭취기간: 1개월/형태: 분말/특징: 스틱형"
