Name,Spec,ImageURL
동아오츠카 라인바싸 탄산수 레몬,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 먹는샘물, 이산화탄소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\동아오츠카 라인바싸 탄산수 레몬.jpg
동아오츠카 라인바싸 탄산수 플레인,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 먹는샘물, 이산화탄소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\동아오츠카 라인바싸 탄산수 플레인.jpg
웅진식품 빅토리아골라담기,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 탄산가스",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\웅진식품 빅토리아골라담기.jpg
동원F&B 미네마인 스파클링,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 탄산가스",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\동원F&B 미네마인 스파클링.jpg
일화 초정탄산수 플레인,"탄산음료/탄산수/포장형태: 캔/박스/원재료: 정제수, 탄산가스",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\일화 초정탄산수 플레인.jpg
쿠팡 탐사 스파클링 플레인 무라벨,"탄산음료/탄산수/포장형태: 페트/무라벨/박스/원재료: 정제수, 이산화탄소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\쿠팡 탐사 스파클링 플레인 무라벨.jpg
웅진식품 빅토리아 플레인 무라벨,"탄산음료/탄산수/포장형태: 페트/무라벨/박스/원재료: 정제수, 이산화탄소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\웅진식품 빅토리아 플레인 무라벨.jpg
일화 초정탄산수,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 탄산가스",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\일화 초정탄산수.jpg
웅진식품 빅토리아 레몬,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 탄산가스, 천연레몬향",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\웅진식품 빅토리아 레몬.jpg
롯데칠성음료 트레비 ECO 레몬,"혼합음료/탄산수/포장형태: 페트/무라벨/박스/원재료: 정제수, 이산화탄소, 천연레몬향",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\롯데칠성음료 트레비 ECO 레몬.jpg
코카콜라음료 씨그램 레몬 라벨프리,"탄산음료/탄산수/포장형태: 페트/무라벨/원재료: 정제수, 이산화탄소, 천연향료(레몬향)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\코카콜라음료 씨그램 레몬 라벨프리.jpg
웅진식품 빅토리아 플레인,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 탄산가스",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\웅진식품 빅토리아 플레인.jpg
코카콜라음료 씨그램 라임 라벨프리,"탄산음료/탄산수/포장형태: 페트/무라벨/원재료: 정제수, 이산화탄소, 천연향료(라임향)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\코카콜라음료 씨그램 라임 라벨프리.jpg
코카콜라음료 씨그램 플레인 라벨프리,"탄산음료/탄산수/포장형태: 페트/무라벨/박스/원재료: 정제수, 탄산가스",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\코카콜라음료 씨그램 플레인 라벨프리.jpg
롯데칠성음료 트레비 플레인,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 탄산가스",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\롯데칠성음료 트레비 플레인.jpg
롯데칠성음료 트레비 ECO 플레인,"탄산음료/탄산수/포장형태: 페트/무라벨/박스/원재료: 정제수, 이산화탄소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\롯데칠성음료 트레비 ECO 플레인.jpg
광동제약 아이스웨일 레몬라임,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 이산화탄소, 합성향료(레몬라임향), 천연향료(레몬라임향)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\광동제약 아이스웨일 레몬라임.jpg
웅진식품 빅토리아 파인애플,탄산음료/탄산수/박스,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\웅진식품 빅토리아 파인애플.jpg
일화 초정탄산수 플레인 무라벨,"탄산음료/탄산수/포장형태: 페트/무라벨/박스/원재료: 정제수, 탄산가스",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\일화 초정탄산수 플레인 무라벨.jpg
동아오츠카 라인바싸골라담기,탄산음료/탄산수/포장형태: 페트,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\동아오츠카 라인바싸골라담기.jpg
롯데칠성음료 트레비 라임,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 탄산가스, 천연라임향",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\롯데칠성음료 트레비 라임.jpg
롯데칠성음료 트레비 레몬,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 탄산가스, 천연레몬향",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\롯데칠성음료 트레비 레몬.jpg
WANGNOI BEVERAGE 싱하 소다워터,"탄산음료/탄산수/포장형태: 병/박스/원재료: 정제수, 탄산가스",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\WANGNOI BEVERAGE 싱하 소다워터.jpg
레오 소다 워터,"탄산음료/탄산수/포장형태: 병/원재료: 정제수, 탄산가스",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\레오 소다 워터.jpg
할리스커피 할리스 탄산수 레몬라임,"탄산음료/탄산수/포장형태: 페트/원재료: 정제수, 이산화탄소, 천연향료(레몬향), 천연향료(라임향)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\할리스커피 할리스 탄산수 레몬라임.jpg
코카콜라음료 씨그램 레몬,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 탄산가스, 천연레몬향",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\코카콜라음료 씨그램 레몬.jpg
코카콜라음료 씨그램 피치 라벨프리,"탄산음료/탄산수/포장형태: 페트/무라벨/박스/원재료: 정제수, 이산화탄소, 천연향료(복숭아향)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\코카콜라음료 씨그램 피치 라벨프리.jpg
이마트 노브랜드 스파클링 오렌지망고,탄산수/탄산수/포장형태: 페트,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\이마트 노브랜드 스파클링 오렌지망고.jpg
일화 초정탄산수 라임,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 탄산가스, 천연라임향",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\일화 초정탄산수 라임.jpg
웅진식품 빅토리아 자몽,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 탄산가스, 천연자몽향",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\웅진식품 빅토리아 자몽.jpg
산펠레그리노 탄산수,"탄산음료/탄산수/포장형태: 병/박스/원재료: 정제수, 탄산가스",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\산펠레그리노 탄산수.jpg
풀무원샘물 스파클링 워터 브리지톡 플레인,"탄산음료/탄산수/포장형태: 페트/원재료: 정제수, 이산화탄소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\풀무원샘물 스파클링 워터 브리지톡 플레인.jpg
할리스커피 할리스 탄산수 플레인,"탄산음료/탄산수/포장형태: 페트/원재료: 정제수, 이산화탄소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\할리스커피 할리스 탄산수 플레인.jpg
롯데칠성음료 트레비 ECO 라임,"혼합음료/탄산수/포장형태: 페트/무라벨/박스/원재료: 정제수, 이산화탄소, 천연라임향",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\롯데칠성음료 트레비 ECO 라임.jpg
웅진식품 빅토리아 라임,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 탄산가스, 천연라임향, 천연레몬향",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\웅진식품 빅토리아 라임.jpg
코카콜라 몬스터에너지 시트라,탄산수,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\코카콜라 몬스터에너지 시트라.jpg
코카콜라음료 씨그램 라임,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 탄산가스, 천연라임향",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\코카콜라음료 씨그램 라임.jpg
라인바싸 탄산수5종,탄산수/포장형태: 페트/500ml,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\라인바싸 탄산수5종.jpg
일화 초정탄산 유자,"탄산음료/탄산수/포장형태: 캔/원재료: 정제수, 이산화탄소, 천연향료",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\일화 초정탄산 유자.jpg
광동제약 아이스웨일 플레인,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 이산화탄소",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\광동제약 아이스웨일 플레인.jpg
웅진식품 빅토리아 내사랑유자C,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 이산화탄소, 향료(유자향), 비타민C, 천연향료(유자향)",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\웅진식품 빅토리아 내사랑유자C.jpg
웅진식품 빅토리아 배,"탄산음료/탄산수/포장형태: 페트/박스/원재료: 정제수, 이산화탄소, 배향",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\웅진식품 빅토리아 배.jpg
산베네데토 산베네디토 탄산수,"탄산음료/탄산수/포장형태: 병/원재료: 정제수, 탄산가스",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\탄산수\산베네데토 산베네디토 탄산수.jpg
