Name,Spec,ImageURL
코스트코 커클랜드 와일드 플라워 허니,수입꿀/특징: 해외구매,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\프로폴리스_꿀\코스트코 커클랜드 와일드 플라워 허니.jpg
동서식품 동서벌꿀 아카시아꿀,천연벌꿀/특징: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\프로폴리스_꿀\동서식품 동서벌꿀 아카시아꿀.jpg
HealthyCare 프로폴리스 2000,"[주요성분] 프로폴리스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/형태: 캡슐,정/특징: 해외구매",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\프로폴리스_꿀\HealthyCare 프로폴리스 2000.jpg
지리산 토종 100% 천연 벌꿀,천연벌꿀,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\프로폴리스_꿀\지리산 토종 100% 천연 벌꿀.jpg
RBK 트루블루 프로폴리스 마누카허니 로젠지스,"[주요성분] 프로폴리스/
[섭취정보] 섭취대상: 성인남녀/형태: 캔디,츄어블",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\프로폴리스_꿀\RBK 트루블루 프로폴리스 마누카허니 로젠지스.jpg
내츄럴플러스 프로폴리스 1000,"[주요성분] 프로폴리스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 구강 항균작용, 항산화/
[기능성분] 플라보노이드 17mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\프로폴리스_꿀\내츄럴플러스 프로폴리스 1000.jpg
RBK 트루블루 프로폴리스,"[주요성분] 프로폴리스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2캡슐/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 구강 항균작용, 항산화/
[기능성분] 플라보노이드 17mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\프로폴리스_꿀\RBK 트루블루 프로폴리스.jpg
종근당건강 와일드비 프로폴리스 플러스,"[주요성분] 프로폴리스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 구강 항균작용, 항산화/
[기능성분] 플라보노이드 16mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\프로폴리스_꿀\종근당건강 와일드비 프로폴리스 플러스.jpg
상주양봉원 스마일벌꿀,사양벌꿀/특징: 국내산/함량: 사양벌꿀 100%,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\프로폴리스_꿀\상주양봉원 스마일벌꿀.jpg
홍천양봉영농조합법인 홍천벌꿀,사양벌꿀,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\프로폴리스_꿀\홍천양봉영농조합법인 홍천벌꿀.jpg
청림농원 잡화청,"사양벌꿀/특징: 국내산, 꿀청",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\프로폴리스_꿀\청림농원 잡화청.jpg
HealthyCare 로얄젤리 1000,"로얄젤리/형태: 캡슐,정/섭취횟수, 양: 1일 1회, 1회 2캡슐/특징: 해외구매",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\프로폴리스_꿀\HealthyCare 로얄젤리 1000.jpg
GNM자연의품격 프로폴리스 아연비타민D,"[주요성분] 프로폴리스/아연/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/GMP/기능성: 구강 항균작용, 항산화/
[기능성분] 아연 : 8.5mg/판토텐산 : 7.5mg/비타민B2 : 1.4mg/비타민D : 10㎍/플라보노이드 : 17mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\프로폴리스_꿀\GNM자연의품격 프로폴리스 아연비타민D.jpg
광동생활건강 광동 맑은 365 면역보감,"[주요성분] 프로폴리스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/형태: 음료(액상)/
[인증] 건강기능식품/기능성: 구강 항균작용, 항산화/
[기능성분] 플라보노이드 17mg/아연: 5.85mg",C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\프로폴리스_꿀\광동생활건강 광동 맑은 365 면역보감.jpg
동화약품 글루타치온 화이트 구강용해 스틱,홍삼/건강식품/건강보조식품/꿀/로얄제리,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\프로폴리스_꿀\동화약품 글루타치온 화이트 구강용해 스틱.jpg
백화농원 스위트 허니 벌꿀,사양벌꿀/특징: 국내산,C:\dev\ZeroMoa\ZeroMoa\crawl_data\images\프로폴리스_꿀\백화농원 스위트 허니 벌꿀.jpg
